Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[-1.25235, 0.39004, -1.42114, -1.26498, -0.88581, -0.81711, -1.21756, 2.04012]","[1.06754, 1.02187, -1.03978, -1.05641, -1.0458, -1.04551, -1.03847, 1.06145]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0.56219, 0.37215, 1.15578, -0.73209, 0.18565, -0.50719, -1.12443, 0.72042]","[1.00927, 1.0743, 1.06901, -1.04852, 1.06155, -1.04413, -1.0476, 1.05031]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[-0.57743, 0.82321, 1.7538, -0.75967, -0.52037, 0.89122, -1.1998, -0.47726]","[0.70821, 1.0541, -1.03409, 1.05503, -1.06143, -1.03358, 1.05515, -1.04366]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0]","[0.69311, -1.43212, -0.67656, -1.98103, 0.98377, -0.30378, -1.1668, 1.93233]","[0.29071, -1.07675, -1.04271, -1.05845, 1.05877, -1.04378, -1.04115, 1.05713]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 1]","[-0.61824, 1.93889, 0.13161, 1.14479, 0.5414, -2.06472, -0.64705, -1.92887]","[1.10554, 1.05264, 1.06401, -1.05717, -1.05311, 1.03493, 1.06223, -1.03043]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[-0.9948, -1.44012, 0.86158, -1.91287, 0.29731, -0.87287, -1.29599, 1.34027]","[-1.10191, -1.08352, 1.06815, -1.05626, 1.06471, -1.04424, -1.04706, 1.05242]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 0]","[-1.4161, -1.04508, -1.88306, -0.87405, 0.97786, 0.67393, 0.97436, 0.1403]","[1.03502, 1.02981, 1.03032, -1.0472, 1.05819, 1.05689, 1.05283, 1.05326]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[-2.19737, 9e-05, 1.56315, 0.89996, 0.70822, 1.64669, -0.45829, -0.44423]","[1.09061, 0.63705, 1.06137, -1.05991, 1.06745, -1.07629, 1.05455, -1.03405]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 0]","[-1.31642, -0.09007, 1.49552, 0.22996, -1.02237, 1.19819, -1.02855, 0.07089]","[1.10273, -1.07755, -1.07395, 1.05574, 1.05169, 1.04896, -1.03998, 1.05442]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[-1.0822, -0.53715, -1.14932, 0.27573, -0.29968, -0.71373, 0.19288, -1.3422]","[1.11647, -1.0574, 1.04303, -1.05019, -1.05208, 1.05508, -1.04355, -1.04209]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]","[-1.72424, -2.26772, 0.97807, 0.81781, -0.59308, -0.26827, -0.48224, 0.60877]","[-1.12259, 1.04677, -1.03413, 1.04384, -1.04364, -1.04758, -1.04676, 1.04939]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[2.30251, -1.62359, 0.01804, 1.09517, 0.99303, 2.29028, 0.94897, 1.82949]","[-1.05589, -1.04866, 1.07395, 1.04918, 1.05821, 1.05459, 1.05453, 1.06157]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[1.11554, -1.72308, -0.50238, 2.50026, 0.42074, 2.2781, 1.66658, -1.23775]","[1.09228, 1.06763, 1.05828, -1.04653, -1.05767, -1.05668, -1.03952, -1.05213]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-0.15603, -1.0256, 0.37739, -0.95076, 0.7134, -1.19929, 0.74618, -0.36522]","[-1.14695, 1.08091, 1.07499, 1.04384, 1.06589, 1.04462, -1.04687, -1.03832]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0.81487, 1.20888, 0.86688, -1.51447, -0.94067, 0.70328, 0.29903, 0.6089]","[-0.72428, -1.05037, -1.05896, -1.03814, -1.08267, 1.05262, 1.04993, 1.05174]"
15,"[1, 0, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[-1.33497, -0.29865, 0.85436, -1.08139, 0.37156, 0.47775, 0.91341, -1.372]","[1.09492, -1.06018, 1.07034, 1.05712, -1.04872, -1.05305, -1.05345, -1.05006]"
16,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 1, 1, 1, 0]","[0.71895, -0.83658, 1.26935, 0.60819, -1.61699, -0.19697, -0.11621, 1.63226]","[1.05827, 1.0483, -1.04606, 1.04197, -1.04009, -1.04838, -1.04616, 1.0478]"
