Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[-1.14774, 0.56782, -0.44437, -0.19336, -1.64034, -1.19599, -0.51558, 2.05908]","[1.00375, 1.03989, -1.0376, -1.03756, -1.03887, -1.03814, -1.03696, 1.03746]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]","[0.7533, 0.33592, -0.01496, -1.7064, 0.56637, -0.58979, -1.51912, 0.72895]","[1.04128, 1.04594, -1.03639, -1.03834, 1.03923, -1.03698, -1.03771, 1.04207]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[-1.76339, 0.18537, 1.4563, -1.16132, -1.53277, 0.54466, -2.1541, -1.66729]","[1.02266, 1.04557, -1.0306, 1.04641, -1.03776, -1.03408, 1.04556, -1.03964]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 1]","[1.85569, -1.61881, -2.53334, -0.70897, 0.77107, 2.023, -0.88035, -0.22907]","[-1.03924, -1.04027, 1.05038, 1.0458, 1.04841, -1.04368, 1.04923, -1.03899]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[-0.48264, 1.47937, -0.78152, 0.67963, 0.58345, -0.92362, -2.20976, -0.17709]","[1.05058, 1.04206, -1.04275, -1.04013, -1.04016, 1.0449, 1.04452, -1.04333]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 1, 1]","[0.10026, -2.62347, 1.47895, -0.17748, 0.08865, -1.3862, -0.54676, -0.40907]","[-1.04363, 1.04983, -1.03633, 1.04585, -1.04284, 1.04584, 1.04635, -1.04174]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[-0.62918, -0.45469, -1.81916, -3.06507, 1.33601, 1.71077, 0.57918, -0.52337]","[0.23674, -1.0407, -1.02956, 1.04871, -1.04005, -1.04323, -1.03728, -1.03792]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[-1.18933, 1.35612, 1.1795, 0.26089, 2.06639, 1.35226, -1.80337, -1.18062]","[1.03055, -1.04795, 1.04463, -1.05333, 1.04518, -1.05075, 1.04455, -1.05398]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0]","[0.78395, -1.52472, 0.25615, 0.83986, 0.8142, 0.79888, -1.49442, 0.17273]","[1.03087, -1.0502, -1.04675, 1.03679, -1.04778, 1.03762, -1.04176, 1.03801]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[-0.63792, 0.73003, -1.04067, 2.02629, -0.47384, -1.64021, 0.82294, -0.89236]","[-1.03191, 1.03612, 1.04724, -1.03849, -1.03856, 1.04657, -1.03753, -1.0387]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[-1.39113, -0.42335, 0.72148, 2.54731, 1.81196, -0.86699, -0.32714, 1.50007]","[1.04457, 1.0381, -1.04538, 1.0434, 1.04328, -1.03791, -1.03948, 1.04328]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0]","[1.28875, -1.76405, 0.14023, 1.03913, 1.19826, 1.93068, 0.5664, 1.84605]","[-1.05306, -1.0456, 1.03794, 1.03668, 1.03636, 1.03889, 1.03903, 1.04148]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 0, 0, 1]","[1.23692, -1.92631, -1.72836, -0.12554, 0.56554, 0.63551, 1.38624, -2.70257]","[1.05326, -1.0407, -1.03003, 1.04854, -1.04186, -1.04323, -1.03792, -1.03669]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 0, 1, 0, 1]","[-0.30838, -0.6565, 2.00719, 0.00389, 2.741, -0.02211, 1.47269, -1.26006]","[1.05529, -1.04822, -1.04395, -1.04588, 1.04873, 1.04838, -1.0429, -1.04453]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[1.77117, 0.74779, 0.37748, -1.66389, -0.0051, 0.48443, 0.22802, 1.4262]","[0.4635, -1.04628, -1.04623, -1.04519, -1.05214, 1.02843, 1.03404, 1.03324]"
15,"[1, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]","[0.54782, 1.01277, -0.29392, -0.0677, 0.29594, 0.98745, 1.92537, -0.81803]","[-1.04289, 1.04635, -1.04012, 1.04705, -1.04348, -1.04387, -1.04402, -1.04065]"
16,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[1.68447, 0.69588, 0.71579, 1.69282, -0.92015, -1.70472, 0.91244, 1.21086]","[0.80163, -1.03956, 1.03523, 1.03677, 1.0389, -1.04388, 1.03735, 1.03393]"
17,"[0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]","[-1.92633, 1.72289, -2.21848, 0.93354, -2.44861, -0.88702, -0.29535, -0.21957]","[1.04839, 1.04092, -1.03908, -1.04159, 1.04649, 1.04608, 1.04575, -1.04327]"
18,"[0, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 0]","[0.04676, -2.32213, -0.11856, 0.63896, 0.64895, -2.14051, 0.82363, 0.06693]","[-1.04225, 1.04511, -1.04454, 1.0395, -1.04556, -1.03861, 1.0397, 1.04018]"
19,"[0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 1]","[2.89098, 0.86396, -2.0258, 0.68256, 0.73141, -2.06515, -0.06313, -0.78614]","[1.03414, 1.04099, -1.04266, -1.04207, -1.04056, 1.04553, 1.0448, -1.04311]"
