Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0]","[-0.96322, 0.47702, 0.25594, -0.55083, -1.61141, -0.74661, -1.29012, 1.38534]","[-1.0711, 1.04536, 1.04811, -1.04305, -1.04706, -1.0436, -1.04367, 1.04323]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 0, 0]","[1.69365, 1.43996, -0.56632, -1.57337, 0.31057, -0.56983, 0.28097, 0.88169]","[-1.06973, 1.04676, 1.04068, -1.04627, -1.05505, -1.0495, 1.04365, 1.0414]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 0, 1, 1]","[-0.71733, 0.36915, 1.6138, -1.14248, 0.01607, 1.09175, -0.60842, -1.07587]","[1.06195, 1.04889, -1.03742, 1.0544, 1.06064, -1.04835, 1.05276, -1.04293]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-0.14196, -0.91582, -1.06299, -0.93128, 0.61193, 2.21139, -1.62675, 0.35558]","[-1.06319, 1.06064, -1.04134, -1.04247, -1.05044, 1.04728, -1.04159, 1.05182]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[0, 1, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[-1.03557, -0.10274, -0.39383, 0.81335, 0.63403, -0.05672, -0.68806, -0.98343]","[1.04681, -1.05562, -1.05549, -1.04728, -1.04922, 1.04793, 1.0508, -1.05128]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[-1.14623, 0.18473, 1.28838, -1.56474, 0.1163, -1.13883, -0.42322, 1.23236]","[1.03896, 1.04669, 1.04672, -1.04652, 1.04462, -1.04901, -1.04727, 1.04663]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[-0.06239, -0.71684, -0.63484, -1.28986, 1.00557, 0.13998, 1.37856, -1.19572]","[-0.81727, -1.04724, -1.04502, 1.04938, -1.04233, -1.05125, -1.04912, -1.04556]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[-1.13664, 0.97493, 1.79034, 0.57754, 1.6636, 1.7834, -0.2193, -0.1907]","[1.03946, -1.0469, 1.06075, -1.04941, 1.05961, -1.04848, 1.05397, -1.04717]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[-2.49855, -0.92569, 1.63354, 1.41001, -1.31081, 1.00163, -0.86784, -1.19092]","[-1.06303, 1.05403, 1.05709, -1.04769, -1.0488, -1.04534, 1.0534, -1.04629]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[-1.89631, -0.11429, -1.01177, 2.23347, -1.5769, -1.08167, 0.8599, -1.51915]","[1.0515, -1.05341, 1.05138, -1.04595, -1.04815, 1.05465, -1.04999, -1.05069]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.13715, -1.25982, -1.75391, 1.42052, 0.29802, -0.0462, -1.39456, 0.75002]","[-1.05864, 1.05426, 1.05154, 1.0425, 1.04467, -1.03849, -1.03972, 1.04924]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0]","[1.2645, -0.76204, 0.22898, 0.83102, 1.20155, 1.99788, -0.09029, 1.39166]","[1.0337, -1.05719, -1.05363, 1.04231, -1.05423, 1.0425, -1.05107, 1.04338]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[1.39919, -0.81464, -0.4915, 0.29268, 1.93546, 1.25843, 0.83199, -0.23901]","[-0.9043, 1.04529, 1.04263, -1.05477, -1.05357, -1.0558, -1.052, -1.05323]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 1, 1]","[1.72688, -0.23748, 0.21614, -0.42246, 0.53597, -0.51308, -0.20095, -1.0465]","[-1.06396, 1.0565, -1.03912, 1.05298, -1.04979, 1.04533, 1.05015, -1.05021]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0.9129, 0.55919, 1.8967, -0.91062, -1.3115, 0.53493, 2.30105, 0.86441]","[0.82525, -1.05408, -1.05584, -1.05481, -1.06531, 1.03789, 1.03879, 1.03836]"
