Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[-1.19831, 1.03942, -0.35026, -1.75374, -0.56413, -0.75972, -1.5248, 0.45915]","[1.05937, 1.05934, -1.03802, -1.0373, -1.0339, -1.03385, -1.03346, 1.05129]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0.28518, 2.07517, 0.02202, -2.54164, 0.27801, -0.10809, -1.35282, 0.77558]","[-0.99358, 1.05327, 1.04406, -1.04987, 1.04475, -1.04837, -1.04525, 1.04735]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 0]","[-1.89828, 1.04627, -0.11454, -1.87185, -0.93111, 1.20633, -1.61907, 0.62193]","[-1.06488, -1.05021, -1.04021, -1.04417, 1.04625, 1.04852, -1.04012, 1.04697]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]","[0.66329, -0.83362, -1.04907, -0.47579, 2.03278, 0.79333, -1.13936, 0.43533]","[1.05999, 1.05784, -1.03901, -1.04781, -1.04826, 1.04606, -1.04193, 1.0495]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[-1.63828, 1.02942, -1.40231, 2.10093, 1.14476, -0.91493, -0.55295, -0.47555]","[0.71153, 1.03932, -1.04716, -1.04866, -1.04502, 1.04003, 1.038, -1.04037]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 1, 1]","[0.02455, -0.7149, 1.56686, -0.51505, 1.98815, -0.99378, -0.84696, -0.24779]","[-1.05917, 1.05137, -1.0387, 1.04964, -1.04558, 1.04088, 1.04898, -1.04616]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[-0.7019, -0.52517, -0.4556, -0.42926, 0.81483, 1.22143, 1.06291, -1.20148]","[-1.00697, -1.04265, -1.04449, 1.04368, -1.03638, -1.04558, -1.04463, -1.03934]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 1]","[-2.20964, 0.81279, 0.74406, 0.06331, 1.2855, -0.18454, -0.67357, -0.21798]","[1.05789, 1.04717, 1.04592, -1.05686, -1.05474, 1.0377, 1.04468, -1.04809]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[-2.28212, -0.90522, 1.87958, 1.24488, -1.13593, 1.53649, -1.13311, -1.02424]","[-1.05706, 1.05511, 1.05506, -1.04086, -1.0468, -1.04138, 1.04673, -1.03864]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[-1.31066, 0.88493, -1.41119, 0.31663, -1.63722, -2.07249, 1.01471, -1.95581]","[-1.05479, 1.04588, 1.04178, -1.0404, -1.04553, 1.04179, -1.044, -1.04192]"
