Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 1, 1, 1, 0]","[-1.02254, 1.16248, 0.4695, -0.62818, -0.32503, -1.23603, -1.37286, 0.85456]","[-1.06725, 1.04482, 1.04368, -1.05054, -1.04715, -1.04681, -1.047, 1.03553]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0]","[0.33949, 1.14558, -0.20976, -1.31561, 0.2744, -1.2487, -0.52732, 0.42181]","[1.0352, 1.04538, -1.04506, -1.0513, 1.03756, -1.04739, -1.04843, 1.03067]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[0, 1, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-1.47113, -0.40761, 0.46433, -2.15763, -1.83955, 0.47803, -1.61546, -1.11341]","[1.09728, -1.0331, -1.03614, 1.04732, -1.04739, -1.03715, 1.04731, -1.0417]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0]","[1.20839, -0.13879, 0.10101, -0.4897, -0.49268, 0.84816, -1.13737, 0.38546]","[1.03794, 1.04615, 1.04692, -1.0527, 1.02409, 1.04117, -1.04764, 1.04176]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[-0.85416, 1.23171, -1.19372, 0.39027, 1.42851, -0.28109, -2.02097, -0.99518]","[0.89189, 1.03835, -1.05199, -1.04553, -1.04181, 1.04395, 1.03943, -1.04456]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 1]","[-1.62389, 0.31565, 1.41444, -0.43682, 0.37641, -0.68058, -1.24474, -0.35674]","[1.02521, -1.03802, -1.03164, 1.0508, -1.03522, 1.05106, 1.04554, -1.04171]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 0]","[-1.63091, -1.20155, 0.04949, -0.95819, 1.04012, 1.23568, 0.96992, 0.26431]","[0.58739, 1.03126, -1.05024, -1.05204, 1.04011, 1.04299, 1.04216, 1.04135]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 0, 0, 1, 1]","[-1.68912, 1.23666, 0.96319, 1.75425, 1.20955, 0.16501, -2.3722, -0.55575]","[1.04114, -1.04804, 1.06763, -1.04915, 1.06392, -1.04348, 1.05022, -1.03892]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[-1.13091, -0.83231, 1.16845, 1.05965, -1.79689, 0.77919, -0.25546, -1.48493]","[-1.0423, 1.06238, 1.06108, -1.04311, -1.04317, -1.04111, 1.04636, -1.04098]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[-0.60905, 1.24416, 0.26377, -0.14496, -0.49254, -1.74795, 0.75018, -1.02354]","[-1.04765, -1.05417, 1.05851, 1.04059, -1.04334, 1.04167, -1.03851, -1.03784]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0]","[-0.45382, -0.2458, 0.94364, 1.02122, 2.40321, 0.60595, -0.38064, 0.96681]","[-1.06901, -1.06221, -1.05504, 1.03827, -1.05642, 1.03839, -1.0504, 1.04032]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0.98956, -0.24263, -0.97923, 0.74964, 0.23065, 0.76657, 0.05481, 0.83303]","[-0.84987, -1.05122, -1.05027, 1.0397, 1.03753, 1.03779, 1.03904, 1.04271]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 1]","[0.28844, -1.6119, -0.68374, 0.66759, 1.70957, 0.65164, -0.32125, -0.32858]","[0.9021, 1.06208, -1.05175, -1.04432, 1.05599, -1.04345, 1.04348, -1.04177]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]","[0.84539, -0.75392, 0.59853, -1.32292, 0.46722, -1.97076, 1.17243, -1.29923]","[1.04217, 1.05658, 1.0597, 1.03753, 1.05766, 1.04251, -1.04066, -1.04072]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 0, 0]","[0.3375, 1.00912, -0.01658, -1.21863, -0.87967, 0.90322, 0.59278, 0.55324]","[-1.07344, -1.05597, 1.03269, -1.05453, -1.0587, 1.03705, 1.03722, 1.04007]"
15,"[1, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1]","[-2.05165, 0.57187, 0.97735, -1.08084, -0.68746, 2.11702, 0.44232, -1.40014]","[1.06412, 1.05684, 1.06188, 1.0401, 1.04299, -1.04675, -1.04591, -1.04813]"
16,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0.46144, 0.75534, 1.16391, 1.20739, -1.13279, -1.21491, 0.21234, 1.18549]","[0.68239, -1.05036, 1.04148, 1.03845, 1.04032, -1.05371, 1.04344, 1.0435]"
17,"[0, 0, 1, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1]","[-1.07079, 0.38616, -0.38715, 0.58079, -1.69047, -1.0833, -0.75154, -1.17997]","[1.06402, 1.04081, -1.05561, -1.04663, 1.04408, 1.04018, 1.04154, -1.05392]"
18,"[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0.76062, -1.81686, 1.49134, 1.15287, 1.56592, -0.41243, 0.9775, 1.25286]","[1.03124, 1.04331, 1.0357, 1.03924, -1.0632, -1.05373, 1.04066, 1.04309]"
19,"[0, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 0]","[0.39437, 1.25948, -0.15439, 1.36768, 0.49178, -0.96254, -2.19835, 0.09063]","[-1.07586, -1.0488, 1.02866, 1.04206, 1.04131, -1.04789, -1.04644, 1.02987]"
