Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
combinational training snr:  True
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
[0/50000] At 3 dB, Loss: 1.1854484, Train BER (3 dB) : 0.5295258, Valid BER: 0.4606476, Tgt BER: 0.4606476, Noiseless BER 0.4534149, Valid BLER : 0.9412842
Time for one step is 0.0116 minutes
[100/50000] At 3 dB, Loss: 0.6270031, Train BER (3 dB) : 0.2389221, Valid BER: 0.2561340, Tgt BER: 0.2561340, Noiseless BER 0.1660156, Valid BLER : 0.8709717
[200/50000] At 3 dB, Loss: 0.4748636, Train BER (3 dB) : 0.1558533, Valid BER: 0.1905212, Tgt BER: 0.1905212, Noiseless BER 0.0323486, Valid BLER : 0.5946045
[300/50000] At 3 dB, Loss: 0.4319930, Train BER (3 dB) : 0.1357880, Valid BER: 0.1720123, Tgt BER: 0.1720123, Noiseless BER 0.0000000, Valid BLER : 0.4671631
[400/50000] At 3 dB, Loss: 0.4076237, Train BER (3 dB) : 0.1267700, Valid BER: 0.1577606, Tgt BER: 0.1577606, Noiseless BER 0.0000000, Valid BLER : 0.4317627
[500/50000] At 3 dB, Loss: 0.3891705, Train BER (3 dB) : 0.1216888, Valid BER: 0.1595917, Tgt BER: 0.1595917, Noiseless BER 0.0000000, Valid BLER : 0.4432373
[600/50000] At 3 dB, Loss: 0.3712389, Train BER (3 dB) : 0.1176910, Valid BER: 0.1562653, Tgt BER: 0.1562653, Noiseless BER 0.0000000, Valid BLER : 0.4333496
[700/50000] At 3 dB, Loss: 0.3741145, Train BER (3 dB) : 0.1201324, Valid BER: 0.1532593, Tgt BER: 0.1532593, Noiseless BER 0.0000000, Valid BLER : 0.4343262
[800/50000] At 3 dB, Loss: 0.3543811, Train BER (3 dB) : 0.1150055, Valid BER: 0.1570129, Tgt BER: 0.1570129, Noiseless BER 0.0000000, Valid BLER : 0.4443359
[900/50000] At 3 dB, Loss: 0.3454093, Train BER (3 dB) : 0.1153412, Valid BER: 0.1473541, Tgt BER: 0.1473541, Noiseless BER 0.0000000, Valid BLER : 0.4252930
