Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0405948162078857, 1.0395244359970093, 1.0364489555358887, 1.0413662195205688, 1.0400336980819702, 1.0430200099945068, 1.0434738397598267, -1.0508742332458496]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0476924180984497, -1.0475800037384033, -1.050456166267395, -1.051264762878418, -1.05038321018219, -1.049936294555664, -1.0513393878936768, 1.0403497219085693]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0436923503875732, 1.0371094942092896, -1.0473053455352783, 1.0379352569580078, -1.0450576543807983, 1.0403589010238647, -1.0464060306549072, -1.0475627183914185]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.035404920578003, -1.0476741790771484, 1.0433632135391235, -1.0480098724365234, 1.0439643859863281, -1.0479117631912231, 1.0432459115982056, 1.0437288284301758]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0501105785369873, -1.0541356801986694, 1.0376334190368652, 1.0395830869674683, -1.0545406341552734, -1.0517624616622925, 1.0407874584197998, -1.0514047145843506]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0261297225952148, 1.0357505083084106, -1.0530200004577637, -1.0500257015228271, 1.0343499183654785, 1.0401766300201416, -1.0489833354949951, 1.0415372848510742]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0325595140457153, -1.049057126045227, -1.0492292642593384, 1.0404976606369019, 1.0367015600204468, -1.0489434003829956, -1.0477889776229858, -1.0503277778625488]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0501816272735596, 1.0356926918029785, 1.0341283082962036, -1.049193263053894, -1.0505610704421997, 1.0421826839447021, 1.0419209003448486, 1.0418699979782104]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.04253089427948, 1.0409950017929077, 1.0398356914520264, 1.041818380355835, -1.046583652496338, 1.0416557788848877, 1.0409914255142212, -1.0461158752441406]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9425198435783386, 0.4740385115146637, 0.47780147194862366, -0.11287041008472443, -0.1062619686126709, -0.09098081290721893, -0.005215591751039028, 1.0413612127304077]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0371263027191162, 1.0358413457870483, -1.0479782819747925, 1.040601372718811, 1.0379586219787598, 1.041164517402649, -1.0447286367416382, -1.0437217950820923]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0458656549453735, -1.0463676452636719, 1.0395019054412842, -1.0475389957427979, -1.045595645904541, -1.046708345413208, 1.042081594467163, 1.0428781509399414]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0368647575378418, -1.0510777235031128, 1.0389196872711182, 1.041353464126587, 1.0438644886016846, -1.0515118837356567, 1.0421404838562012, -1.0501896142959595]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0499695539474487, 1.0329636335372925, -1.0521658658981323, -1.049085021018982, -1.0496238470077515, 1.0393842458724976, -1.0474804639816284, 1.041422724723816]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0078654289245605, -1.0422035455703735, -1.0416741371154785, 1.0429497957229614, -1.0380500555038452, -1.0434644222259521, -1.0447416305541992, -1.045517086982727]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0378141403198242, 1.0384565591812134, 1.0347708463668823, -1.0450493097305298, 1.0347397327423096, 1.039825677871704, 1.0399249792099, 1.0400454998016357]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.045790672302246, -1.047838568687439, -1.0512373447418213, -1.0505667924880981, 1.0446730852127075, 1.0417048931121826, 1.0401489734649658, -1.048854947090149]"
17,"[1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.948373019695282, 0.01684633269906044, -0.03130926191806793, 0.5315552949905396, 0.4338347613811493, -0.14961418509483337, -0.24632884562015533, 1.0362931489944458]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0299054384231567, -1.0497089624404907, 1.0328829288482666, -1.0477964878082275, -1.0504164695739746, 1.0397623777389526, -1.0491694211959839, -1.0480424165725708]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.048763632774353, 1.039658784866333, -1.0521875619888306, 1.0412801504135132, 1.0387824773788452, -1.0471495389938354, 1.0423076152801514, 1.0437930822372437]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.030686616897583, 1.0205196142196655, -1.0488436222076416, -1.0500929355621338, -1.0522013902664185, -1.050386905670166, 1.0393301248550415, -1.0489387512207031]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0459505319595337, -1.0547971725463867, 1.033359169960022, 1.0398029088974, 1.0382286310195923, 1.0416234731674194, -1.0501633882522583, 1.0426956415176392]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[0.9875696897506714, 1.0361157655715942, 1.0364670753479004, -1.0432461500167847, 1.0376054048538208, -1.0415011644363403, -1.0439159870147705, -1.044823169708252]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0416611433029175, -1.0507224798202515, -1.047095537185669, 1.0409566164016724, -1.049522042274475, 1.0433712005615234, 1.0430121421813965, 1.0435336828231812]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.034719467163086, -1.0483171939849854, -1.0528137683868408, -1.0510374307632446, -1.047531008720398, 1.0435172319412231, 1.0424784421920776, -1.0492243766784668]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0479319095611572, 1.039481520652771, 1.040414810180664, 1.0427147150039673, 1.0453723669052124, -1.046341061592102, -1.0520858764648438, 1.0435608625411987]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0410425662994385, -1.04501473903656, 1.037918210029602, -1.0469883680343628, 1.04450523853302, 1.0424551963806152, -1.0481979846954346, -1.0475553274154663]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.040602207183838, 1.039693832397461, -1.0496028661727905, 1.0416263341903687, -1.0447207689285278, -1.0446817874908447, 1.0424028635025024, 1.0438343286514282]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0437695980072021, 1.0322765111923218, -1.0444051027297974, -1.048966884613037, 1.0404510498046875, -1.0480610132217407, 1.0416994094848633, -1.0478812456130981]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0396020412445068, -1.0510029792785645, 1.0363848209381104, 1.041023850440979, -1.0445892810821533, 1.0426061153411865, -1.046792984008789, 1.0436334609985352]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0440189838409424, 1.0371966361999512, 1.0374503135681152, -1.0440545082092285, -1.0379339456558228, -1.042818307876587, -1.0428577661514282, -1.044661045074463]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0497599840164185, -1.0461617708206177, -1.0462806224822998, 1.0376801490783691, 1.0355801582336426, 1.0388531684875488, 1.0389561653137207, 1.0388836860656738]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.0427076816558838, 1.039862036705017, -1.043407678604126, 1.0414175987243652, 1.0400574207305908, 1.0414303541183472, 1.0413029193878174, -1.0470826625823975]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0400378704071045, -1.048181176185608, 1.0433628559112549, -1.0484580993652344, -1.0460829734802246, -1.0460610389709473, -1.0480207204818726, 1.0405287742614746]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0288654565811157, 1.0334454774856567, 1.0323837995529175, 1.0375715494155884, -1.0486128330230713, 1.0384925603866577, -1.0452557802200317, -1.0459873676300049]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.041097640991211, -1.0441476106643677, -1.0402183532714844, -1.0456609725952148, 1.0399200916290283, -1.0445398092269897, 1.0383158922195435, 1.0399590730667114]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-1.0372848510742188, -1.0532972812652588, -1.0530424118041992, 1.0369446277618408, -1.0581374168395996, -1.053933024406433, 1.036213755607605, -1.0522664785385132]"
