Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0470796823501587, 1.0487542152404785, 1.0471899509429932, 1.0508121252059937, 1.0470281839370728, 1.0497311353683472, 1.0506999492645264, -1.0565478801727295]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0567429065704346, -1.0499699115753174, -1.0382617712020874, -1.043520212173462, -1.0465270280838013, -1.048512578010559, -1.0461158752441406, 1.0538731813430786]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0593688488006592, 1.0512834787368774, -1.053523063659668, 1.050469160079956, -1.053720474243164, 1.0473442077636719, -1.0605145692825317, -1.0542047023773193]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.056572437286377, -1.048284649848938, 1.055013656616211, -1.040122389793396, 1.0557907819747925, -1.0434021949768066, 1.0607783794403076, 1.0601962804794312]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0477511882781982, -1.044074535369873, 1.051554560661316, 1.0533541440963745, -1.0624135732650757, -1.0508795976638794, 1.0518049001693726, -1.052390217781067]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.057645320892334, 1.0662636756896973, -1.0392266511917114, -1.0436564683914185, 1.0515592098236084, 1.0601698160171509, -1.0439136028289795, 1.058761477470398]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0485939979553223, -1.0497105121612549, -1.0515482425689697, 1.0482341051101685, 1.0441231727600098, -1.0542224645614624, -1.0539487600326538, -1.0522316694259644]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0444614887237549, 1.0631905794143677, 1.0605965852737427, -1.0430524349212646, -1.050413727760315, 1.0585871934890747, 1.0596739053726196, 1.0626459121704102]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.045575737953186, 1.054105281829834, 1.0551270246505737, 1.0522420406341553, -1.0511866807937622, 1.0489401817321777, 1.0509852170944214, -1.0522913932800293]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[0.5247485041618347, -1.0438801050186157, -1.036027193069458, -1.0418516397476196, 1.0516129732131958, -1.0426653623580933, -1.039586067199707, 1.0556467771530151]"
