Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0407944917678833, 1.0390245914459229, 1.0361891984939575, 1.0411691665649414, 1.0388671159744263, 1.0432709455490112, 1.0432524681091309, -1.0466173887252808]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0310231447219849, -1.04094398021698, -1.0435203313827515, -1.044152855873108, -1.0409009456634521, -1.0484793186187744, -1.0498021841049194, 1.0479068756103516]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0333529710769653, 1.0491176843643188, -1.036104679107666, 1.0448447465896606, -1.035020112991333, 1.046451210975647, -1.042805552482605, -1.0449068546295166]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0560740232467651, -1.047228455543518, 1.0477479696273804, -1.0463154315948486, 1.0512681007385254, -1.045405626296997, 1.048616886138916, 1.0490972995758057]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0259655714035034, -1.0347816944122314, 1.0574958324432373, 1.0497311353683472, -1.0394278764724731, -1.0390747785568237, 1.0451374053955078, -1.0438135862350464]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0645490884780884, 1.0532115697860718, -1.0415689945220947, -1.0441757440567017, 1.054559350013733, 1.0495240688323975, -1.0408425331115723, 1.0482650995254517]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0600448846817017, -1.042664647102356, -1.0412274599075317, 1.0431938171386719, 1.0518221855163574, -1.0414427518844604, -1.0415244102478027, -1.0420204401016235]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0408000946044922, 1.0450961589813232, 1.0455549955368042, -1.0444246530532837, -1.0438450574874878, 1.0461831092834473, 1.0476173162460327, 1.0458242893218994]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0306438207626343, 1.0506600141525269, 1.050157904624939, 1.0494658946990967, -1.042405366897583, 1.0473458766937256, 1.044529914855957, -1.0384738445281982]"
9,"[1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9842647314071655, 0.6879919767379761, 0.2848597466945648, 0.11228775978088379, -0.5544506311416626, 0.10225513577461243, 0.025686241686344147, 1.046596884727478]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0534656047821045, 1.0473436117172241, -1.0400886535644531, 1.042262077331543, 1.048251748085022, 1.0449763536453247, -1.039794921875, -1.0394092798233032]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0412380695343018, -1.0500891208648682, 1.0471701622009277, -1.044822096824646, -1.0408445596694946, -1.0413278341293335, 1.046395182609558, 1.0459001064300537]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.060113549232483, -1.0381741523742676, 1.0569654703140259, 1.047660231590271, 1.0509799718856812, -1.0386981964111328, 1.0454739332199097, -1.0418895483016968]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0331658124923706, 1.052230954170227, -1.039102554321289, -1.0422568321228027, -1.0409915447235107, 1.0439835786819458, -1.0422439575195312, 1.0442172288894653]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0243494510650635, -1.0416808128356934, -1.0411614179611206, 1.0408859252929688, -1.0438929796218872, -1.0394891500473022, -1.0425812005996704, -1.0429232120513916]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0457075834274292, 1.0451881885528564, 1.0444070100784302, -1.050736665725708, 1.0311557054519653, 1.0409122705459595, 1.0414838790893555, 1.0419856309890747]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0319417715072632, -1.0426515340805054, -1.0456777811050415, -1.0433762073516846, 1.0476914644241333, 1.0429863929748535, 1.0418224334716797, -1.0467543601989746]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9812105894088745, -0.17916013300418854, -0.25856685638427734, 0.9683849811553955, 0.3913845419883728, -0.016907991841435432, -0.3647449314594269, 1.0474237203598022]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0538709163665771, -1.0377241373062134, 1.046733021736145, -1.0355687141418457, -1.0325371026992798, 1.0463014841079712, -1.0402911901474, -1.0415172576904297]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.042934775352478, 1.0454699993133545, -1.0515538454055786, 1.0478712320327759, 1.0483195781707764, -1.044045329093933, 1.0486446619033813, 1.0492219924926758]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.062425971031189, 1.0516948699951172, -1.040351152420044, -1.035570502281189, -1.0390868186950684, -1.0387253761291504, 1.0445356369018555, -1.04212486743927]"
