Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0440516471862793, 1.0422724485397339, 1.0431785583496094, 1.0440260171890259, 1.0436878204345703, 1.0446022748947144, 1.0448499917984009, -1.0492087602615356]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0534559488296509, -1.0530198812484741, -1.0566036701202393, -1.053439974784851, -1.0564963817596436, -1.055469274520874, -1.0567519664764404, 1.049136996269226]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0397361516952515, 1.0468629598617554, -1.0443402528762817, 1.0451442003250122, -1.0478715896606445, 1.0469638109207153, -1.0481733083724976, -1.051056981086731]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.038526177406311, -1.0453064441680908, 1.0426239967346191, -1.0469785928726196, 1.044235348701477, -1.0491026639938354, 1.050653338432312, 1.0515705347061157]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0444198846817017, -1.0429933071136475, 1.0515482425689697, 1.0464015007019043, -1.0473774671554565, -1.0499333143234253, 1.046128749847412, -1.0538520812988281]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0371949672698975, 1.045683741569519, -1.0484716892242432, -1.0478922128677368, 1.0455881357192993, 1.0503066778182983, -1.0481808185577393, 1.0506646633148193]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0442231893539429, -1.044435739517212, -1.0458176136016846, 1.0459257364273071, 1.0467045307159424, -1.0497100353240967, -1.0497537851333618, -1.0538243055343628]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0595593452453613, 1.037179708480835, 1.0395530462265015, -1.0507620573043823, -1.052941918373108, 1.0459856986999512, 1.046478033065796, 1.0471547842025757]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0497077703475952, 1.0410822629928589, 1.045501470565796, 1.0428069829940796, -1.054325819015503, 1.0415347814559937, 1.0407912731170654, -1.053424596786499]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9927507042884827, 0.1667320430278778, 0.24151058495044708, -0.23622837662696838, -0.3860592246055603, -0.3106123208999634, -0.18375661969184875, 1.0460511445999146]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0454320907592773, 1.0469461679458618, -1.0378496646881104, 1.04491126537323, 1.049352765083313, 1.0460041761398315, -1.0448144674301147, -1.0473881959915161]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0592068433761597, -1.05011785030365, 1.040532112121582, -1.04804265499115, -1.049755334854126, -1.0500922203063965, 1.046576738357544, 1.047247052192688]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0442898273468018, -1.0378144979476929, 1.052445650100708, 1.046069622039795, 1.0531418323516846, -1.0463942289352417, 1.0458784103393555, -1.0492576360702515]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0572593212127686, 1.039290189743042, -1.0475701093673706, -1.049231767654419, -1.050609827041626, 1.0442390441894531, -1.05074143409729, 1.047190546989441]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0153425931930542, -1.0460965633392334, -1.038468599319458, 1.0450942516326904, -1.0408926010131836, -1.0487596988677979, -1.049641728401184, -1.0518821477890015]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0383821725845337, 1.0384260416030884, 1.0418766736984253, -1.0478733777999878, 1.0355489253997803, 1.043540120124817, 1.0443336963653564, 1.0451700687408447]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0499757528305054, -1.0487875938415527, -1.0551247596740723, -1.050550937652588, 1.0420396327972412, 1.0419467687606812, 1.0410661697387695, -1.0505270957946777]"
17,"[1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.8748955726623535, 0.02094392105937004, -0.19027215242385864, 0.4085552394390106, 0.3237985372543335, -0.2660714089870453, -0.27798736095428467, 1.045555830001831]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0486141443252563, -1.0395163297653198, 1.0472160577774048, -1.0409917831420898, -1.0413340330123901, 1.0463420152664185, -1.0478512048721313, -1.048852801322937]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0587774515151978, 1.0402963161468506, -1.0509637594223022, 1.0446457862854004, 1.0455132722854614, -1.0518577098846436, 1.0473124980926514, 1.0489087104797363]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0482468605041504, 1.0457724332809448, -1.0426048040390015, -1.0460114479064941, -1.0455812215805054, -1.0468804836273193, 1.0455851554870605, -1.0485540628433228]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0536847114562988, -1.0527585744857788, 1.0399582386016846, 1.0430729389190674, 1.0429162979125977, 1.0459914207458496, -1.048678994178772, 1.0481630563735962]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.0042818784713745, 1.0393929481506348, 1.0373188257217407, -1.0442782640457153, 1.040651559829712, -1.0458672046661377, -1.0478606224060059, -1.0491176843643188]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.036155343055725, -1.0514634847640991, -1.0487830638885498, 1.0465742349624634, -1.0476973056793213, 1.0481836795806885, 1.048219084739685, 1.0488399267196655]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.045304536819458, -1.0474692583084106, -1.048744797706604, -1.0483111143112183, -1.0447851419448853, 1.046785831451416, 1.043994426727295, -1.051339030265808]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0461252927780151, 1.0449777841567993, 1.0473095178604126, 1.0485039949417114, 1.0511422157287598, -1.043436050415039, -1.049562931060791, 1.048170804977417]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0464156866073608, -1.043410301208496, 1.040346622467041, -1.0448715686798096, 1.0476866960525513, 1.0467162132263184, -1.0493911504745483, -1.0511057376861572]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.0347172021865845, 1.040917992591858, -1.0471562147140503, 1.0448187589645386, -1.048915982246399, -1.0481699705123901, 1.046148419380188, 1.0476802587509155]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0442581176757812, 1.0432435274124146, -1.0407177209854126, -1.0475974082946777, 1.0489252805709839, -1.0474016666412354, 1.0458022356033325, -1.049877405166626]"
