Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0455482006072998, 1.0442805290222168, 1.0453364849090576, 1.0464556217193604, 1.0469776391983032, 1.0472203493118286, 1.047826886177063, -1.0419926643371582]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0267069339752197, -1.048539638519287, -1.0349493026733398, -1.0362650156021118, -1.0362166166305542, -1.0363632440567017, -1.0338155031204224, 1.050776720046997]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0372028350830078, 1.0524721145629883, -1.0401095151901245, 1.0503780841827393, -1.0416735410690308, 1.048188328742981, -1.0433098077774048, -1.038443922996521]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0664423704147339, -1.048194169998169, 1.0525524616241455, -1.037919282913208, 1.055785059928894, -1.0371224880218506, 1.0549193620681763, 1.054194450378418]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0383068323135376, -1.0448697805404663, 1.0530521869659424, 1.051353931427002, -1.0475616455078125, -1.0418074131011963, 1.052245020866394, -1.0398029088974]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0699236392974854, 1.0573694705963135, -1.0397861003875732, -1.039729356765747, 1.0555232763290405, 1.0551749467849731, -1.0364607572555542, 1.0552716255187988]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0583604574203491, -1.0466029644012451, -1.041528344154358, 1.0494778156280518, 1.0500810146331787, -1.043123722076416, -1.040833830833435, -1.039649248123169]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0461078882217407, 1.05029296875, 1.0446066856384277, -1.0434483289718628, -1.0486913919448853, 1.049106478691101, 1.0496089458465576, 1.0497570037841797]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.043273687362671, 1.046376347541809, 1.0483474731445312, 1.045387625694275, -1.0441011190414429, 1.0458308458328247, 1.0468999147415161, -1.0416967868804932]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0139529705047607, -1.0457243919372559, -1.0362327098846436, -1.0377756357192993, 1.046646237373352, -1.035422682762146, -1.033119797706604, 1.0499560832977295]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.061249017715454, 1.049277424812317, -1.0430513620376587, 1.0457720756530762, 1.0510693788528442, 1.0458881855010986, -1.040511131286621, -1.03945791721344]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0461022853851318, -1.0538984537124634, 1.0473941564559937, -1.0406299829483032, -1.0507466793060303, -1.0431910753250122, 1.0498336553573608, 1.0487985610961914]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.057753562927246, -1.0473445653915405, 1.0515024662017822, 1.0463926792144775, 1.0535080432891846, -1.0455684661865234, 1.0467770099639893, -1.036657691001892]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0469152927398682, 1.0554217100143433, -1.0418977737426758, -1.0434167385101318, -1.0470983982086182, 1.050945520401001, -1.0421819686889648, 1.0507622957229614]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[0.9020376801490784, -1.046621561050415, -1.0424020290374756, 1.0493367910385132, -1.0429550409317017, -1.0467571020126343, -1.041846752166748, -1.0418963432312012]"
