Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0571473836898804, 1.0563000440597534, 1.0526171922683716, 1.0536695718765259, 1.052667260169983, 1.052567720413208, 1.0535268783569336, -1.0454838275909424]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0344117879867554, -1.044034481048584, -1.0445672273635864, -1.0464506149291992, -1.0462071895599365, -1.044344186782837, -1.0455272197723389, 1.0517247915267944]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.035362958908081, 1.0527745485305786, -1.0490522384643555, 1.0510070323944092, -1.0432512760162354, 1.0511510372161865, -1.0442134141921997, -1.0466548204421997]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0561962127685547, -1.0417121648788452, 1.053947925567627, -1.0450506210327148, 1.0513452291488647, -1.044512152671814, 1.0503686666488647, 1.0515271425247192]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0386210680007935, -1.0448702573776245, 1.0535191297531128, 1.0514589548110962, -1.04169762134552, -1.0479066371917725, 1.0504504442214966, -1.0488601922988892]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0536909103393555, 1.0482105016708374, -1.0441862344741821, -1.0474692583084106, 1.048547387123108, 1.0511913299560547, -1.047918677330017, 1.0496234893798828]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0492677688598633, -1.046233057975769, -1.050077199935913, 1.049628496170044, 1.0507326126098633, -1.0480971336364746, -1.0471289157867432, -1.0507391691207886]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.042151927947998, 1.0430634021759033, 1.0469855070114136, -1.0504584312438965, -1.049899697303772, 1.0459239482879639, 1.0469532012939453, 1.0483397245407104]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0340958833694458, 1.0566303730010986, 1.0466010570526123, 1.046786904335022, -1.0410327911376953, 1.0479987859725952, 1.0474334955215454, -1.0478440523147583]"
9,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9580621719360352, 0.3874448537826538, 0.4154767096042633, -0.11648911237716675, 0.06366793066263199, -0.19117620587348938, -0.005457470193505287, 1.0474741458892822]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0514280796051025, 1.0478942394256592, -1.0489988327026367, 1.048420786857605, 1.0477733612060547, 1.0486469268798828, -1.0445979833602905, -1.0484118461608887]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0377694368362427, -1.0445501804351807, 1.051221489906311, -1.0475735664367676, -1.0442434549331665, -1.0483614206314087, 1.047533392906189, 1.0488648414611816]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.05649733543396, -1.0446186065673828, 1.0505576133728027, 1.0505443811416626, 1.0565649271011353, -1.046778678894043, 1.049174189567566, -1.0485285520553589]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.039097785949707, 1.0454298257827759, -1.0445560216903687, -1.049339771270752, -1.0472242832183838, 1.0464866161346436, -1.0504173040390015, 1.0489925146102905]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0397984981536865, -1.0390690565109253, -1.043954610824585, 1.0492697954177856, -1.044441819190979, -1.043989658355713, -1.0459225177764893, -1.0480773448944092]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0452600717544556, 1.0422978401184082, 1.0394092798233032, -1.0483025312423706, 1.0321294069290161, 1.040765404701233, 1.0432641506195068, 1.0449168682098389]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0283939838409424, -1.0449068546295166, -1.045878529548645, -1.0463244915008545, 1.050774097442627, 1.0483429431915283, 1.0469367504119873, -1.0479122400283813]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9268988370895386, -0.08997699618339539, -0.09347525238990784, 0.8212862014770508, 0.32727688550949097, -0.2756197452545166, -0.22113777697086334, 1.0481301546096802]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.047253131866455, -1.046538233757019, 1.0485761165618896, -1.0479565858840942, -1.0489789247512817, 1.047394871711731, -1.0488746166229248, -1.0510464906692505]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0387074947357178, 1.0477626323699951, -1.0445865392684937, 1.0476552248001099, 1.0470634698867798, -1.0486057996749878, 1.0480821132659912, 1.049748182296753]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.052985429763794, 1.0482842922210693, -1.0436809062957764, -1.0463347434997559, -1.0420798063278198, -1.0459562540054321, 1.0457918643951416, -1.0467051267623901]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.036272406578064, -1.040375828742981, 1.047560691833496, 1.0481339693069458, 1.0498881340026855, 1.0487844944000244, -1.0485183000564575, 1.0504653453826904]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.0135362148284912, 1.0477137565612793, 1.0474342107772827, -1.046947717666626, 1.0496891736984253, -1.045704960823059, -1.0471625328063965, -1.048424243927002]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0492304563522339, -1.04697847366333, -1.0465641021728516, 1.0489205121994019, -1.0455058813095093, 1.0496958494186401, 1.0493768453598022, 1.0504730939865112]"
