Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0431294441223145, 1.0371354818344116, 1.0422234535217285, 1.0438299179077148, 1.0432195663452148, 1.044703722000122, 1.0452404022216797, -1.0392183065414429]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0421040058135986, -1.0504510402679443, -1.0473555326461792, -1.0503911972045898, -1.0507115125656128, -1.0516594648361206, -1.05196213722229, 1.0432761907577515]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0328806638717651, 1.0445445775985718, -1.0359835624694824, 1.0446232557296753, -1.034952163696289, 1.0463438034057617, -1.040177345275879, -1.0413858890533447]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0427733659744263, -1.0415396690368652, 1.0465182065963745, -1.0444406270980835, 1.0480743646621704, -1.0434798002243042, 1.0462018251419067, 1.0481352806091309]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0366616249084473, -1.0397160053253174, 1.0521265268325806, 1.0449343919754028, -1.0419447422027588, -1.0425211191177368, 1.0448282957077026, -1.0435181856155396]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0474159717559814, 1.047207236289978, -1.0333340167999268, -1.041235327720642, 1.0485855340957642, 1.0496289730072021, -1.0383161306381226, 1.0477269887924194]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0493152141571045, -1.039505958557129, -1.0385059118270874, 1.0459191799163818, 1.0482231378555298, -1.0400201082229614, -1.0419403314590454, -1.042849063873291]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0401264429092407, 1.0437548160552979, 1.04678213596344, -1.0382795333862305, -1.0341546535491943, 1.0443168878555298, 1.0446081161499023, 1.0462757349014282]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0414329767227173, 1.0422043800354004, 1.045655608177185, 1.042992115020752, -1.0444765090942383, 1.0441948175430298, 1.0439742803573608, -1.041331171989441]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9673275947570801, 0.2960371673107147, 0.17175093293190002, -0.20330068469047546, -0.3639865815639496, -0.20247915387153625, -0.1054278165102005, 1.0418974161148071]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0530779361724854, 1.0428763628005981, -1.0311135053634644, 1.0438543558120728, 1.0464119911193848, 1.045415997505188, -1.0394943952560425, -1.0397943258285522]"
