Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0453321933746338, 1.0454654693603516, 1.0482432842254639, 1.0470813512802124, 1.0497981309890747, 1.0464351177215576, 1.047529697418213, -1.034584879875183]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0246590375900269, -1.0366848707199097, -1.018135666847229, -1.0255032777786255, -1.0219744443893433, -1.0305910110473633, -1.0232247114181519, 1.0560251474380493]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0204578638076782, 1.0610958337783813, -1.0331448316574097, 1.052513837814331, -1.0371986627578735, 1.0521734952926636, -1.0371503829956055, -1.0315767526626587]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0691910982131958, -1.0376880168914795, 1.0539448261260986, -1.0218538045883179, 1.0573877096176147, -1.0241153240203857, 1.0518519878387451, 1.0524486303329468]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0222645998001099, -1.0299417972564697, 1.060359001159668, 1.051812767982483, -1.0368225574493408, -1.0309895277023315, 1.052569031715393, -1.0281119346618652]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0762959718704224, 1.0596493482589722, -1.0246831178665161, -1.0289287567138672, 1.0598913431167603, 1.0556139945983887, -1.0252747535705566, 1.055381417274475]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0577601194381714, -1.0387260913848877, -1.038164496421814, 1.0474909543991089, 1.053048849105835, -1.0300629138946533, -1.0342620611190796, -1.0343605279922485]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.046190857887268, 1.0496987104415894, 1.0480971336364746, -1.033605694770813, -1.0425958633422852, 1.0450501441955566, 1.0455714464187622, 1.0473183393478394]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0326956510543823, 1.055269479751587, 1.0545518398284912, 1.050024390220642, -1.037835717201233, 1.0494978427886963, 1.0483895540237427, -1.0311906337738037]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9915872812271118, -1.0367720127105713, -1.021741509437561, -1.0288264751434326, 1.0480706691741943, -1.02826988697052, -1.0248135328292847, 1.0511116981506348]"
