Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.059749722480774, 1.0480831861495972, 1.052330493927002, 1.0511279106140137, 1.051662802696228, 1.0517231225967407, 1.0563408136367798, -1.0372177362442017]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0670782327651978, -1.0558723211288452, -1.0377780199050903, -1.0357310771942139, -1.0310038328170776, -1.035272240638733, -1.041487693786621, 1.0566799640655518]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0560431480407715, 1.0580592155456543, -1.048196792602539, 1.0585658550262451, -1.0513395071029663, 1.0562275648117065, -1.0540975332260132, -1.044732689857483]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0765293836593628, -1.0434187650680542, 1.0504926443099976, -1.036953091621399, 1.0436968803405762, -1.0356407165527344, 1.0520827770233154, 1.0548193454742432]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0395580530166626, -1.0390229225158691, 1.0602885484695435, 1.0512418746948242, -1.049999475479126, -1.0440810918807983, 1.0612411499023438, -1.0416069030761719]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0654982328414917, 1.0515209436416626, -1.0413395166397095, -1.0377671718597412, 1.0483686923980713, 1.049154281616211, -1.0346310138702393, 1.0506969690322876]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0559158325195312, -1.0431281328201294, -1.046897053718567, 1.0518258810043335, 1.0535545349121094, -1.0444587469100952, -1.0472636222839355, -1.0420173406600952]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0514518022537231, 1.0531017780303955, 1.0459842681884766, -1.0420390367507935, -1.0495250225067139, 1.055168628692627, 1.0540032386779785, 1.0586802959442139]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.046707034111023, 1.0532506704330444, 1.0543314218521118, 1.0536500215530396, -1.0406394004821777, 1.0525797605514526, 1.0575058460235596, -1.044126033782959]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[1.0428261756896973, -1.0444769859313965, -1.0389111042022705, -1.0365304946899414, 1.0338432788848877, -1.0324934720993042, -1.033553123474121, 1.0529505014419556]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0641708374023438, 1.0601028203964233, -1.0501853227615356, 1.0548171997070312, 1.052290916442871, 1.0504034757614136, -1.0471259355545044, -1.0452219247817993]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0602836608886719, -1.0448733568191528, 1.0427887439727783, -1.0400346517562866, -1.0469484329223633, -1.0412062406539917, 1.052981972694397, 1.0558871030807495]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0787062644958496, -1.0502010583877563, 1.0582935810089111, 1.0494598150253296, 1.0528557300567627, -1.0404616594314575, 1.0550650358200073, -1.0401275157928467]"
