Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0270167589187622, 1.0410276651382446, 1.0431207418441772, 1.042967438697815, 1.0432024002075195, 1.0429376363754272, 1.0423892736434937, -1.0394405126571655]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0585111379623413, -1.046809434890747, -1.0396747589111328, -1.0451645851135254, -1.0451732873916626, -1.0445467233657837, -1.0462627410888672, 1.0363078117370605]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0606356859207153, 1.0385839939117432, -1.045552134513855, 1.0377167463302612, -1.0463312864303589, 1.0338281393051147, -1.0460282564163208, -1.044965386390686]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0310266017913818, -1.0456150770187378, 1.040785789489746, -1.0413010120391846, 1.0415388345718384, -1.040464162826538, 1.0417712926864624, 1.0424710512161255]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0483958721160889, -1.040681004524231, 1.0450636148452759, 1.0419361591339111, -1.0520012378692627, -1.0364153385162354, 1.0378527641296387, -1.0370548963546753]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0334829092025757, 1.0413522720336914, -1.0379369258880615, -1.0392624139785767, 1.0390797853469849, 1.0410606861114502, -1.037819743156433, 1.041035532951355]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0292155742645264, -1.0433785915374756, -1.0431684255599976, 1.0362677574157715, 1.0427465438842773, -1.0418320894241333, -1.0435426235198975, -1.0390381813049316]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0508768558502197, 1.0415459871292114, 1.0450572967529297, -1.0346192121505737, -1.027051329612732, 1.0404366254806519, 1.0405421257019043, 1.0412681102752686]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0498266220092773, 1.045477271080017, 1.0421165227890015, 1.0428611040115356, -1.0383964776992798, 1.0387992858886719, 1.037654161453247, -1.0306566953659058]"
9,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0403356552124023, -1.0308853387832642, 0.4736765921115875, -0.5167390704154968, -0.32906854152679443, -0.18446382880210876, 0.28500157594680786, 1.039513111114502]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.034250259399414, 1.0443851947784424, -1.0435694456100464, 1.0391247272491455, 1.0413082838058472, 1.0388866662979126, -1.0418285131454468, -1.0338348150253296]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0515116453170776, -1.0419530868530273, 1.0445212125778198, -1.034184217453003, -1.0386205911636353, -1.0340235233306885, 1.0441912412643433, 1.0455832481384277]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0397000312805176, -1.0407787561416626, 1.0462801456451416, 1.038698434829712, 1.044225811958313, -1.0368112325668335, 1.0407793521881104, -1.034239649772644]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0491944551467896, 1.046172857284546, -1.0312072038650513, -1.0384312868118286, -1.0401625633239746, 1.0414752960205078, -1.0369209051132202, 1.0437415838241577]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[0.9762932658195496, -1.0364317893981934, -1.0392045974731445, 1.0447826385498047, -1.0401400327682495, -1.039036512374878, -1.0398705005645752, -1.0404971837997437]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0381615161895752, 1.0440300703048706, 1.0454835891723633, -1.0358084440231323, 1.0347458124160767, 1.0423442125320435, 1.042809009552002, 1.0432674884796143]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.051679015159607, -1.0503405332565308, -1.0505272150039673, -1.039941668510437, 1.0419155359268188, 1.0390373468399048, 1.038122534751892, -1.0385018587112427]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-1.0302428007125854, -0.38874003291130066, -0.5135867595672607, 0.9948022961616516, 0.7832659482955933, -0.6811647415161133, -0.15202662348747253, 1.0385410785675049]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0320316553115845, -1.0418341159820557, 1.0445142984390259, -1.041451334953308, -1.0409687757492065, 1.0364822149276733, -1.0434505939483643, -1.0370991230010986]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0557631254196167, 1.0441653728485107, -1.0448191165924072, 1.038737416267395, 1.0457996129989624, -1.0324833393096924, 1.0425856113433838, 1.044491171836853]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0334362983703613, 1.0445655584335327, -1.045754075050354, -1.037202000617981, -1.0481877326965332, -1.0382072925567627, 1.0369715690612793, -1.0361721515655518]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0530883073806763, -1.0462610721588135, 1.0502818822860718, 1.0404777526855469, 1.0449748039245605, 1.0414397716522217, -1.033679485321045, 1.043609857559204]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[0.9651679396629333, 1.0436235666275024, 1.0443230867385864, -1.0402355194091797, 1.0470701456069946, -1.0404108762741089, -1.0411335229873657, -1.0392009019851685]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0346579551696777, -1.0452008247375488, -1.0418659448623657, 1.0420986413955688, -1.0380219221115112, 1.043500542640686, 1.044074535369873, 1.044073462486267]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.036340355873108, -1.0460997819900513, -1.0430256128311157, -1.0388163328170776, -1.0409777164459229, 1.0381289720535278, 1.0394190549850464, -1.040990948677063]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.056213140487671, 1.045993447303772, 1.0533826351165771, 1.041833519935608, 1.0484286546707153, -1.0413503646850586, -1.0360214710235596, 1.0424113273620605]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0554049015045166, -1.0361424684524536, 1.045108437538147, -1.0398503541946411, 1.0466686487197876, 1.0459493398666382, -1.0401304960250854, -1.041081190109253]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.0354139804840088, 1.0457720756530762, -1.0426945686340332, 1.0401283502578735, -1.0365755558013916, -1.0401493310928345, 1.0430777072906494, 1.0461409091949463]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0466623306274414, 1.0446321964263916, -1.0418177843093872, -1.0417579412460327, 1.043596625328064, -1.0409293174743652, 1.0433965921401978, -1.040714144706726]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.036661982536316, -1.0463237762451172, 1.049317717552185, 1.044558048248291, -1.0459116697311401, 1.0447341203689575, -1.0461475849151611, 1.0461945533752441]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0337756872177124, 1.0451152324676514, 1.0465558767318726, -1.0434836149215698, -1.042885422706604, -1.042358636856079, -1.0432660579681396, -1.0429975986480713]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0474892854690552, -1.0417404174804688, -1.0420362949371338, 1.0419858694076538, 1.0443094968795776, 1.0448408126831055, 1.0447622537612915, 1.0439072847366333]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.0451871156692505, 1.0460870265960693, -1.0294607877731323, 1.039401888847351, 1.036978006362915, 1.0353479385375977, 1.0342721939086914, -1.0301406383514404]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0394591093063354, -1.0390902757644653, 1.038404107093811, -1.0294151306152344, -1.0385346412658691, -1.0248699188232422, -1.0332207679748535, 1.0382903814315796]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0252883434295654, 1.0437092781066895, 1.0375580787658691, 1.0361261367797852, -1.0385464429855347, 1.0350342988967896, -1.0346118211746216, -1.02793550491333]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.0461163520812988, -1.039850115776062, -1.048066258430481, -1.0364528894424438, 1.0440424680709839, -1.0362248420715332, 1.041009545326233, 1.0411226749420166]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-1.0138126611709595, -1.0393041372299194, -1.0343462228775024, 1.0369374752044678, -1.0462011098861694, -1.0347524881362915, 1.0388753414154053, -1.0366522073745728]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.045346975326538, 1.041197419166565, 1.0411185026168823, -1.035912036895752, 1.044321060180664, 1.0406216382980347, -1.0363880395889282, 1.0411560535430908]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.0509822368621826, -1.0400093793869019, 1.0414071083068848, 1.0421104431152344, 1.0443774461746216, -1.0425242185592651, -1.042175054550171, -1.0412591695785522]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0360621213912964, 1.0410678386688232, -1.040238618850708, -1.0382447242736816, -1.0385684967041016, 1.041213870048523, 1.040705680847168, 1.0410866737365723]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.036710262298584, 1.0465060472488403, -1.0346307754516602, 1.0402981042861938, -1.0390571355819702, 1.0381288528442383, 1.0383256673812866, -1.037939429283142]"
41,"[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1.0253976583480835, -1.036521077156067, 1.0395046472549438, -1.0368002653121948, 1.0453219413757324, -1.0345637798309326, -1.0303947925567627, 1.0421911478042603]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.049607276916504, 1.0498361587524414, 1.041019082069397, 1.042009949684143, 1.0468683242797852, 1.0433000326156616, -1.0397096872329712, -1.0361931324005127]"
43,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.0411614179611206, -1.0439105033874512, -1.0468394756317139, -1.0368640422821045, -1.0446045398712158, -1.0391792058944702, 1.0431976318359375, 1.0435609817504883]"
