Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.039872646331787, 1.043636441230774, 1.045053482055664, 1.0474694967269897, 1.049767017364502, 1.047930359840393, 1.0486109256744385, -1.0364927053451538]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0489453077316284, -1.0565158128738403, -1.0242129564285278, -1.0274161100387573, -1.0321508646011353, -1.0339895486831665, -1.0267713069915771, 1.0516468286514282]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0432686805725098, 1.0575627088546753, -1.0334482192993164, 1.0495784282684326, -1.0341109037399292, 1.0515592098236084, -1.0332533121109009, -1.0297799110412598]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0480631589889526, -1.0619794130325317, 1.043997049331665, -1.022423267364502, 1.0501912832260132, -1.0247642993927002, 1.04463791847229, 1.0463978052139282]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.042634129524231, -1.0416465997695923, 1.0562007427215576, 1.0500679016113281, -1.044311761856079, -1.0344842672348022, 1.049634337425232, -1.0356755256652832]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0421693325042725, 1.0452563762664795, -1.029604196548462, -1.030057668685913, 1.046494483947754, 1.0416125059127808, -1.0245099067687988, 1.0478582382202148]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0594642162322998, -1.0377751588821411, -1.03229820728302, 1.0472286939620972, 1.0567574501037598, -1.0304843187332153, -1.0277568101882935, -1.0291146039962769]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0555201768875122, 1.0475417375564575, 1.045046091079712, -1.0420666933059692, -1.0493603944778442, 1.042490005493164, 1.0446966886520386, 1.046038031578064]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.046863079071045, 1.0488313436508179, 1.0537629127502441, 1.047678828239441, -1.0434324741363525, 1.0457946062088013, 1.0461653470993042, -1.0385329723358154]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0305430889129639, -1.0526012182235718, -1.01515793800354, -1.0219837427139282, 0.7905392050743103, -1.0252373218536377, -1.017110824584961, 1.046005129814148]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.060330867767334, 1.0563832521438599, -1.0349491834640503, 1.045204997062683, 1.0549112558364868, 1.0475670099258423, -1.0288667678833008, -1.0250258445739746]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0513850450515747, -1.0559180974960327, 1.0429860353469849, -1.033493161201477, -1.053454875946045, -1.0391842126846313, 1.0471271276474, 1.045383095741272]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0592721700668335, -1.0346602201461792, 1.0572251081466675, 1.0473860502243042, 1.0560660362243652, -1.0317986011505127, 1.0472079515457153, -1.027442216873169]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0509463548660278, 1.0499775409698486, -1.0339903831481934, -1.0384141206741333, -1.053501844406128, 1.0469075441360474, -1.0358844995498657, 1.0481910705566406]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0490857362747192, -1.0333274602890015, -1.0325251817703247, 1.0446550846099854, -1.0438143014907837, -1.0310149192810059, -1.0260969400405884, -1.0305312871932983]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0466773509979248, 1.0473955869674683, 1.0510648488998413, -1.040278673171997, 1.041455626487732, 1.0437870025634766, 1.0440740585327148, 1.0437837839126587]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0551761388778687, -1.054681658744812, -1.050661563873291, -1.0403549671173096, 1.0471853017807007, 1.0436073541641235, 1.0444533824920654, -1.0417648553848267]"
17,"[1, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-1.0334938764572144, -0.8248836994171143, 0.6427134275436401, 1.009575366973877, -1.0004386901855469, -1.0229722261428833, -1.0150245428085327, 1.04436194896698]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.05519437789917, -1.0477157831192017, 1.0511265993118286, -1.033441185951233, -1.032688021659851, 1.0459492206573486, -1.0293856859207153, -1.0277061462402344]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0534905195236206, 1.0486048460006714, -1.05294930934906, 1.0394489765167236, 1.0490046739578247, -1.0380947589874268, 1.0461174249649048, 1.0442928075790405]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0542327165603638, 1.0565334558486938, -1.0485308170318604, -1.0266766548156738, -1.045371651649475, -1.0319437980651855, 1.0454667806625366, -1.0283620357513428]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0547802448272705, -1.048610806465149, 1.0581034421920776, 1.0439964532852173, 1.044596791267395, 1.0454038381576538, -1.0329395532608032, 1.0460920333862305]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[0.9884042143821716, 1.0498074293136597, 1.0533143281936646, -1.0314719676971436, 1.0555943250656128, -1.0334159135818481, -1.0264296531677246, -1.033342957496643]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0543040037155151, -1.0496339797973633, -1.0497827529907227, 1.0408573150634766, -1.0484906435012817, 1.040470004081726, 1.0423915386199951, 1.0431969165802002]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0541850328445435, -1.048012614250183, -1.0467841625213623, -1.029928207397461, -1.0368648767471313, 1.0441416501998901, 1.045682668685913, -1.034192442893982]"
