Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0346310138702393, 1.037664532661438, 1.0415208339691162, 1.0419319868087769, 1.0424104928970337, 1.0433871746063232, 1.0434151887893677, -1.0458956956863403]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.048323154449463, -1.0474437475204468, -1.0443823337554932, -1.0404678583145142, -1.044471025466919, -1.042423129081726, -1.0399415493011475, 1.0430172681808472]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0462524890899658, 1.0498919486999512, -1.045668125152588, 1.044165015220642, -1.0455924272537231, 1.0411629676818848, -1.0488731861114502, -1.045945644378662]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.04599130153656, -1.0488858222961426, 1.0408278703689575, -1.039644718170166, 1.0438162088394165, -1.040311574935913, 1.0396490097045898, 1.0431795120239258]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0377771854400635, -1.0401884317398071, 1.0494474172592163, 1.0474159717559814, -1.0528392791748047, -1.0437170267105103, 1.0448129177093506, -1.0425571203231812]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0461416244506836, 1.0457736253738403, -1.0409929752349854, -1.0382227897644043, 1.0415102243423462, 1.0364669561386108, -1.0397701263427734, 1.0411731004714966]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0510776042938232, -1.0428873300552368, -1.0403625965118408, 1.043009638786316, 1.046584963798523, -1.0463509559631348, -1.0435413122177124, -1.0423989295959473]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.047629952430725, 1.0439434051513672, 1.035607099533081, -1.0418273210525513, -1.0487167835235596, 1.0390524864196777, 1.0393649339675903, 1.04054856300354]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.039276123046875, 1.0519094467163086, 1.0466015338897705, 1.0454100370407104, -1.037192702293396, 1.0443933010101318, 1.0433059930801392, -1.0395623445510864]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.01808762550354, -1.0392405986785889, -1.0182673931121826, -1.0196161270141602, 0.7922021150588989, -1.0208632946014404, -1.0203222036361694, 1.0417039394378662]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.05219304561615, 1.0507197380065918, -1.0411406755447388, 1.0415302515029907, 1.051648736000061, 1.0422768592834473, -1.041555643081665, -1.0409185886383057]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.047542691230774, -1.0500332117080688, 1.0377142429351807, -1.0395073890686035, -1.0448660850524902, -1.041875958442688, 1.0427547693252563, 1.0429562330245972]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.053849458694458, -1.0405980348587036, 1.050356388092041, 1.0434991121292114, 1.0514272451400757, -1.0423450469970703, 1.0435395240783691, -1.0402706861495972]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0473384857177734, 1.049409031867981, -1.0421303510665894, -1.041162371635437, -1.039737582206726, 1.0435583591461182, -1.0423917770385742, 1.043025016784668]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0106481313705444, -1.0401569604873657, -1.0405856370925903, 1.0459346771240234, -1.0402264595031738, -1.0436556339263916, -1.0415061712265015, -1.0424988269805908]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0405101776123047, 1.044420838356018, 1.0408105850219727, -1.0405125617980957, 1.0382689237594604, 1.040692687034607, 1.0407527685165405, 1.0393637418746948]"
