Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.041601538658142, 1.0418334007263184, 1.0460307598114014, 1.0483824014663696, 1.0467900037765503, 1.0486912727355957, 1.0482369661331177, -1.0245473384857178]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.029839277267456, -1.036482334136963, -1.0261218547821045, -1.028523325920105, -1.0293523073196411, -1.0329794883728027, -1.0317411422729492, 1.0614771842956543]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0294768810272217, 1.052681565284729, -1.0351762771606445, 1.0509477853775024, -1.0367088317871094, 1.0479788780212402, -1.0298099517822266, -1.0310877561569214]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0530492067337036, -1.0366448163986206, 1.0492560863494873, -1.0264707803726196, 1.0487858057022095, -1.0308359861373901, 1.059236764907837, 1.0569369792938232]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0283993482589722, -1.0299553871154785, 1.05891752243042, 1.0527350902557373, -1.0420762300491333, -1.0289422273635864, 1.049196481704712, -1.028007984161377]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0514225959777832, 1.0548654794692993, -1.0291670560836792, -1.03035306930542, 1.0469887256622314, 1.0578464269638062, -1.0342276096343994, 1.0539509057998657]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0507750511169434, -1.033341884613037, -1.0408923625946045, 1.0449097156524658, 1.0417646169662476, -1.0348795652389526, -1.03256094455719, -1.0321627855300903]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0473153591156006, 1.04465913772583, 1.0439956188201904, -1.043916940689087, -1.0519417524337769, 1.0452980995178223, 1.0463050603866577, 1.0481910705566406]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.031238317489624, 1.054872989654541, 1.0523700714111328, 1.0514593124389648, -1.0295443534851074, 1.0468920469284058, 1.0469270944595337, -1.026585578918457]"
9,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0118657350540161, -1.036187767982483, -1.0181264877319336, -1.0213068723678589, -0.7517480850219727, -1.0256174802780151, -1.0266000032424927, 1.0498812198638916]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0527368783950806, 1.0495741367340088, -1.039448618888855, 1.047325849533081, 1.0466299057006836, 1.0439859628677368, -1.0343631505966187, -1.0302119255065918]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.042517900466919, -1.0405917167663574, 1.0456043481826782, -1.0392097234725952, -1.0454542636871338, -1.0430396795272827, 1.0518444776535034, 1.0511279106140137]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0521564483642578, -1.0352718830108643, 1.0573164224624634, 1.049178957939148, 1.0484933853149414, -1.0358014106750488, 1.0447697639465332, -1.0296714305877686]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.044275164604187, 1.0524399280548096, -1.0368363857269287, -1.0403878688812256, -1.0417829751968384, 1.0503252744674683, -1.0431115627288818, 1.0489146709442139]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0269161462783813, -1.0355271100997925, -1.0434184074401855, 1.043144702911377, -1.0371254682540894, -1.0384547710418701, -1.0388942956924438, -1.039636254310608]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.041096568107605, 1.045644760131836, 1.042931079864502, -1.0450594425201416, 1.041880488395691, 1.0445727109909058, 1.0447059869766235, 1.044844388961792]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.039044737815857, -1.0487028360366821, -1.048627495765686, -1.0350018739700317, 1.047106146812439, 1.0453979969024658, 1.0449914932250977, -1.0330451726913452]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-1.0071474313735962, -0.6060112118721008, -0.2942473590373993, 1.0399510860443115, 0.3099639117717743, -1.0208733081817627, -1.0208228826522827, 1.049967885017395]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0481770038604736, -1.0393894910812378, 1.0400853157043457, -1.0342893600463867, -1.0392276048660278, 1.043688416481018, -1.0338327884674072, -1.0292181968688965]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.047788381576538, 1.0489662885665894, -1.0541125535964966, 1.0464690923690796, 1.0432932376861572, -1.041888952255249, 1.0505062341690063, 1.049611210823059]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0459003448486328, 1.0476011037826538, -1.0496783256530762, -1.0329861640930176, -1.0436720848083496, -1.0359859466552734, 1.0452065467834473, -1.0309233665466309]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0456656217575073, -1.0465121269226074, 1.047152042388916, 1.05110502243042, 1.0413237810134888, 1.0507287979125977, -1.0429202318191528, 1.0486578941345215]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.0182735919952393, 1.039097785949707, 1.0374763011932373, -1.0389410257339478, 1.040888786315918, -1.038004994392395, -1.0370213985443115, -1.0366891622543335]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0369133949279785, -1.055598497390747, -1.0551811456680298, 1.0455126762390137, -1.0549213886260986, 1.0440826416015625, 1.0455526113510132, 1.0471066236495972]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0489206314086914, -1.0428156852722168, -1.0461302995681763, -1.0354887247085571, -1.0378531217575073, 1.0433470010757446, 1.0438408851623535, -1.0352009534835815]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0453742742538452, 1.048340082168579, 1.0527456998825073, 1.0478688478469849, 1.0538151264190674, -1.0428943634033203, -1.0416309833526611, 1.047506332397461]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0518349409103394, -1.0408579111099243, 1.0391696691513062, -1.0377287864685059, 1.0445735454559326, 1.0423619747161865, -1.0377150774002075, -1.0390658378601074]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.0366195440292358, 1.043014645576477, -1.0539445877075195, 1.0433626174926758, -1.0470951795578003, -1.0477434396743774, 1.0459126234054565, 1.046690583229065]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0495516061782837, 1.045344591140747, -1.0450931787490845, -1.0369104146957397, 1.0451159477233887, -1.037851333618164, 1.0452440977096558, -1.0370639562606812]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0425297021865845, -1.047181248664856, 1.046568751335144, 1.0481101274490356, -1.0461841821670532, 1.0482920408248901, -1.0472949743270874, 1.047004222869873]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.036834478378296, 1.0364502668380737, 1.0391144752502441, -1.0432300567626953, -1.0441333055496216, -1.0427215099334717, -1.0410702228546143, -1.0440905094146729]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.04732084274292, -1.0478750467300415, -1.0489355325698853, 1.0455687046051025, 1.0455538034439087, 1.0468922853469849, 1.046966314315796, 1.0458967685699463]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.037735104560852, 1.0482325553894043, -1.0313106775283813, 1.0483626127243042, 1.0447241067886353, 1.045149803161621, 1.0447243452072144, -1.0350264310836792]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0614558458328247, -1.0364601612091064, 1.062867283821106, -1.0308998823165894, -1.032470703125, -1.0292860269546509, -1.033663272857666, 1.0495659112930298]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0525230169296265, 1.0489026308059692, 1.0515705347061157, 1.0478754043579102, -1.040048360824585, 1.0450669527053833, -1.0359543561935425, -1.0334643125534058]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.0389248132705688, -1.0419425964355469, -1.0396709442138672, -1.0394511222839355, 1.0469534397125244, -1.0408085584640503, 1.05130934715271, 1.0497959852218628]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-0.8332239389419556, -1.037675142288208, -1.0302555561065674, 1.0462740659713745, -1.0385360717773438, -1.036571979522705, 1.0432348251342773, -1.0374069213867188]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.0384531021118164, 1.0492682456970215, 1.0537413358688354, -1.0399212837219238, 1.0438123941421509, 1.0493234395980835, -1.0424410104751587, 1.0479371547698975]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.0412678718566895, -1.0411961078643799, 1.0426489114761353, 1.0426340103149414, 1.0413529872894287, -1.0422290563583374, -1.0410352945327759, -1.041442632675171]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0376487970352173, 1.0445822477340698, -1.0446803569793701, -1.044883370399475, -1.0524839162826538, 1.0443081855773926, 1.0439128875732422, 1.04695463180542]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.050543189048767, 1.0526093244552612, -1.0335592031478882, 1.0492089986801147, -1.0401426553726196, 1.0436594486236572, 1.043701171875, -1.0361393690109253]"
41,"[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1.03752601146698, -1.0414903163909912, 1.0538126230239868, -1.0367885828018188, 1.0498532056808472, -1.0394032001495361, -1.040187120437622, 1.0489848852157593]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.0445339679718018, 1.0442637205123901, 1.0450959205627441, 1.043479561805725, 1.044143795967102, 1.0419955253601074, -1.0389273166656494, -1.0369879007339478]"
43,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.043576717376709, -1.0416661500930786, -1.0433359146118164, -1.0416817665100098, -1.0458046197891235, -1.044586420059204, 1.0484079122543335, 1.0484355688095093]"
44,"[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 1]","[-1.041027307510376, -1.040002465248108, -1.0359290838241577, 1.0476247072219849, 1.0437932014465332, -1.0380096435546875, 1.0439982414245605, -1.0370339155197144]"
45,"[0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 1, 0]","[1.0405504703521729, 1.0507426261901855, 1.0507514476776123, -1.0413063764572144, -1.0418083667755127, 1.0490248203277588, -1.0410027503967285, 1.0473496913909912]"
46,"[0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1.0445634126663208, -1.0415724515914917, 1.04313063621521, 1.043602466583252, -1.0399919748306274, -1.0405076742172241, -1.039426565170288, -1.0415455102920532]"
47,"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1.0348901748657227, 1.0460675954818726, -1.046124815940857, -1.044090986251831, 1.0444554090499878, 1.0454658269882202, 1.0449198484420776, 1.0468283891677856]"
48,"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1.0462521314620972, -1.049528956413269, 1.0422087907791138, -1.0376901626586914, 1.0434999465942383, 1.0426093339920044, 1.042643427848816, -1.0411686897277832]"
49,"[1, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]","[-1.0421072244644165, 1.046586513519287, -1.0455025434494019, 1.0491673946380615, -1.04019296169281, -1.0409369468688965, -1.0403797626495361, 1.047470211982727]"
50,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 1, 0, 1]","[-1.0383296012878418, -1.042653203010559, -1.04337739944458, -1.0409471988677979, -1.044281244277954, 1.0417661666870117, -1.0374633073806763, -1.0394915342330933]"
51,"[0, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0]","[1.0392045974731445, 1.046043038368225, 1.0441737174987793, 1.0459295511245728, 1.0423871278762817, -1.0430777072906494, 1.0472404956817627, 1.0472482442855835]"
52,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[-1.041032314300537, 1.0454723834991455, 1.04218590259552, -1.0320308208465576, -1.0400410890579224, -1.034598469734192, 1.0456637144088745, -1.036210298538208]"
53,"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]","[1.0451381206512451, -1.0439702272415161, -1.0506049394607544, 1.0508766174316406, 1.0406335592269897, 1.049633502960205, -1.0448472499847412, 1.0477824211120605]"
54,"[0, 0, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 0, 1, 0, 0, 1]","[1.0418305397033691, 1.040270209312439, -1.0429165363311768, -1.0408451557159424, 1.0430420637130737, -1.038610577583313, -1.036319613456726, -1.0409018993377686]"
55,"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]","[-1.0513370037078857, -1.0509734153747559, 1.0438016653060913, 1.0471560955047607, -1.0512723922729492, 1.0450232028961182, 1.0443352460861206, 1.0488929748535156]"
56,"[0, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 1, 1, 1]","[1.0398733615875244, -1.0320168733596802, 1.0362484455108643, -1.0352872610092163, -1.0335344076156616, 1.041091799736023, 1.0408583879470825, -1.0368646383285522]"
57,"[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[1.0270029306411743, 1.0386570692062378, -1.0470291376113892, 1.0476032495498657, 1.0484000444412231, -1.0451282262802124, -1.0421557426452637, 1.047698974609375]"
