Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0405720472335815, 1.043312430381775, 1.0440194606781006, 1.0478686094284058, 1.0454312562942505, 1.0482630729675293, 1.049415111541748, -1.0451828241348267]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.035964012145996, -1.0384232997894287, -1.0407506227493286, -1.0414221286773682, -1.0425992012023926, -1.0428224802017212, -1.0428117513656616, 1.0475043058395386]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.029047966003418, 1.0494798421859741, -1.0399411916732788, 1.0464308261871338, -1.0387907028198242, 1.0471361875534058, -1.0413037538528442, -1.0416630506515503]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0448445081710815, -1.0411018133163452, 1.0397047996520996, -1.042695164680481, 1.042481780052185, -1.0443689823150635, 1.04358971118927, 1.044920802116394]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0292935371398926, -1.0335975885391235, 1.0498485565185547, 1.047167420387268, -1.0373735427856445, -1.0366028547286987, 1.0466060638427734, -1.0418968200683594]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0489940643310547, 1.0460517406463623, -1.0349833965301514, -1.0363694429397583, 1.0437638759613037, 1.0476455688476562, -1.036889910697937, 1.0462406873703003]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0505242347717285, -1.038375735282898, -1.0407229661941528, 1.043988585472107, 1.0449161529541016, -1.0404711961746216, -1.0409098863601685, -1.0444378852844238]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0411535501480103, 1.0377904176712036, 1.0414308309555054, -1.0409365892410278, -1.0404167175292969, 1.0418351888656616, 1.0409780740737915, 1.0428712368011475]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0311462879180908, 1.054456353187561, 1.04585599899292, 1.0473417043685913, -1.0374510288238525, 1.0471528768539429, 1.0457720756530762, -1.0396958589553833]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9374333620071411, 0.4277132451534271, 0.4724869132041931, -0.12435697764158249, -0.1294558048248291, -0.16833004355430603, -0.04521915316581726, 1.043006181716919]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0531704425811768, 1.0498583316802979, -1.0393582582473755, 1.0451983213424683, 1.0522992610931396, 1.0458155870437622, -1.0389388799667358, -1.0397348403930664]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.038401484489441, -1.0346198081970215, 1.0441505908966064, -1.0377874374389648, -1.0362104177474976, -1.0411832332611084, 1.0431230068206787, 1.0447862148284912]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0480475425720215, -1.0331465005874634, 1.046977162361145, 1.0456570386886597, 1.054241418838501, -1.036573886871338, 1.0465291738510132, -1.0403497219085693]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0327624082565308, 1.0420615673065186, -1.0326461791992188, -1.0356502532958984, -1.0329948663711548, 1.0426304340362549, -1.0391554832458496, 1.0449495315551758]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[0.9617657661437988, -1.0384900569915771, -1.0367375612258911, 1.0447547435760498, -1.0344001054763794, -1.0388230085372925, -1.0425045490264893, -1.0427775382995605]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0460891723632812, 1.0436875820159912, 1.042605996131897, -1.0397037267684937, 1.038343906402588, 1.042706847190857, 1.0419340133666992, 1.0435999631881714]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0341088771820068, -1.0345531702041626, -1.0396188497543335, -1.0402766466140747, 1.0490150451660156, 1.0424373149871826, 1.039472222328186, -1.03986394405365]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.8832076787948608, -0.06619689613580704, -0.11934445798397064, 0.45472103357315063, 0.3497258126735687, -0.15632106363773346, -0.20608340203762054, 1.021331548690796]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0481510162353516, -1.0350712537765503, 1.0420701503753662, -1.0373098850250244, -1.0392885208129883, 1.0436522960662842, -1.0401830673217773, -1.042557954788208]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.038223385810852, 1.0396981239318848, -1.040920615196228, 1.0405523777008057, 1.0406748056411743, -1.0397752523422241, 1.0429116487503052, 1.0452072620391846]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0469821691513062, 1.0468710660934448, -1.039955973625183, -1.039141297340393, -1.0403207540512085, -1.039046049118042, 1.0442789793014526, -1.0425300598144531]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.044122576713562, -1.0480941534042358, 1.037850022315979, 1.0412408113479614, 1.0404218435287476, 1.0412700176239014, -1.0400646924972534, 1.0441986322402954]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[0.9559640288352966, 1.039337396621704, 1.0345274209976196, -1.0413168668746948, 1.0390678644180298, -1.040540099143982, -1.04338800907135, -1.0442851781845093]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.035682201385498, -1.0483832359313965, -1.0487557649612427, 1.0405470132827759, -1.0453866720199585, 1.0435869693756104, 1.0431904792785645, 1.0445741415023804]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0409579277038574, -1.0406156778335571, -1.04052734375, -1.0426872968673706, -1.0361449718475342, 1.0464571714401245, 1.0454943180084229, -1.0452955961227417]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0453898906707764, 1.038286805152893, 1.0369250774383545, 1.0433909893035889, 1.0469616651535034, -1.0360965728759766, -1.0407178401947021, 1.0443333387374878]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.042663812637329, -1.0380594730377197, 1.0363279581069946, -1.0416640043258667, 1.0478700399398804, 1.0445278882980347, -1.0445290803909302, -1.0460209846496582]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.0353920459747314, 1.037672996520996, -1.0452604293823242, 1.0404047966003418, -1.0361658334732056, -1.040234923362732, 1.041229486465454, 1.0435963869094849]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0414327383041382, 1.04265296459198, -1.0437211990356445, -1.0441473722457886, 1.050041675567627, -1.0430408716201782, 1.045337200164795, -1.0452702045440674]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0345090627670288, -1.0516082048416138, 1.0375127792358398, 1.042406439781189, -1.0425143241882324, 1.0431125164031982, -1.0431766510009766, 1.0450680255889893]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0344640016555786, 1.0371391773223877, 1.0348466634750366, -1.0443857908248901, -1.0444648265838623, -1.0438122749328613, -1.0445775985717773, -1.0451747179031372]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0442931652069092, -1.0408527851104736, -1.0422929525375366, 1.03787100315094, 1.0364047288894653, 1.039851188659668, 1.0390973091125488, 1.039637804031372]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.0317901372909546, 1.047511339187622, -1.037783145904541, 1.0435062646865845, 1.0421799421310425, 1.042802333831787, 1.042542576789856, -1.0395187139511108]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0515292882919312, -1.0367780923843384, 1.0461151599884033, -1.041509985923767, -1.0379232168197632, -1.0406378507614136, -1.0412633419036865, 1.0450952053070068]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0504487752914429, 1.0502409934997559, 1.0506868362426758, 1.0433783531188965, -1.0396161079406738, 1.0435456037521362, -1.0355064868927002, -1.0401825904846191]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.03201162815094, -1.0404396057128906, -1.036764144897461, -1.040267825126648, 1.0398072004318237, -1.0423814058303833, 1.0389649868011475, 1.0405950546264648]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-0.9998005032539368, -1.0374351739883423, -1.0386312007904053, 1.0388758182525635, -1.0454288721084595, -1.0389957427978516, 1.0368292331695557, -1.0380033254623413]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.0344195365905762, 1.0408260822296143, 1.0424230098724365, -1.0374828577041626, 1.0412485599517822, 1.043097734451294, -1.039293885231018, 1.0445104837417603]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.0393199920654297, -1.0415338277816772, 1.0428235530853271, 1.0430597066879272, 1.0399285554885864, -1.040628433227539, -1.0425817966461182, -1.0433900356292725]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0396391153335571, 1.0381048917770386, -1.0407721996307373, -1.0435235500335693, -1.047439694404602, 1.0425312519073486, 1.0410618782043457, 1.041826605796814]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.0479742288589478, 1.0477102994918823, -1.0391669273376465, 1.0442252159118652, -1.0420570373535156, 1.0433839559555054, 1.0437366962432861, -1.0442932844161987]"
41,"[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1.0269908905029297, -1.0396966934204102, 1.0396442413330078, -1.0400372743606567, 1.042008876800537, -1.0383182764053345, -1.038926362991333, 1.0422064065933228]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.0379899740219116, 1.0488073825836182, 1.047882080078125, 1.0424822568893433, 1.0475622415542603, 1.0435444116592407, -1.0424357652664185, -1.0433158874511719]"
43,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.0480703115463257, -1.0416662693023682, -1.0408761501312256, -1.0395095348358154, -1.0412808656692505, -1.0427498817443848, 1.041216492652893, 1.043121576309204]"
44,"[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 1]","[-1.0395207405090332, -1.0392677783966064, -1.034276008605957, 1.0434743165969849, 1.047724723815918, -1.03694486618042, 1.0451886653900146, -1.0412150621414185]"
45,"[0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 1, 0]","[1.0475001335144043, 1.0423305034637451, 1.042249321937561, -1.0399004220962524, -1.0386595726013184, 1.0441044569015503, -1.0407931804656982, 1.0448259115219116]"
46,"[0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1.0383784770965576, -1.0442460775375366, 1.0444011688232422, 1.0426663160324097, -1.0414024591445923, -1.0406943559646606, -1.0429502725601196, -1.0436831712722778]"
47,"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1.036298155784607, 1.0418649911880493, -1.0398244857788086, -1.0371263027191162, 1.0381760597229004, 1.0422589778900146, 1.0413336753845215, 1.0430489778518677]"
48,"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1.0463142395019531, -1.03901207447052, 1.0461738109588623, -1.0410923957824707, 1.0428096055984497, 1.0424962043762207, 1.042788028717041, -1.045372486114502]"
49,"[1, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]","[-1.0388401746749878, 1.0405833721160889, -1.0395950078964233, 1.0433181524276733, -1.0395046472549438, -1.0409513711929321, -1.042449712753296, 1.0440645217895508]"
50,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 1, 0, 1]","[-1.0369778871536255, -1.0267069339752197, -1.037847638130188, -1.040020227432251, -1.0387029647827148, 1.043265461921692, -1.0419682264328003, -1.04509437084198]"
51,"[0, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0]","[1.0388751029968262, 1.0353169441223145, 1.0400900840759277, 1.0403976440429688, 1.0400362014770508, -1.0401378870010376, 1.0389132499694824, 1.0428802967071533]"
52,"[0, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[0.9861735105514526, 1.0378245115280151, 1.0416470766067505, -1.0426390171051025, -1.0430350303649902, -1.0408995151519775, 1.0378581285476685, -1.0408339500427246]"
53,"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]","[1.0356191396713257, -1.0473814010620117, -1.0439308881759644, 1.0420466661453247, 1.038301706314087, 1.0412260293960571, -1.0450799465179443, 1.0440987348556519]"
54,"[1, 0, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 0, 1, 0, 0, 1]","[-1.0453263521194458, 1.0302664041519165, -1.0422464609146118, -1.043570637702942, 1.037237524986267, -1.0427310466766357, -1.0422943830490112, -1.0442949533462524]"
