Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0503525733947754, 1.0478906631469727, 1.044665813446045, 1.0475636720657349, 1.0463701486587524, 1.0484751462936401, 1.0493162870407104, -1.0513496398925781]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0582208633422852, -1.0626296997070312, -1.058939814567566, -1.0563627481460571, -1.0600944757461548, -1.0589072704315186, -1.0599631071090698, 1.0420095920562744]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.044310212135315, 1.0435820817947388, -1.0486524105072021, 1.044054388999939, -1.0468647480010986, 1.0458214282989502, -1.053210973739624, -1.0530380010604858]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0387458801269531, -1.057126522064209, 1.0418187379837036, -1.0527681112289429, 1.0437146425247192, -1.0536963939666748, 1.0437489748001099, 1.0462499856948853]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0407986640930176, -1.050410509109497, 1.049483060836792, 1.0480891466140747, -1.047934889793396, -1.0520511865615845, 1.0487051010131836, -1.0523160696029663]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0434212684631348, 1.0398181676864624, -1.0508536100387573, -1.0500191450119019, 1.0408978462219238, 1.0421401262283325, -1.0502769947052002, 1.0431692600250244]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0579224824905396, -1.0476596355438232, -1.042208194732666, 1.0475196838378906, 1.0516555309295654, -1.0510950088500977, -1.0509803295135498, -1.0516377687454224]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.048210620880127, 1.0433719158172607, 1.037724256515503, -1.0503883361816406, -1.049311637878418, 1.0453191995620728, 1.0439327955245972, 1.044884443283081]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0370686054229736, 1.05026113986969, 1.0469622611999512, 1.0486184358596802, -1.049361228942871, 1.0483461618423462, 1.048042893409729, -1.0495878458023071]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0191802978515625, 0.5124355554580688, 0.3907477855682373, -0.28197363018989563, -0.3231413960456848, -0.21632476150989532, -0.0839926227927208, 1.0444754362106323]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0598074197769165, 1.0443601608276367, -1.0426714420318604, 1.0457171201705933, 1.0465714931488037, 1.0457433462142944, -1.0501629114151, -1.0494085550308228]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0471911430358887, -1.0565062761306763, 1.040040373802185, -1.05181086063385, -1.0480005741119385, -1.054052472114563, 1.043733835220337, 1.0461622476577759]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0568538904190063, -1.0461152791976929, 1.0519262552261353, 1.048267126083374, 1.0519863367080688, -1.0499359369277954, 1.0489482879638672, -1.050843596458435]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0407770872116089, 1.0399646759033203, -1.0472993850708008, -1.0492931604385376, -1.0475478172302246, 1.0429095029830933, -1.0479836463928223, 1.0447429418563843]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.050597071647644, -1.0423731803894043, -1.0360840559005737, 1.0476449728012085, -1.0394161939620972, -1.047000765800476, -1.048822045326233, -1.0487791299819946]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0520213842391968, 1.042687177658081, 1.0367060899734497, -1.0471200942993164, 1.0393024682998657, 1.0439958572387695, 1.043978214263916, 1.0439541339874268]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0408399105072021, -1.0513895750045776, -1.050722360610962, -1.0533242225646973, 1.0519095659255981, 1.0463714599609375, 1.044899582862854, -1.05171799659729]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9645183086395264, -0.05121202766895294, -0.12458252906799316, 0.5313244462013245, 0.46815478801727295, -0.3304736018180847, -0.35349905490875244, 1.0375550985336304]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0516260862350464, -1.0466631650924683, 1.0444602966308594, -1.049241542816162, -1.0480331182479858, 1.044581651687622, -1.0519710779190063, -1.052376389503479]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0426064729690552, 1.0415855646133423, -1.0472571849822998, 1.0421217679977417, 1.0459966659545898, -1.052322268486023, 1.0444904565811157, 1.046602725982666]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0577820539474487, 1.0407822132110596, -1.0408477783203125, -1.0491904020309448, -1.041635274887085, -1.0495851039886475, 1.0462554693222046, -1.0478849411010742]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0455130338668823, -1.0529297590255737, 1.0376285314559937, 1.042385220527649, 1.0427746772766113, 1.043915033340454, -1.050870656967163, 1.0467853546142578]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.033595323562622, 1.0413401126861572, 1.044076919555664, -1.0464870929718018, 1.0473237037658691, -1.0476306676864624, -1.0489550828933716, -1.0485327243804932]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0482778549194336, -1.0518884658813477, -1.0471290349960327, 1.046870470046997, -1.048551321029663, 1.048054575920105, 1.0485336780548096, 1.04922616481781]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0528149604797363, -1.0490144491195679, -1.043602466583252, -1.0517873764038086, -1.0392359495162964, 1.0450090169906616, 1.0461832284927368, -1.0508226156234741]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.045570731163025, 1.0411083698272705, 1.0454771518707275, 1.0465896129608154, 1.0513389110565186, -1.0477250814437866, -1.0518101453781128, 1.0471291542053223]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.045282244682312, -1.050847053527832, 1.0445061922073364, -1.051829218864441, 1.0514947175979614, 1.0468204021453857, -1.0537067651748657, -1.0531009435653687]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.055242896080017, 1.0407696962356567, -1.0433759689331055, 1.0441244840621948, -1.0425161123275757, -1.0475741624832153, 1.0460597276687622, 1.047703742980957]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.0430504083633423, 1.037922739982605, -1.045241117477417, -1.0521031618118286, 1.04691481590271, -1.0508514642715454, 1.0476725101470947, -1.0516953468322754]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0506173372268677, -1.0540086030960083, 1.0464569330215454, 1.0458441972732544, -1.0514150857925415, 1.0470807552337646, -1.0522384643554688, 1.0488948822021484]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0510849952697754, 1.0406850576400757, 1.045915961265564, -1.0502614974975586, -1.0448802709579468, -1.0510128736495972, -1.0498919486999512, -1.050257682800293]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0456093549728394, -1.0514934062957764, -1.0492533445358276, 1.0429255962371826, 1.038840413093567, 1.0435441732406616, 1.0440512895584106, 1.0445255041122437]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.043412208557129, 1.0467561483383179, -1.051424264907837, 1.047702431678772, 1.0464510917663574, 1.047202229499817, 1.046999216079712, -1.0538071393966675]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0459532737731934, -1.05862557888031, 1.039198637008667, -1.0527743101119995, -1.057344675064087, -1.054084062576294, -1.053530216217041, 1.0451769828796387]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.056213617324829, 1.045660376548767, 1.0446555614471436, 1.045426845550537, -1.0462287664413452, 1.0456098318099976, -1.0512559413909912, -1.0509060621261597]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.0473079681396484, -1.0514729022979736, -1.0496406555175781, -1.0495316982269287, 1.0436218976974487, -1.0492942333221436, 1.0421340465545654, 1.0444070100784302]"
