Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0514976978302002, 1.0537245273590088, 1.0492607355117798, 1.0505762100219727, 1.0497393608093262, 1.051495909690857, 1.0515958070755005, -1.0455516576766968]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0469733476638794, -1.0589406490325928, -1.0578036308288574, -1.0556364059448242, -1.0602868795394897, -1.058587908744812, -1.0592219829559326, 1.0573151111602783]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0382461547851562, 1.0580353736877441, -1.0431944131851196, 1.052075982093811, -1.0428155660629272, 1.054498314857483, -1.0426888465881348, -1.0462363958358765]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0496236085891724, -1.0579404830932617, 1.050345778465271, -1.0496667623519897, 1.051892638206482, -1.0484840869903564, 1.0497221946716309, 1.0550334453582764]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0365325212478638, -1.0376633405685425, 1.0540128946304321, 1.0529217720031738, -1.0430443286895752, -1.0455533266067505, 1.053025484085083, -1.0480947494506836]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0537155866622925, 1.0536085367202759, -1.056404709815979, -1.0497980117797852, 1.0500879287719727, 1.0516886711120605, -1.051621913909912, 1.05330491065979]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0600242614746094, -1.0356698036193848, -1.040690541267395, 1.0509363412857056, 1.0513083934783936, -1.040607213973999, -1.0430883169174194, -1.0438097715377808]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0463478565216064, 1.0513319969177246, 1.0455889701843262, -1.0497472286224365, -1.046056866645813, 1.0481597185134888, 1.0498204231262207, 1.0526971817016602]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0377378463745117, 1.0612508058547974, 1.0531426668167114, 1.0533217191696167, -1.0440170764923096, 1.0538309812545776, 1.0512521266937256, -1.0473133325576782]"
9,"[1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9881271719932556, -0.3606082499027252, 0.2419883757829666, -0.6914598345756531, -0.412144273519516, -0.6211588978767395, -0.4940226078033447, 1.0533450841903687]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0632224082946777, 1.0600998401641846, -1.043979287147522, 1.0508664846420288, 1.0546863079071045, 1.053187608718872, -1.0438189506530762, -1.043228030204773]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0433759689331055, -1.0591015815734863, 1.0483452081680298, -1.051049828529358, -1.0458033084869385, -1.049587368965149, 1.048685073852539, 1.0523849725723267]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0682200193405151, -1.0342317819595337, 1.051275610923767, 1.0482840538024902, 1.0586124658584595, -1.0447301864624023, 1.0516128540039062, -1.0476574897766113]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0345802307128906, 1.053648591041565, -1.0489894151687622, -1.0465513467788696, -1.0394692420959473, 1.0488485097885132, -1.0497376918792725, 1.0525338649749756]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0489780902862549, -1.0389891862869263, -1.0421977043151855, 1.0502665042877197, -1.0314931869506836, -1.040772557258606, -1.044829249382019, -1.0454626083374023]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0566521883010864, 1.0503944158554077, 1.0479158163070679, -1.0526149272918701, 1.0442235469818115, 1.048754096031189, 1.048514723777771, 1.0515800714492798]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.03839111328125, -1.0448336601257324, -1.0456205606460571, -1.0452433824539185, 1.0570536851882935, 1.0541108846664429, 1.0516365766525269, -1.0485185384750366]"
17,"[1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-1.0130348205566406, -0.2785447835922241, -0.3545173406600952, 0.7854979038238525, -0.23709096014499664, -0.6681133508682251, -0.6534536480903625, 1.0550457239151]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0649404525756836, -1.0396989583969116, 1.054299235343933, -1.0391976833343506, -1.0438698530197144, 1.055053472518921, -1.0459986925125122, -1.0458792448043823]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.048389196395874, 1.0464503765106201, -1.054708480834961, 1.0505532026290894, 1.0507926940917969, -1.0488086938858032, 1.0499489307403564, 1.0550261735916138]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0682135820388794, 1.0639028549194336, -1.0511999130249023, -1.0378810167312622, -1.046006202697754, -1.04328191280365, 1.0517144203186035, -1.045008897781372]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0393757820129395, -1.044273853302002, 1.0461008548736572, 1.0501219034194946, 1.0525981187820435, 1.050998330116272, -1.0500500202178955, 1.0540229082107544]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.0304954051971436, 1.054785132408142, 1.0545350313186646, -1.0379425287246704, 1.0531996488571167, -1.0390682220458984, -1.0441635847091675, -1.0435590744018555]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0606540441513062, -1.0513049364089966, -1.0514830350875854, 1.0483349561691284, -1.050236463546753, 1.0491235256195068, 1.0498569011688232, 1.053123116493225]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.069260597229004, -1.0457868576049805, -1.0396625995635986, -1.0446451902389526, -1.0402941703796387, 1.0513972043991089, 1.0507895946502686, -1.047231674194336]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0416159629821777, 1.053315281867981, 1.0544838905334473, 1.0534855127334595, 1.0625289678573608, -1.0463087558746338, -1.0529268980026245, 1.0542281866073608]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0414477586746216, -1.0400819778442383, 1.0552040338516235, -1.0400497913360596, 1.0554814338684082, 1.0532742738723755, -1.0466978549957275, -1.0488415956497192]"
