Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0604593753814697, 1.0592464208602905, 1.0578233003616333, 1.0577495098114014, 1.0566902160644531, 1.0569605827331543, 1.0605638027191162, -1.0327258110046387]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0583868026733398, -1.053100824356079, -1.0395220518112183, -1.0389193296432495, -1.0435700416564941, -1.042587399482727, -1.044156551361084, 1.0562989711761475]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.051936149597168, 1.0711134672164917, -1.040266513824463, 1.0624531507492065, -1.0452537536621094, 1.062525749206543, -1.0444304943084717, -1.0356855392456055]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0524420738220215, -1.0489321947097778, 1.0453280210494995, -1.0416229963302612, 1.0400676727294922, -1.0382391214370728, 1.047732949256897, 1.051934003829956]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0447852611541748, -1.042672872543335, 1.0614252090454102, 1.0593088865280151, -1.051579236984253, -1.0464935302734375, 1.061418056488037, -1.0486316680908203]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.052719235420227, 1.0557301044464111, -1.042565107345581, -1.0420200824737549, 1.0405017137527466, 1.0504668951034546, -1.0421618223190308, 1.048656702041626]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0488861799240112, -1.0490354299545288, -1.043923020362854, 1.054131031036377, 1.0491033792495728, -1.0484188795089722, -1.0492565631866455, -1.046827793121338]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.056104302406311, 1.0581012964248657, 1.0484211444854736, -1.0439385175704956, -1.0509066581726074, 1.0523731708526611, 1.0516520738601685, 1.0514538288116455]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0483548641204834, 1.0540249347686768, 1.0549359321594238, 1.0555143356323242, -1.0472359657287598, 1.0533339977264404, 1.0585064888000488, -1.0491083860397339]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[0.8468958735466003, -1.0489367246627808, -1.0390665531158447, -1.0381156206130981, 1.0354732275009155, -1.0354597568511963, -1.036145567893982, 1.0437438488006592]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0490388870239258, 1.0627483129501343, -1.04600191116333, 1.0565495491027832, 1.0563361644744873, 1.0551048517227173, -1.0483335256576538, -1.0500235557556152]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0610742568969727, -1.0544724464416504, 1.0463743209838867, -1.0388453006744385, -1.0530165433883667, -1.0429185628890991, 1.0488662719726562, 1.0509247779846191]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.048708438873291, -1.048229694366455, 1.057483196258545, 1.0553611516952515, 1.058423638343811, -1.0456995964050293, 1.0556992292404175, -1.046427845954895]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.063191294670105, 1.060639500617981, -1.0413402318954468, -1.0424726009368896, -1.0504422187805176, 1.0472769737243652, -1.041588306427002, 1.0518248081207275]"
14,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[-0.8176905512809753, -1.0472389459609985, -1.0450204610824585, 1.0493799448013306, -1.0423332452774048, -1.0512456893920898, -1.0491156578063965, -1.0455565452575684]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0394692420959473, 1.049864411354065, 1.0450432300567627, -1.0433083772659302, 1.0518218278884888, 1.0521774291992188, 1.0510432720184326, 1.0511109828948975]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0615332126617432, -1.056706190109253, -1.0536926984786987, -1.0497896671295166, 1.0478092432022095, 1.0498014688491821, 1.0535985231399536, -1.0507540702819824]"
17,"[1, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.3045247197151184, 1.0412393808364868, 1.0412343740463257, 1.0454891920089722, -1.0355608463287354, -1.035991907119751, -1.036563754081726, 1.0504266023635864]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0514971017837524, -1.0534147024154663, 1.0513807535171509, -1.0459505319595337, -1.0481547117233276, 1.0546530485153198, -1.0499916076660156, -1.0506857633590698]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0660945177078247, 1.0513274669647217, -1.0532783269882202, 1.0487505197525024, 1.0478098392486572, -1.041799545288086, 1.0502293109893799, 1.0538102388381958]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0450884103775024, 1.0622117519378662, -1.05204176902771, -1.0446500778198242, -1.0521950721740723, -1.04596745967865, 1.055000901222229, -1.0479381084442139]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0689464807510376, -1.0560351610183716, 1.0515464544296265, 1.0452837944030762, 1.0394147634506226, 1.0490236282348633, -1.040421724319458, 1.0542410612106323]"
22,"[1, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[-1.0572943687438965, 1.0446611642837524, 1.0489901304244995, -1.0550100803375244, 1.0455111265182495, -1.0500489473342896, -1.0490169525146484, -1.0478878021240234]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0510653257369995, -1.054794192314148, -1.0517221689224243, 1.046762228012085, -1.0567206144332886, 1.0363855361938477, 1.0377495288848877, 1.045806646347046]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0468111038208008, -1.0556186437606812, -1.0554909706115723, -1.047282099723816, -1.0492156744003296, 1.047934889793396, 1.0507999658584595, -1.051283359527588]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.058640718460083, 1.0542582273483276, 1.051538109779358, 1.0424991846084595, 1.044663429260254, -1.038488745689392, -1.039720058441162, 1.049241304397583]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.06477952003479, -1.0551154613494873, 1.051044225692749, -1.0559333562850952, 1.0530240535736084, 1.052701711654663, -1.0509045124053955, -1.0498002767562866]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.0488379001617432, 1.0516407489776611, -1.0516895055770874, 1.0438039302825928, -1.053882360458374, -1.0482851266860962, 1.0445055961608887, 1.0474978685379028]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.066340684890747, 1.0567651987075806, -1.0514483451843262, -1.048471212387085, 1.0530905723571777, -1.0476776361465454, 1.0505543947219849, -1.0408599376678467]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.0453317165374756, -1.0562114715576172, 1.048181176185608, 1.041856050491333, -1.0496305227279663, 1.0443042516708374, -1.0430880784988403, 1.04957115650177]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.0365782976150513, 1.0460180044174194, 1.0442430973052979, -1.0532276630401611, -1.0502084493637085, -1.0568262338638306, -1.0522507429122925, -1.053865909576416]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.054569125175476, -1.052392601966858, -1.0508195161819458, 1.0447618961334229, 1.044835090637207, 1.0443905591964722, 1.0433040857315063, 1.0436702966690063]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.0550556182861328, 1.0481736660003662, -1.0426456928253174, 1.0497159957885742, 1.0467963218688965, 1.0494557619094849, 1.052897334098816, -1.0473906993865967]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0482525825500488, -1.0491530895233154, 1.0541659593582153, -1.0389832258224487, -1.0375261306762695, -1.0364028215408325, -1.0362215042114258, 1.0460758209228516]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0557258129119873, 1.0619421005249023, 1.059781789779663, 1.0536155700683594, -1.0477218627929688, 1.0542408227920532, -1.0488238334655762, -1.0491324663162231]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.0734885931015015, -1.0533101558685303, -1.0600959062576294, -1.0401588678359985, 1.0466302633285522, -1.0435389280319214, 1.048434853553772, 1.0499606132507324]"
36,"[0, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[1.0613734722137451, -1.042273998260498, -1.0384823083877563, 1.054294466972351, -1.0522934198379517, -1.043352723121643, 1.0527344942092896, -1.0474168062210083]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.073346495628357, 1.0595825910568237, 1.049562692642212, -1.0431631803512573, 1.0393636226654053, 1.0483678579330444, -1.0430608987808228, 1.0501582622528076]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.0688942670822144, -1.047521948814392, 1.049561619758606, 1.0512222051620483, 1.0456041097640991, -1.0477709770202637, -1.0465161800384521, -1.0458790063858032]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0414685010910034, 1.0488070249557495, -1.0516986846923828, -1.0481067895889282, -1.059319019317627, 1.0445700883865356, 1.043643593788147, 1.0491243600845337]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.0533246994018555, 1.0560166835784912, -1.0385671854019165, 1.054086446762085, -1.048483967781067, 1.0468871593475342, 1.051926612854004, -1.0496699810028076]"
41,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[-1.0647841691970825, -1.0547243356704712, 1.0490070581436157, -1.0416165590286255, 1.0431867837905884, -1.041680097579956, -1.0426260232925415, 1.0474226474761963]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.0681488513946533, 1.0481733083724976, 1.0571517944335938, 1.0503249168395996, 1.0531920194625854, 1.0515081882476807, -1.0464394092559814, -1.046412706375122]"
