Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0452574491500854, 1.0444812774658203, 1.045488715171814, 1.0441052913665771, 1.0470819473266602, 1.041566252708435, 1.0430200099945068, -1.038845419883728]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0445809364318848, -1.052544355392456, -1.0370960235595703, -1.0385910272598267, -1.037958025932312, -1.0392216444015503, -1.034258484840393, 1.0388848781585693]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0374336242675781, 1.0530080795288086, -1.0383222103118896, 1.038918375968933, -1.0399177074432373, 1.0396769046783447, -1.0382676124572754, -1.031373143196106]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0511454343795776, -1.0489667654037476, 1.0454915761947632, -1.030947208404541, 1.0488983392715454, -1.0326480865478516, 1.0401012897491455, 1.0424799919128418]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0422176122665405, -1.0398939847946167, 1.0507922172546387, 1.0438785552978516, -1.0460256338119507, -1.0392752885818481, 1.0419840812683105, -1.0380462408065796]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0506947040557861, 1.0510687828063965, -1.0365420579910278, -1.0367926359176636, 1.041006088256836, 1.0428967475891113, -1.0327603816986084, 1.0425435304641724]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0533078908920288, -1.0424795150756836, -1.039139747619629, 1.039258599281311, 1.0452947616577148, -1.0383265018463135, -1.0385655164718628, -1.0331952571868896]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0485998392105103, 1.0468186140060425, 1.0465549230575562, -1.0374947786331177, -1.049871563911438, 1.0386487245559692, 1.0390985012054443, 1.041273832321167]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0459085702896118, 1.0427203178405762, 1.045536994934082, 1.0394904613494873, -1.0434716939926147, 1.0368989706039429, 1.0385409593582153, -1.0408803224563599]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-1.0285472869873047, -1.0476638078689575, -1.0328482389450073, -1.0343892574310303, 0.8449716567993164, -1.0343862771987915, -1.0311753749847412, 1.0399657487869263]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0534348487854004, 1.0521141290664673, -1.039866328239441, 1.03817880153656, 1.0525469779968262, 1.0371997356414795, -1.0350595712661743, -1.0307625532150269]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0468612909317017, -1.0488556623458862, 1.0447267293930054, -1.036946415901184, -1.049483060836792, -1.0418192148208618, 1.0401619672775269, 1.0408861637115479]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0526189804077148, -1.041088342666626, 1.0523707866668701, 1.0414537191390991, 1.0556907653808594, -1.0385856628417969, 1.0401982069015503, -1.033507227897644]"
