Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0403740406036377, 1.0463813543319702, 1.0430089235305786, 1.0443395376205444, 1.0409735441207886, 1.0453426837921143, 1.0452319383621216, -1.0424764156341553]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0611463785171509, -1.0565451383590698, -1.053967833518982, -1.0542731285095215, -1.0576035976409912, -1.055740475654602, -1.0536284446716309, 1.0418483018875122]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.048449993133545, 1.0452059507369995, -1.0435798168182373, 1.0434805154800415, -1.0468711853027344, 1.046615481376648, -1.0483670234680176, -1.0496714115142822]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0325322151184082, -1.054416298866272, 1.040979266166687, -1.0480103492736816, 1.0418305397033691, -1.0475064516067505, 1.0411604642868042, 1.0449074506759644]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0486423969268799, -1.0403927564620972, 1.0465142726898193, 1.0485410690307617, -1.0470120906829834, -1.0480189323425293, 1.0461748838424683, -1.0489531755447388]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.03793466091156, 1.0387345552444458, -1.0531926155090332, -1.048385500907898, 1.0392510890960693, 1.0365642309188843, -1.046264886856079, 1.042169451713562]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0512762069702148, -1.039223313331604, -1.0410205125808716, 1.0435484647750854, 1.0550968647003174, -1.042183518409729, -1.0423117876052856, -1.0427590608596802]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0588817596435547, 1.0370759963989258, 1.0374425649642944, -1.0463286638259888, -1.0464189052581787, 1.0368361473083496, 1.038903832435608, 1.0379258394241333]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0502471923828125, 1.0471471548080444, 1.0444501638412476, 1.0490171909332275, -1.0466036796569824, 1.047670602798462, 1.0449990034103394, -1.04387366771698]"
9,"[1, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9401496648788452, 0.11416465789079666, 0.5899630784988403, -0.4039846658706665, -0.49114641547203064, -0.4979645609855652, -0.27713459730148315, 1.0422308444976807]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0414165258407593, 1.0467778444290161, -1.0451689958572388, 1.0437641143798828, 1.0497875213623047, 1.0471338033676147, -1.0460681915283203, -1.0460935831069946]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0544073581695557, -1.0505789518356323, 1.0405827760696411, -1.0448347330093384, -1.048519492149353, -1.0445867776870728, 1.0379679203033447, 1.0437787771224976]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0497545003890991, -1.0383217334747314, 1.0463498830795288, 1.044054388999939, 1.0557020902633667, -1.0440231561660767, 1.0475502014160156, -1.0442981719970703]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0578975677490234, 1.0410903692245483, -1.04603910446167, -1.0460401773452759, -1.046238899230957, 1.034575343132019, -1.042639970779419, 1.0410467386245728]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.030066728591919, -1.0345898866653442, -1.0389037132263184, 1.0445219278335571, -1.0324451923370361, -1.0397192239761353, -1.0411219596862793, -1.0426321029663086]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0437121391296387, 1.0407124757766724, 1.0433094501495361, -1.0395441055297852, 1.0220822095870972, 1.0341081619262695, 1.0359466075897217, 1.0387201309204102]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0471636056900024, -1.0508761405944824, -1.0503700971603394, -1.0466233491897583, 1.051775574684143, 1.0463314056396484, 1.044664978981018, -1.046155571937561]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9790880680084229, -0.1762026846408844, -0.34479886293411255, 0.6145910620689392, 0.3562106788158417, -0.4127773940563202, -0.33751675486564636, 1.0423980951309204]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0533512830734253, -1.0390970706939697, 1.0523699522018433, -1.0413202047348022, -1.0430268049240112, 1.0487548112869263, -1.043919563293457, -1.0431557893753052]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0561497211456299, 1.0362287759780884, -1.0493441820144653, 1.0376582145690918, 1.0393176078796387, -1.043022871017456, 1.0395113229751587, 1.044279932975769]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0494006872177124, 1.054390549659729, -1.0492171049118042, -1.0425872802734375, -1.0439696311950684, -1.0452526807785034, 1.0458647012710571, -1.0438246726989746]"
