Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0470246076583862, 1.0543516874313354, 1.0539658069610596, 1.049156904220581, 1.0669387578964233, 1.0656671524047852, 1.0558207035064697, -1.043533444404602]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.104680061340332, -1.0879981517791748, -1.0379754304885864, -1.0516234636306763, -1.0407905578613281, -1.0412147045135498, -1.0518323183059692, 1.0651969909667969]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.1293034553527832, 1.0788379907608032, -1.0479730367660522, 1.0611377954483032, -1.0586693286895752, 1.0663789510726929, -1.04008948802948, -1.0515426397323608]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.1288872957229614, -1.077865719795227, 1.0337107181549072, -1.0508530139923096, 1.0485875606536865, -1.051524043083191, 1.0542241334915161, 1.0597643852233887]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0528868436813354, -1.0471267700195312, 1.0544624328613281, 1.0523335933685303, -1.0471839904785156, -1.0431479215621948, 1.0588387250900269, -1.0426398515701294]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.016919493675232, 1.0893009901046753, -1.0442554950714111, -1.0610315799713135, 1.043945550918579, 1.0609707832336426, -1.0343017578125, 1.056281566619873]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0428850650787354, -1.0544157028198242, -1.0395845174789429, 1.0459882020950317, 1.0519218444824219, -1.0356342792510986, -1.0435692071914673, -1.0364925861358643]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.1031419038772583, 1.047351360321045, 1.0396922826766968, -1.0493875741958618, -1.0539395809173584, 1.049686312675476, 1.0505870580673218, 1.0581400394439697]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0699231624603271, 1.0568082332611084, 1.0763293504714966, 1.068083643913269, -1.062009572982788, 1.0589573383331299, 1.0585801601409912, -1.04929518699646]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[1.016223669052124, -1.0796353816986084, -1.0398805141448975, -1.0532737970352173, 1.0545144081115723, -1.042123556137085, -1.0341805219650269, 1.0571751594543457]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0515694618225098, 1.0799930095672607, -1.0416945219039917, 1.0567841529846191, 1.0682045221328735, 1.0637102127075195, -1.0445832014083862, -1.0415586233139038]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.1020302772521973, -1.062559962272644, 1.0418208837509155, -1.0437467098236084, -1.0591397285461426, -1.0475903749465942, 1.0576157569885254, 1.057270884513855]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0618118047714233, -1.0550448894500732, 1.0552175045013428, 1.0504682064056396, 1.0614780187606812, -1.0365065336227417, 1.0570770502090454, -1.0290955305099487]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0652084350585938, 1.0808688402175903, -1.0454137325286865, -1.059433102607727, -1.0574593544006348, 1.0479389429092407, -1.0442219972610474, 1.0487339496612549]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[0.7976162433624268, -1.059053897857666, -1.0323154926300049, 1.038909912109375, -1.0445308685302734, -1.0388166904449463, -1.0484493970870972, -1.043318510055542]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0350232124328613, 1.0298117399215698, 1.030325174331665, -1.0472016334533691, 1.0581908226013184, 1.0568946599960327, 1.0528268814086914, 1.0532594919204712]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0924853086471558, -1.0559813976287842, -1.0573525428771973, -1.0492523908615112, 1.0712486505508423, 1.0507475137710571, 1.0552411079406738, -1.0543733835220337]"
17,"[0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[0.889155387878418, 1.043755054473877, 1.0472757816314697, 1.0378758907318115, -1.044492483139038, -1.0442079305648804, -1.0394315719604492, 1.0506271123886108]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.1164679527282715, -1.0573973655700684, 1.0430347919464111, -1.0501933097839355, -1.0520845651626587, 1.055078387260437, -1.0435494184494019, -1.0420947074890137]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.1192742586135864, 1.055594801902771, -1.075100064277649, 1.0571651458740234, 1.047812581062317, -1.049030065536499, 1.0537203550338745, 1.0554941892623901]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0613168478012085, 1.0719012022018433, -1.0357612371444702, -1.0596978664398193, -1.0440692901611328, -1.0370272397994995, 1.0601568222045898, -1.017653226852417]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.1318012475967407, -1.0766218900680542, 1.051041603088379, 1.0447689294815063, 1.0536813735961914, 1.0505313873291016, -1.0450825691223145, 1.055956244468689]"
22,"[1, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[-1.0672557353973389, 1.0779024362564087, 1.0639915466308594, -1.0591193437576294, 1.0575363636016846, -1.0471436977386475, -1.0538270473480225, -1.0432134866714478]"
