Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0456901788711548, 1.0473147630691528, 1.049438238143921, 1.0511035919189453, 1.0494214296340942, 1.0509084463119507, 1.053889274597168, -1.0425305366516113]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0492194890975952, -1.0477328300476074, -1.036112904548645, -1.0399404764175415, -1.0444016456604004, -1.0439220666885376, -1.0441019535064697, 1.050816535949707]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0504306554794312, 1.0490177869796753, -1.0487498044967651, 1.0541857481002808, -1.048454999923706, 1.051164150238037, -1.0503406524658203, -1.0458874702453613]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.053039789199829, -1.0490655899047852, 1.0481836795806885, -1.0393471717834473, 1.049421787261963, -1.0395004749298096, 1.0500617027282715, 1.0521705150604248]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.039625644683838, -1.0423997640609741, 1.0539382696151733, 1.0516586303710938, -1.0495713949203491, -1.0464376211166382, 1.0525130033493042, -1.0481774806976318]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0547398328781128, 1.0517748594284058, -1.0394269227981567, -1.0424880981445312, 1.0545244216918945, 1.048075556755066, -1.0452818870544434, 1.0495409965515137]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0463248491287231, -1.0479822158813477, -1.0484895706176758, 1.0466760396957397, 1.0484070777893066, -1.0510518550872803, -1.049354910850525, -1.0485153198242188]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0496879816055298, 1.052391767501831, 1.0505789518356323, -1.0439510345458984, -1.0445311069488525, 1.0516997575759888, 1.0520946979522705, 1.0505832433700562]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0464006662368774, 1.0498565435409546, 1.0512923002243042, 1.0498881340026855, -1.0463608503341675, 1.048231601715088, 1.0504884719848633, -1.046858549118042]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[0.9617429971694946, -1.0444165468215942, -1.037737250328064, -1.0418137311935425, 1.039709448814392, -1.0403242111206055, -1.04017972946167, 1.046140432357788]"
