Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0464086532592773, 1.0442622900009155, 1.0451416969299316, 1.0456112623214722, 1.0441975593566895, 1.0463916063308716, 1.046966552734375, -1.0480642318725586]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.0550224781036377, -1.051714301109314, -1.0431897640228271, -1.0406650304794312, -1.047433853149414, -1.0464893579483032, -1.0489063262939453, 1.0350841283798218]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0481430292129517, 1.0465165376663208, -1.0425662994384766, 1.0467376708984375, -1.0424880981445312, 1.0462158918380737, -1.0513626337051392, -1.0466294288635254]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0483458042144775, -1.049564242362976, 1.0416715145111084, -1.0371694564819336, 1.0446938276290894, -1.0379382371902466, 1.0422589778900146, 1.0447702407836914]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.0369373559951782, -1.04219388961792, 1.0475356578826904, 1.046927809715271, -1.0486094951629639, -1.0449947118759155, 1.0483123064041138, -1.0476977825164795]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0482029914855957, 1.0411486625671387, -1.0412120819091797, -1.0405540466308594, 1.0423963069915771, 1.0419772863388062, -1.0455089807510376, 1.0420129299163818]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0545703172683716, -1.044792652130127, -1.037030577659607, 1.0461517572402954, 1.048830509185791, -1.0457285642623901, -1.0435717105865479, -1.0432380437850952]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0404490232467651, 1.0417029857635498, 1.0397884845733643, -1.0418394804000854, -1.0448228120803833, 1.0442142486572266, 1.0453583002090454, 1.0446593761444092]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0366040468215942, 1.0471067428588867, 1.047302007675171, 1.0449010133743286, -1.0455608367919922, 1.0461071729660034, 1.0481048822402954, -1.0469120740890503]"
9,"[1, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.8742029666900635, -1.0463318824768066, -1.0352277755737305, -1.0362130403518677, 1.035050868988037, -1.0358901023864746, -1.0350335836410522, 1.0376842021942139]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0586055517196655, 1.0504745244979858, -1.037000298500061, 1.0465670824050903, 1.0454708337783813, 1.047352910041809, -1.043236255645752, -1.0421010255813599]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0347791910171509, -1.0469461679458618, 1.0449423789978027, -1.0353370904922485, -1.0445582866668701, -1.0381065607070923, 1.0462756156921387, 1.045118808746338]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0575979948043823, -1.0410029888153076, 1.0505356788635254, 1.0460351705551147, 1.0486514568328857, -1.0435782670974731, 1.0488849878311157, -1.04143226146698]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0332448482513428, 1.0458017587661743, -1.036911964416504, -1.0378187894821167, -1.0450408458709717, 1.0417793989181519, -1.0377774238586426, 1.0459736585617065]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[0.23674774169921875, -1.0406960248947144, -1.0295597314834595, 1.0487110614776611, -1.0400527715682983, -1.0432279109954834, -1.0372799634933472, -1.0379241704940796]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0418980121612549, 1.0394648313522339, 1.040848970413208, -1.0394806861877441, 1.0382969379425049, 1.0435551404953003, 1.0451722145080566, 1.0452195405960083]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0439187288284302, -1.048390507698059, -1.045398235321045, -1.0425326824188232, 1.044150471687317, 1.0465178489685059, 1.0475609302520752, -1.0476714372634888]"
17,"[1, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-0.9447237253189087, 1.005477786064148, 1.0366603136062622, 1.0359328985214233, -1.0363401174545288, -1.0361721515655518, -1.0384314060211182, 1.0412331819534302]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0556092262268066, -1.0427112579345703, 1.0477828979492188, -1.0432891845703125, -1.0379045009613037, 1.0487078428268433, -1.0434293746948242, -1.0442216396331787]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0360612869262695, 1.0443977117538452, -1.0491018295288086, 1.0457512140274048, 1.047336459159851, -1.0367074012756348, 1.046306848526001, 1.0469517707824707]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0540553331375122, 1.0488581657409668, -1.0435620546340942, -1.0423939228057861, -1.0422724485397339, -1.0437520742416382, 1.0481081008911133, -1.0437266826629639]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0347851514816284, -1.0518821477890015, 1.0487890243530273, 1.0458537340164185, 1.0450602769851685, 1.0449100732803345, -1.037113904953003, 1.0473700761795044]"
22,"[1, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[-0.17865535616874695, 1.0415960550308228, 1.0479934215545654, -1.0433019399642944, 1.050795555114746, -1.043177604675293, -1.0356415510177612, -1.040878176689148]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.046973705291748, -1.050516128540039, -1.0457725524902344, 1.0444837808609009, -1.045715570449829, 1.0404108762741089, 1.0411986112594604, 1.0408915281295776]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0611274242401123, -1.0409677028656006, -1.0421704053878784, -1.0437533855438232, -1.0423084497451782, 1.046713948249817, 1.0473301410675049, -1.0437359809875488]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0341287851333618, 1.0463731288909912, 1.0464951992034912, 1.0443320274353027, 1.0416373014450073, -1.0325530767440796, -1.035679817199707, 1.0445045232772827]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0282357931137085, -1.0443040132522583, 1.048831820487976, -1.042878270149231, 1.0472332239151, 1.0467995405197144, -1.0363574028015137, -1.0402438640594482]"
