Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0404313802719116, 1.0459579229354858, 1.0414801836013794, 1.044845461845398, 1.0430805683135986, 1.044499158859253, 1.0449893474578857, -1.044420599937439]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[-1.042863130569458, -1.0566691160202026, -1.0577267408370972, -1.0548973083496094, -1.0589723587036133, -1.0574733018875122, -1.056960940361023, 1.046847939491272]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-1.0375158786773682, 1.0492703914642334, -1.0438332557678223, 1.046183466911316, -1.0464487075805664, 1.0451490879058838, -1.0396654605865479, -1.041719913482666]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[1.0501919984817505, -1.038905143737793, 1.0436121225357056, -1.044376015663147, 1.0456414222717285, -1.0453723669052124, 1.0485739707946777, 1.0502214431762695]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.038277268409729, -1.0369514226913452, 1.0453606843948364, 1.0470085144042969, -1.0418272018432617, -1.044684886932373, 1.043289303779602, -1.045230746269226]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[1.0494486093521118, 1.0551543235778809, -1.0477575063705444, -1.0452395677566528, 1.0455840826034546, 1.047113060951233, -1.0430467128753662, 1.04667329788208]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[1.0467627048492432, -1.0381911993026733, -1.0452734231948853, 1.0426251888275146, 1.0476232767105103, -1.042287826538086, -1.0429857969284058, -1.0426180362701416]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-1.0440826416015625, 1.0486031770706177, 1.0401149988174438, -1.0437512397766113, -1.044002652168274, 1.040693998336792, 1.041109323501587, 1.042940616607666]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-1.0495299100875854, 1.0435694456100464, 1.0401735305786133, 1.0431108474731445, -1.047333836555481, 1.0402170419692993, 1.038959264755249, -1.0426480770111084]"
9,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[-0.9814504384994507, -0.8034326434135437, 0.5887078046798706, -0.441301167011261, -0.3855578899383545, -0.45391643047332764, 0.07719126343727112, 1.040659785270691]"
10,"[0, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1.0406733751296997, 1.0448458194732666, -1.0444648265838623, 1.040419340133667, 1.046050786972046, 1.0409905910491943, -1.0409914255142212, -1.0377203226089478]"
11,"[1, 1, 0, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[-1.0432898998260498, -1.0439735651016235, 1.041804313659668, -1.0464104413986206, -1.0411673784255981, -1.0484271049499512, 1.0404242277145386, 1.0446336269378662]"
12,"[0, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[1.0447065830230713, -1.0389400720596313, 1.0414470434188843, 1.0406302213668823, 1.0519394874572754, -1.0448107719421387, 1.041954755783081, -1.0443180799484253]"
13,"[1, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[-1.0426806211471558, 1.0525362491607666, -1.0433708429336548, -1.0463039875030518, -1.0392837524414062, 1.03860342502594, -1.046008586883545, 1.042285442352295]"
14,"[0, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1.0198240280151367, -1.0331381559371948, -1.0394949913024902, 1.0416665077209473, -1.029191255569458, -1.038537859916687, -1.0422253608703613, -1.042446255683899]"
15,"[0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[1.0467264652252197, 1.0447535514831543, 1.0417121648788452, -1.0477052927017212, 1.0347156524658203, 1.0372869968414307, 1.0375257730484009, 1.039597511291504]"
16,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[-1.0491057634353638, -1.0488308668136597, -1.046327829360962, -1.0516457557678223, 1.0403960943222046, 1.038823127746582, 1.037951111793518, -1.0499001741409302]"
17,"[1, 1, 1, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[-1.0071380138397217, -0.4731951951980591, -0.6479928493499756, 0.986129105091095, 0.39193689823150635, -0.3925556540489197, -0.18037296831607819, 1.0417660474777222]"
18,"[0, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1.0406455993652344, -1.0428953170776367, 1.043032169342041, -1.0446299314498901, -1.0497729778289795, 1.0411959886550903, -1.0451343059539795, -1.0426445007324219]"
19,"[1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[-1.0453383922576904, 1.0427595376968384, -1.0480929613113403, 1.0411486625671387, 1.0433862209320068, -1.0468336343765259, 1.043271541595459, 1.0464773178100586]"
20,"[0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 1, 1]","[1.0443400144577026, 1.0583429336547852, -1.0481817722320557, -1.042402982711792, -1.039192795753479, -1.0432236194610596, 1.040713906288147, -1.041507363319397]"
21,"[1, 1, 0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0]","[-1.0413743257522583, -1.0374177694320679, 1.0497894287109375, 1.0408313274383545, 1.0444064140319824, 1.040698766708374, -1.047040343284607, 1.0428394079208374]"
22,"[0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1.000279188156128, 1.0531898736953735, 1.04506254196167, -1.042539358139038, 1.0481758117675781, -1.0402297973632812, -1.0432084798812866, -1.0421773195266724]"
23,"[0, 1, 1, 0, 1, 0, 0, 0]","[1, 1, 1, 0, 1, 0, 0, 0]","[1.0445877313613892, -1.0474307537078857, -1.0501277446746826, 1.0393006801605225, -1.050112009048462, 1.0391933917999268, 1.0402822494506836, 1.041785717010498]"
24,"[0, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1.0384434461593628, -1.0468758344650269, -1.0421347618103027, -1.0464308261871338, -1.043042540550232, 1.0384790897369385, 1.038759708404541, -1.0470103025436401]"
25,"[1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 0, 0, 1, 1, 0]","[-1.0519417524337769, 1.043238639831543, 1.0471383333206177, 1.0410202741622925, 1.0480998754501343, -1.0496060848236084, -1.0530061721801758, 1.0422613620758057]"
26,"[1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[-1.0510920286178589, -1.0407592058181763, 1.0436357259750366, -1.0424532890319824, 1.0473346710205078, 1.0405669212341309, -1.0447160005569458, -1.0461112260818481]"
27,"[0, 0, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 0]","[1.045922040939331, 1.0405529737472534, -1.0506880283355713, 1.03814697265625, -1.041839838027954, -1.0497881174087524, 1.0390065908432007, 1.0430208444595337]"
28,"[1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[-1.04166841506958, 1.0554354190826416, -1.0438745021820068, -1.0422080755233765, 1.0528814792633057, -1.0408520698547363, 1.040674090385437, -1.0434767007827759]"
29,"[0, 1, 0, 0, 1, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]","[1.047132968902588, -1.0412698984146118, 1.0409578084945679, 1.0397366285324097, -1.0399175882339478, 1.0390169620513916, -1.0504153966903687, 1.0417057275772095]"
30,"[0, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1.047310709953308, 1.052064299583435, 1.0442931652069092, -1.043339729309082, -1.0339220762252808, -1.0411832332611084, -1.0430934429168701, -1.0450085401535034]"
31,"[1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0]","[-1.0478838682174683, -1.052910327911377, -1.0539826154708862, 1.0364593267440796, 1.0375036001205444, 1.0378252267837524, 1.037073016166687, 1.038033127784729]"
32,"[1, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[-1.047255277633667, 1.0437036752700806, -1.0512504577636719, 1.0417442321777344, 1.0389893054962158, 1.0397915840148926, 1.0387076139450073, -1.04566490650177]"
33,"[0, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1.0460515022277832, -1.0455176830291748, 1.0477590560913086, -1.0491427183151245, -1.0540282726287842, -1.0464496612548828, -1.049450397491455, 1.0423901081085205]"
34,"[0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1.0388970375061035, 1.042167067527771, 1.0449753999710083, 1.0414316654205322, -1.0487842559814453, 1.0414409637451172, -1.037467360496521, -1.0395786762237549]"
35,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 0]","[-1.040902853012085, -1.0416946411132812, -1.042533040046692, -1.0488784313201904, 1.0361443758010864, -1.0483864545822144, 1.0389665365219116, 1.0414458513259888]"
36,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[-1.0079779624938965, -1.0430635213851929, -1.0425182580947876, 1.0415693521499634, -1.0450382232666016, -1.0457793474197388, 1.0418710708618164, -1.0491290092468262]"
37,"[1, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 1, 0, 1, 0]","[-1.0422887802124023, 1.0489249229431152, 1.045766830444336, -1.045639991760254, 1.0418593883514404, 1.041166067123413, -1.0456470251083374, 1.0409208536148071]"
38,"[1, 1, 0, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 1]","[-1.046380639076233, -1.0414186716079712, 1.048348307609558, 1.0421234369277954, 1.0474810600280762, -1.0444526672363281, -1.0459495782852173, -1.0464733839035034]"
39,"[0, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 0]","[1.0433052778244019, 1.0448707342147827, -1.0444159507751465, -1.0505015850067139, -1.050895094871521, 1.0382105112075806, 1.037981390953064, 1.0397300720214844]"
40,"[0, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1.040050983428955, 1.0449215173721313, -1.0506629943847656, 1.042187213897705, -1.0459150075912476, 1.041197657585144, 1.0407195091247559, -1.0460708141326904]"
41,"[0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1.021091103553772, -1.0447615385055542, 1.0451096296310425, -1.0441110134124756, 1.0409321784973145, -1.043685793876648, -1.0413868427276611, 1.0424540042877197]"
42,"[1, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[-1.048311710357666, 1.042905569076538, 1.0440173149108887, 1.0409021377563477, 1.0438381433486938, 1.0418585538864136, -1.0442296266555786, -1.0419420003890991]"
43,"[0, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 0, 1, 0, 1, 0, 0]","[1.0489742755889893, -1.045106291770935, -1.0461126565933228, -1.0489360094070435, -1.0476233959197998, -1.0515127182006836, 1.0391321182250977, 1.0423462390899658]"
44,"[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 1]","[-1.0425738096237183, -1.0374289751052856, -1.0401324033737183, 1.0431290864944458, 1.0500177145004272, -1.0432803630828857, 1.04386568069458, -1.0448646545410156]"
45,"[0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 1, 0]","[1.048974633216858, 1.0516458749771118, 1.0487642288208008, -1.0454519987106323, -1.0434767007827759, 1.0398586988449097, -1.0456598997116089, 1.0413012504577637]"
46,"[0, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1.0503599643707275, -1.039046049118042, 1.051613211631775, 1.0418100357055664, -1.0377262830734253, -1.0424082279205322, -1.0449297428131104, -1.045381784439087]"
47,"[0, 0, 1, 1, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0]","[1.032160758972168, 1.0410783290863037, -1.0459085702896118, -1.0508522987365723, 1.0363366603851318, 1.036587119102478, 1.0370525121688843, 1.038750410079956]"
48,"[0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1.0376441478729248, -1.0452059507369995, 1.043248176574707, -1.0473793745040894, 1.0383529663085938, 1.0403690338134766, 1.040318250656128, -1.0488593578338623]"
49,"[1, 0, 1, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 1, 1, 0]","[-1.048820972442627, 1.0357248783111572, -1.049376130104065, 1.0409836769104004, -1.048167109489441, -1.04763925075531, -1.0495026111602783, 1.0402218103408813]"
50,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 0, 1, 1, 0, 1]","[-1.0520269870758057, -1.0410431623458862, -1.042428731918335, -1.0456486940383911, -1.0488407611846924, 1.0399669408798218, -1.0455290079116821, -1.046771764755249]"
51,"[0, 0, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0]","[1.0381189584732056, 1.0390963554382324, 1.035766363143921, 1.0375899076461792, 1.0413172245025635, -1.0510934591293335, 1.0381500720977783, 1.0418137311935425]"
52,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[-1.0186598300933838, 1.0569981336593628, 1.04683518409729, -1.0424801111221313, -1.0392756462097168, -1.0415526628494263, 1.0425134897232056, -1.0438005924224854]"
53,"[0, 1, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]","[1.0414626598358154, -1.0357621908187866, -1.0420252084732056, 1.0414685010910034, 1.0388059616088867, 1.0405634641647339, -1.050866723060608, 1.040385127067566]"
54,"[0, 0, 1, 1, 0, 1, 1, 1]","[1, 1, 0, 0, 1, 0, 0, 1]","[1.03534996509552, 1.0515013933181763, -1.041722059249878, -1.0467000007629395, 1.0438586473464966, -1.0444238185882568, -1.0457813739776611, -1.0476433038711548]"
55,"[1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]","[-1.0539828538894653, -1.0508867502212524, 1.0348680019378662, 1.0373903512954712, -1.0570876598358154, 1.0353615283966064, 1.0366257429122925, 1.0393917560577393]"
56,"[0, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 0, 0, 0, 1, 1, 1]","[1.0330718755722046, -1.0398579835891724, 1.0430184602737427, -1.0431509017944336, -1.0376639366149902, 1.0405954122543335, 1.039384126663208, -1.046242356300354]"
57,"[1, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0]","[-1.029727578163147, 1.0315748453140259, -1.0468367338180542, 1.0393986701965332, 1.0427806377410889, -1.0511776208877563, -1.05466890335083, 1.0426816940307617]"
58,"[0, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 1]","[1.0404733419418335, -1.0456622838974, -1.0415199995040894, -1.0461972951889038, 1.0467751026153564, 1.039729118347168, -1.048802137374878, -1.0501364469528198]"
59,"[1, 0, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 0, 1, 0, 0]","[-1.0522369146347046, 1.0357826948165894, 1.0336525440216064, 1.0361230373382568, -1.048449993133545, -1.0536943674087524, 1.035443902015686, 1.040713906288147]"
