Example,Decoded_Bits,Polar_code,Output
0,"[0, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[1.0710119009017944, 1.074895977973938, 1.069056749343872, 1.04929780960083, 1.0313301086425781, 1.039516568183899, 1.055355429649353, -1.0449014902114868]"
1,"[0, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[0.08323941379785538, -1.0507405996322632, -1.0509510040283203, -1.0614681243896484, -1.048554539680481, -1.043033480644226, -1.0264593362808228, 1.0665665864944458]"
2,"[1, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[-0.9177523851394653, 1.0677440166473389, -1.0394494533538818, 1.0497453212738037, -1.0487744808197021, 1.0410246849060059, -1.030358910560608, -1.0624946355819702]"
3,"[0, 1, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]","[0.6717631220817566, -1.0864850282669067, 1.0421738624572754, -1.058991551399231, 1.038509488105774, -1.0545965433120728, 1.049879789352417, 1.0594884157180786]"
4,"[1, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[-1.007887840270996, -1.0470305681228638, 1.0640720129013062, 1.0485570430755615, -1.0435562133789062, -1.028813123703003, 1.0590078830718994, -1.0446553230285645]"
5,"[0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0.7219192385673523, 1.0503672361373901, -1.0328415632247925, -1.0610460042953491, 1.037240982055664, 1.0506247282028198, -1.0399019718170166, 1.0666557550430298]"
6,"[0, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0.9707580804824829, -1.048427700996399, -1.0562604665756226, 1.0506041049957275, 1.0740554332733154, -1.0243754386901855, -1.0320109128952026, -1.0426537990570068]"
7,"[1, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[-0.9353742599487305, 1.0559364557266235, 1.0392802953720093, -1.0554847717285156, -1.050471544265747, 1.0465583801269531, 1.0395278930664062, 1.055054783821106]"
8,"[1, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[-0.9981997013092041, 1.0731801986694336, 1.0662143230438232, 1.047446370124817, -1.0348337888717651, 1.0657987594604492, 1.0555309057235718, -1.0540059804916382]"
9,"[0, 1, 1, 1, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0]","[0.1681157797574997, -1.0449591875076294, -1.048782229423523, -1.066457986831665, 1.0881551504135132, -1.0437020063400269, -1.0487914085388184, 1.0691616535186768]"
