Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : -2.0
Number of heads : 8
Number of layers: 6
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 50000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 299661
Did not find standard validation data
Need to save for: 1000
[0/50000] At -2 dB, Loss: 1.1256404, Train BER (-2 dB) : 0.4975281, Valid BER: 0.4690857, Tgt BER: 0.4690857, Noiseless BER 0.4505768, Valid BLER : 0.9827881
Time for one step is 0.0115 minutes
[100/50000] At -2 dB, Loss: 0.9199376, Train BER (-2 dB) : 0.3822784, Valid BER: 0.3799744, Tgt BER: 0.3799744, Noiseless BER 0.1843872, Valid BLER : 0.9586182
[200/50000] At -2 dB, Loss: 0.8872498, Train BER (-2 dB) : 0.3757477, Valid BER: 0.3738708, Tgt BER: 0.3738708, Noiseless BER 0.1741333, Valid BLER : 0.9559326
[300/50000] At -2 dB, Loss: 0.8623880, Train BER (-2 dB) : 0.3622894, Valid BER: 0.3544617, Tgt BER: 0.3544617, Noiseless BER 0.1207733, Valid BLER : 0.9425049
[400/50000] At -2 dB, Loss: 0.8359683, Train BER (-2 dB) : 0.3558960, Valid BER: 0.3505707, Tgt BER: 0.3505707, Noiseless BER 0.1015015, Valid BLER : 0.9428711
[500/50000] At -2 dB, Loss: 0.8252124, Train BER (-2 dB) : 0.3506165, Valid BER: 0.3442383, Tgt BER: 0.3442383, Noiseless BER 0.0717010, Valid BLER : 0.9250488
[600/50000] At -2 dB, Loss: 0.8093176, Train BER (-2 dB) : 0.3415527, Valid BER: 0.3341370, Tgt BER: 0.3341370, Noiseless BER 0.0518494, Valid BLER : 0.9116211
[700/50000] At -2 dB, Loss: 0.8068788, Train BER (-2 dB) : 0.3445892, Valid BER: 0.3370361, Tgt BER: 0.3370361, Noiseless BER 0.0411530, Valid BLER : 0.9132080
[800/50000] At -2 dB, Loss: 0.7993329, Train BER (-2 dB) : 0.3374023, Valid BER: 0.3272400, Tgt BER: 0.3272400, Noiseless BER 0.0355835, Valid BLER : 0.9013672
[900/50000] At -2 dB, Loss: 0.7929381, Train BER (-2 dB) : 0.3295288, Valid BER: 0.3259277, Tgt BER: 0.3259277, Noiseless BER 0.0213318, Valid BLER : 0.8961182
