Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[-0.34655, -1.75615, -1.05104, -1.03009, -0.23172, -0.96449, -0.56876, 1.19391, -0.81096, 1.50112, 0.84451, 0.52275, 0.83357, 1.07866, 0.27083, 0.00625]","[-1.03598, -1.04334, -1.03705, -1.03366, -1.04789, -1.03619, -1.03648, -1.03719]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-1.32564, 1.2237, -1.01835, 0.16717, -0.24614, 1.25532, 2.46365, -1.10774, 0.89551, -2.11384, -0.84847, -1.7088, -0.4182, -1.42222, -0.14403, 0.90324]","[-1.04047, -1.05341, -1.05487, -1.04242, -1.0523, -1.03917, -1.03969, 1.03121]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[-0.54139, -1.40895, 0.86704, -2.14755, 1.81597, -0.2595, 0.54251, 1.13433, 0.54954, 0.78984, -1.47817, 1.24, -1.78627, 1.48412, -0.52345, 0.22415]","[-1.03692, -1.0469, -1.04176, -1.03363, -1.04602, -1.03644, 1.033, -1.03678]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[-1.14481, 2.55081, -1.13032, -0.71481, 0.96955, 1.85096, -1.95464, 0.11602, 2.45616, -1.98613, 1.43948, -0.03624, -0.17112, -0.4472, 0.02294, -0.60281]","[-1.0368, -1.04038, -1.04092, -1.03521, -1.0466, 1.03148, -1.03802, -1.03788]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1.28383, -0.66577, 0.927, 1.24665, -0.50915, -1.26446, 0.20601, -1.50488, -0.89048, 1.67059, -1.94901, -0.34293, 0.52159, 1.27247, -1.24436, 1.79784]","[-1.03691, -1.05815, -1.05107, -1.03741, -1.05127, 1.03247, -1.03647, 1.03299]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[0.66542, 1.3948, 1.41752, -0.83621, -0.78908, 0.75532, 1.73489, 0.05757, 0.25552, -1.06572, -0.02386, 1.24314, 0.61771, -1.91893, -1.91828, -1.11799]","[-1.03661, -1.04704, -1.04231, -1.03636, -1.0428, 1.03155, 1.03268, -1.03735]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]","[-0.80061, 0.32226, -1.1976, 1.50196, 1.59275, -0.48947, -1.4611, -1.34235, 0.80996, 2.63772, 0.62383, -0.58197, -0.19564, -0.1195, 1.02862, 0.75934]","[-1.03966, -1.04575, -1.04052, -1.03653, -1.03821, 1.03651, 1.03558, 1.03471]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-1.00655, -2.24889, -0.14207, -1.35837, 1.60352, -1.40563, -1.09994, 1.6584, 3.27264, 0.42538, 0.96071, 0.61379, -1.35501, 1.44576, 2.79542, -2.01775]","[-1.03608, -1.04268, -1.03644, -1.0335, 1.04516, -1.03628, -1.03665, -1.03747]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0.37719, -1.03601, 0.36897, -1.05286, -0.1629, -1.25558, 1.68482, 1.66074, -0.47813, 1.4751, 0.52725, 1.17162, -0.88466, 0.31444, -1.89829, -1.44107]","[-1.03686, -1.04754, -1.04339, -1.03399, 1.03951, -1.03655, 1.03339, -1.03702]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[-0.4737, 1.74967, -0.63569, 0.68334, -0.10604, 3.02957, -0.10002, -0.41257, 1.26228, -1.124, 2.19919, -0.53855, -1.40862, 0.22006, 0.5265, 0.55172]","[-1.0387, -1.05506, -1.04513, -1.03841, 1.04233, -1.0368, 1.03217, 1.03348]"
