Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1.53959, -1.64855, -0.82132, -1.74218, -1.73244, -0.58603, -1.80291, 1.09409, -0.71669, 2.17769, 1.14859, 0.01265, 1.99479, 1.21868, 0.45911, -1.70138]","[-1.03644, -1.03569, -1.03629, -1.04055, -1.046, -1.03806, -1.03912, -1.0414]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-1.63585, 1.42722, 1.20417, 1.37914, 0.56813, -0.17754, 1.24649, -1.03481, 1.40147, -0.1424, -1.31694, -1.10107, -1.57206, -1.94986, -0.03403, 1.61454]","[-1.04698, -1.05913, -1.05887, -1.04839, -1.04906, -1.04632, -1.04603, 1.03008]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[-1.67078, -1.28108, 0.15831, -1.15042, 1.70853, -0.53798, 1.40479, 1.91675, -0.62438, 0.67677, -0.39119, 0.35806, -1.35693, 1.48108, -0.01756, 0.36671]","[-1.03741, -1.0333, -1.04786, -1.04074, -1.03841, -1.03825, 1.04827, -1.04188]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-1.38927, 2.11689, -1.65561, -2.21019, 1.97948, 0.56485, -1.38319, 0.76081, 2.30124, -1.19072, 1.6315, 0.52177, -0.26526, -0.89619, 1.023, -1.54214]","[-1.03696, -1.06516, -1.04742, -1.04042, -1.04792, 1.04508, -1.03937, -1.04186]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0.73318, -0.50261, -0.36601, 1.69152, -0.678, -1.38679, 2.16388, -0.10106, -0.72899, 0.32394, -1.53086, -1.83893, 0.28189, 1.74638, -1.59847, 1.29868]","[-1.04283, -1.04875, -1.05858, -1.04536, -1.05565, 1.02636, -1.04233, 1.03178]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[-0.06053, 0.21641, 1.54773, -1.88146, -1.2822, -1.1269, 0.93997, 1.40153, -1.51397, 0.26607, -0.81327, 1.45324, 1.4082, 0.30605, -1.71019, -1.28366]","[-1.04204, -1.05209, -1.04285, -1.04495, -1.04857, 1.04599, 1.04621, -1.04184]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[-1.14006, -1.34712, -0.91347, -0.4202, 0.18353, -0.26175, -0.47269, 0.07583, 1.64786, 0.53562, 1.81646, -1.78359, -2.36877, 1.77599, 1.59368, 2.0201]","[-1.04352, -1.04459, -1.04586, -1.04547, -1.0444, 1.02965, 1.02987, 1.03284]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.15599, -2.08121, -0.66603, -0.89208, 0.03466, -1.09219, -2.42438, 1.00233, 2.13054, 0.81092, 0.67091, 1.38199, -0.94181, 0.58256, 0.34103, -0.76913]","[-1.03661, -1.03501, -1.03749, -1.04029, 1.04953, -1.03798, -1.03932, -1.04103]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[1.54833, -1.83281, 2.04567, -0.66277, 0.01543, -1.13898, 0.54232, 0.86234, -0.97047, 0.59772, -0.05934, 1.81664, 1.13937, 1.64609, 0.56852, -1.15606]","[-1.03743, -1.03373, -1.04814, -1.04177, 1.04597, -1.03835, 1.04858, -1.04205]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-1.04897, 2.24007, -0.39098, 0.88212, 0.31173, 0.60793, -1.71173, -1.33135, 1.28209, -1.46592, 1.06719, -0.60318, -2.16489, -0.44096, 0.48625, 1.13468]","[-1.0431, -1.06568, -1.0518, -1.04796, 1.04142, -1.04298, 1.02318, 1.03128]"
10,"[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[2.85896, 0.53278, -1.89149, -1.84461, -1.07038, 1.13315, -0.40616, 1.70603, -0.92125, -0.47982, 1.3106, 0.46491, 1.73427, -1.0586, 1.24728, -1.22253]","[-1.03662, -1.06535, -1.04579, -1.04255, 1.04068, 1.04508, -1.03925, -1.04216]"
11,"[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[-1.13894, -0.40283, 1.50935, 0.86259, -0.06317, -0.05752, 1.97985, -0.59229, 1.60502, 0.78338, -0.22984, -1.54468, -1.61047, 0.82961, -0.4162, 0.9802]","[-1.04246, -1.04876, -1.05557, -1.04515, 1.04722, 1.02548, -1.04139, 1.03122]"
12,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1]","[-0.03708, 1.37924, 2.0127, -0.70843, 0.19788, 1.20622, 0.01163, 1.96837, 0.36867, -0.65444, -0.53766, 1.25514, -1.75762, 0.13177, -1.33334, -0.88468]","[-1.04323, -1.05124, -1.04316, -1.04367, 1.04792, 1.04589, 1.04616, -1.0419]"
13,"[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0.74527, -1.00673, -1.74928, 1.1231, -1.30698, -0.87694, -1.48319, -1.35266, -1.15052, 0.4225, 1.51013, -0.83132, 0.33369, 1.59685, 0.29999, 1.78588]","[-1.0451, -1.04435, -1.04595, -1.04536, 1.03776, 1.03027, 1.03045, 1.03395]"
14,"[1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0.49186, -1.41821, -1.83609, -1.59421, 0.05476, 0.09101, 0.95719, -0.45003, -2.00018, 0.96095, 0.79653, 1.038, -0.90046, -1.99373, -1.45505, 0.26557]","[-1.04431, -1.04839, -1.04888, 1.03291, -1.0474, -1.0434, -1.04316, 1.03121]"
15,"[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[0.17678, 0.50854, -0.9429, 0.68962, 0.93657, 0.13791, 0.62191, 0.23392, -2.03076, -0.95473, 0.49874, -1.43691, -1.98696, 0.21698, -1.09146, -0.6938]","[-1.03669, -1.05028, -1.04547, 1.04681, -1.03882, -1.038, 1.04786, -1.04101]"
16,"[1, 1, 1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 1, 1, 0, 0]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[-1.55358, -0.82622, 0.46128, -0.47846, -0.85808, 1.83751, 0.12125, -1.27343, 1.53537, 0.25257, 0.29557, 0.30187, 1.60907, -1.38292, 1.94706, 1.10254]","[-1.04143, -1.04897, -1.05136, 1.03516, -1.05416, -1.04181, 1.02617, 1.03169]"
