Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1.42354, -0.63313, -1.65662, -0.83352, -0.56451, -1.24019, -0.65999, -0.55801, -1.24044, 1.0354, 0.43415, 0.78357, 0.36317, 1.59141, 0.77066, 0.05751]","[-1.02982, -1.03335, -1.03239, -1.03321, -1.04185, -1.02924, -1.03199, -1.02878]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[-0.45947, 0.45517, 1.52048, 0.34237, 0.24113, 0.95799, 0.60215, -1.86065, 0.29376, -1.40394, -0.95762, -0.44252, -0.75348, -1.00608, 0.55837, 1.23455]","[-1.05379, -1.06781, -1.06691, -1.05791, -1.05891, -1.05629, -1.05373, 1.02765]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-2.09081, -1.58325, 1.68895, -1.36708, 1.43359, -1.51095, 2.96601, 1.59498, 2.18005, 0.41363, -0.42062, 0.92455, -2.42863, 1.00489, -1.51178, -0.69141]","[-1.02942, -1.03329, -1.05158, -1.02834, -1.04467, -1.03279, 1.04404, -1.03221]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-0.90694, -0.44226, -0.61529, -1.91922, 0.50835, 1.7664, -1.61326, 0.23515, 0.06221, -1.23713, 1.81944, 0.31434, -0.26401, -1.15778, 0.58049, -1.3771]","[-1.0324, -1.05567, -1.04517, -1.03789, -1.04704, 1.04143, -1.03437, -1.03193]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[-0.38148, -0.78375, 0.05455, 0.88572, -0.53012, -1.00314, 1.05005, -1.00786, -0.60817, 1.57001, -1.59542, -1.93144, 0.86941, -0.06117, -1.007, 1.72009]","[-1.05115, -1.05041, -1.06329, -1.06008, -1.05543, 1.03829, -1.0486, 1.03399]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[1.17237, 0.58918, -0.24818, -0.76219, -1.35748, 1.44964, 2.17394, 1.26204, -0.73892, 0.40237, -0.56791, 0.49137, 1.13573, -1.52551, 0.07395, -1.02681]","[-1.0395, -1.0545, -1.0516, -1.04287, -1.05195, 1.04294, 1.04228, -1.03302]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[-0.80343, -0.58344, -2.5504, 0.74266, 0.58051, -0.43552, 0.10579, -1.64378, -0.04633, -0.00626, 1.44663, -0.98506, -0.94285, -0.06, 1.89762, 1.93313]","[-1.04396, -1.03784, -1.04171, -1.04079, -1.03886, 1.04777, 1.04061, 1.0366]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.19964, -1.41341, -1.72525, -1.74746, -0.00823, -0.94921, -0.77435, 1.37209, 0.81612, 2.22107, 1.89561, 2.1644, -1.22372, 0.1099, 1.30337, -1.21196]","[-1.02994, -1.03163, -1.03076, -1.03258, 1.0598, -1.02907, -1.03211, -1.03149]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0.36656, -0.53389, 1.90528, -0.49311, -0.58124, -0.79389, 1.20914, 0.55593, -0.6911, 1.2613, -1.62475, 0.76659, 0.25837, 2.07773, -1.00683, -0.7348]","[-1.0307, -1.03366, -1.05197, -1.03141, 1.04836, -1.03423, 1.04419, -1.0325]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0]","[-0.34987, 1.16402, -0.28807, 1.07814, 1.59335, 1.37786, -0.88735, -0.27959, 2.07884, -0.39722, 0.58333, 0.2879, -1.27663, -1.81987, 0.38923, 0.84283]","[-1.05107, -1.05622, -1.04992, -1.05033, 1.04866, -1.04875, 1.03492, 1.03277]"
10,"[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[2.15214, 0.80172, -0.16963, -1.22087, -0.78698, 1.45578, -2.05667, 2.4374, -0.23641, -2.41303, 1.51834, 2.36865, 1.64376, -1.12732, 2.39585, -1.49345]","[-1.03238, -1.05595, -1.0474, -1.0388, 1.04399, 1.04084, -1.0347, -1.03245]"
11,"[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[0.07545, -1.28477, 1.87539, 0.47804, 2.25959, -1.14983, 0.12691, -0.45481, 0.78339, 1.56958, -1.31377, -1.28926, -1.94931, 1.83128, -1.25871, 1.12335]","[-1.05097, -1.05058, -1.06044, -1.05871, 1.04809, 1.03864, -1.04998, 1.0342]"
12,"[1, 1, 1, 1, 0, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1]","[-0.25471, 1.40019, 0.62927, -0.75371, 0.64449, 0.70406, 0.6202, -0.87539, 2.29333, -0.83453, -1.33418, 0.72644, -1.74616, -0.405, -0.53696, -1.30186]","[-1.03912, -1.05595, -1.05124, -1.03987, 1.04723, 1.04222, 1.042, -1.03279]"
13,"[1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0.50459, -0.2361, -1.4728, 1.42048, -0.72471, -1.89684, -1.18541, -0.79116, -2.28846, -0.28916, 0.63174, -1.21197, 1.80994, 1.48322, 1.08507, 1.16563]","[-1.0454, -1.03867, -1.04266, -1.04503, 1.0517, 1.04534, 1.03846, 1.03468]"
14,"[1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[1.02625, -1.62263, -0.52001, -1.14212, 1.51305, 0.46451, 1.35704, -0.21932, -0.62396, 0.94848, 0.44829, 0.91255, -0.23976, -1.42317, -0.03855, 1.31932]","[-1.05163, -1.05738, -1.05809, 1.03703, -1.05537, -1.05266, -1.05087, 1.03018]"
