Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[1.01838, 0.06812, 0.05476, -1.17827, -1.81792, -1.25389, -1.87221, 1.02438, -0.71073, 1.4585, -0.44324, -0.74585, 0.60515, 1.9106, 2.06884, -1.20227]","[-1.03196, -1.04455, -1.04202, -1.0305, -1.04612, -1.03232, -1.03317, -1.03484]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-0.52525, 0.73401, 1.69075, 1.36221, 0.20531, 0.39366, 0.45035, -0.81312, 0.75257, -1.09924, -1.54172, -0.79334, -0.74837, -0.45198, -1.86524, 1.46635]","[-1.03966, -1.05031, -1.05121, -1.04266, -1.04617, -1.03923, -1.0397, 1.03631]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-1.35421, -1.10639, 0.84236, -0.00347, 1.99892, 0.13335, 0.30412, 1.71778, 0.96816, 0.86677, -0.72978, 1.91446, -0.75317, 0.75543, -1.4169, -0.28668]","[-1.03285, -1.0477, -1.04843, -1.0342, -1.04976, -1.03278, 1.03807, -1.03644]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-0.0249, 0.53677, -0.68761, -0.78514, 1.17862, 1.74265, -1.44618, 1.5152, 1.78077, -1.15932, 1.50199, 0.62478, -2.12781, -0.89471, 1.58545, -1.79609]","[-1.0316, -1.05208, -1.04763, -1.02966, -1.03669, 1.03805, -1.03241, -1.03712]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0.94935, -2.76572, 0.61838, 0.78954, 0.21347, -1.21162, 1.01471, -0.53554, -1.57148, 2.72765, -0.73663, -1.46886, 0.68117, 1.41491, -0.95879, 0.60043]","[-1.0439, -1.04999, -1.05008, -1.0428, -1.04813, 1.03506, -1.04293, 1.0374]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0.11217, -0.04802, -0.20513, -2.46785, -1.07766, 0.95817, 0.34918, 1.42612, -1.70245, -0.84758, -0.39267, 0.80623, 1.01654, -0.95826, -1.62732, -1.3339]","[-1.03528, -1.05115, -1.04172, -1.03689, -1.04216, 1.03747, 1.03719, -1.03719]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[0.16283, -0.63928, -1.42581, 1.01485, 0.85483, -1.08768, -1.86875, -1.51544, -0.64942, 1.30614, 0.81308, -0.65705, -0.35257, 0.51929, 1.77288, 0.47678]","[-1.04344, -1.04702, -1.05298, -1.04275, -1.04093, 1.03562, 1.03584, 1.03706]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.30606, -1.33182, -0.97447, -1.41543, 1.05269, 0.06998, -1.05588, 1.44961, 0.05854, 0.77216, 1.05625, 0.90758, -1.19161, 1.23558, 2.38999, -0.67873]","[-1.03199, -1.04547, -1.04269, -1.03039, 1.04524, -1.0324, -1.0333, -1.03539]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[1.39217, -0.90455, 2.74647, -1.80548, -0.52533, -1.3196, 1.24046, 1.95217, -1.505, 1.93708, -1.0209, -0.11344, 0.49233, 0.99583, -1.9151, -2.60329]","[-1.0329, -1.04927, -1.04982, -1.0346, 1.04119, -1.03309, 1.03915, -1.03676]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-2.00704, 0.92373, 0.19525, 1.38415, 0.32045, 1.05921, -2.15917, -0.58996, 1.78362, -1.56163, 2.34041, -0.92902, -0.25136, -0.08045, 2.07516, 0.7059]","[-1.03984, -1.05214, -1.05682, -1.04172, 1.04867, -1.0399, 1.03557, 1.03801]"
