Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[1.06542, -1.0453, -0.24873, -0.34671, -1.85281, -0.475, -1.13712, 0.32858, -0.67009, 0.17525, 1.07274, 1.60322, 0.98819, 0.24378, -0.15146, -2.2681]","[-1.02989, -1.04062, -1.03892, -1.03284, -1.04007, -1.03031, -1.03013, -1.03001]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[-1.07333, 2.2306, 0.4514, 2.50721, 2.01953, 0.09639, -0.23517, -1.11815, 1.63911, -0.60421, -1.01238, -0.80249, -0.94639, -1.21459, -0.20957, -0.36472]","[-1.05424, -1.0648, -1.05774, -1.05198, -1.05665, -1.05281, -1.05169, 1.03442]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-0.37491, -0.98155, 1.24776, -1.8129, 1.73727, -0.23905, 2.03488, 0.48994, 0.63858, 1.39291, 0.56642, 0.96065, -0.20477, 1.35988, -0.88136, -0.26513]","[-1.03265, -1.05169, -1.04896, -1.03241, -1.05174, -1.0338, 1.03238, -1.03319]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-1.46309, -0.62676, -2.58051, -0.8814, 0.00779, 1.20306, -1.11948, 2.31319, 1.12818, -1.09318, 0.70153, 0.86725, -1.09245, -1.80483, 0.65115, -1.35357]","[-1.02977, -1.05459, -1.0419, -1.03486, -1.05018, 1.03657, -1.02984, -1.03093]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[1.49747, -0.09357, 0.24182, 0.34258, -0.59899, -2.72866, 2.25323, 0.08469, -0.66078, 0.82016, -0.84586, -0.754, -0.71831, 1.63482, -0.33381, 0.14751]","[-1.0527, -1.05175, -1.05375, -1.05096, -1.05993, 1.02932, -1.05212, 1.03491]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1.33417, 0.64905, 0.12332, -0.37542, -2.11042, 0.35216, 1.10333, 0.44773, -1.36627, -0.2725, -2.4443, 2.30349, 0.25428, -0.91127, -1.13275, -1.07832]","[-1.04093, -1.05936, -1.05151, -1.04854, -1.05556, 1.03576, 1.03255, -1.03461]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[-1.51372, -1.41737, -2.06781, 0.02798, 0.73899, -1.41669, -1.12718, -0.76044, 1.05413, 1.20925, 1.42329, -1.43856, -0.52219, 0.20742, 0.62184, 0.36829]","[-1.04681, -1.0322, -1.04033, -1.04213, -1.04353, 1.03995, 1.03897, 1.03737]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-1.10036, -0.10982, -1.15158, -1.13197, 1.68677, -1.08793, -0.46099, 2.30541, 1.02275, 1.29418, 1.70505, 1.99886, -1.95776, 0.31747, 0.715, -1.55541]","[-1.02977, -1.03971, -1.03765, -1.03209, 1.05272, -1.02975, -1.02979, -1.03137]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0.44892, -1.01413, 1.37582, -2.62909, -0.62617, -1.4439, -0.13987, -0.6498, -1.70288, 1.9398, -1.37633, 1.64767, 1.71157, 0.54865, -0.75607, -2.04139]","[-1.03448, -1.05347, -1.04974, -1.03544, 1.04468, -1.03562, 1.03228, -1.03432]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[0.15215, 0.5936, -1.27512, 0.61052, 1.67328, 1.47335, -0.50324, -1.4999, 1.31942, -0.92978, 1.67099, -0.69469, -1.70065, -1.24288, 1.0507, 0.61396]","[-1.05091, -1.0547, -1.0442, -1.04088, 1.05084, -1.04748, 1.03673, 1.03786]"
