Info positions : [ 7  9 10 11 12 13 14 15]
Target Info positions : [ 7  9 10 11 12 13 14 15]
Frozen positions : [0 1 2 3 4 5 6 8]
embed dim : 64 
Batch size : 8192
Validation SNR : 3.0
Number of heads : 2
Number of layers: 2
Positional encoding : static
Layers : compelete
Print frequency: 100
Num of steps: 200000
combinational training snr:  False
64
Training Model for 8,16 anew
Number of parameters : 100741
Did not find standard validation data
Need to save for: 1000
[0/200000] At 3 dB, Loss: 1.4975147, Train BER (3 dB) : 0.5555267, Valid BER: 0.4474182, Tgt BER: 0.4474182, Noiseless BER 0.4393158, Valid BLER : 0.9938965
Time for one step is 0.0025 minutes
[100/200000] At 3 dB, Loss: 0.7019678, Train BER (3 dB) : 0.2647552, Valid BER: 0.2688141, Tgt BER: 0.2688141, Noiseless BER 0.1805115, Valid BLER : 0.8875732
[200/200000] At 3 dB, Loss: 0.6657085, Train BER (3 dB) : 0.2507172, Valid BER: 0.2389679, Tgt BER: 0.2389679, Noiseless BER 0.1309814, Valid BLER : 0.8585205
[300/200000] At 3 dB, Loss: 0.6432655, Train BER (3 dB) : 0.2289124, Valid BER: 0.2005310, Tgt BER: 0.2005310, Noiseless BER 0.0552826, Valid BLER : 0.6911621
[400/200000] At 3 dB, Loss: 0.5978048, Train BER (3 dB) : 0.2077332, Valid BER: 0.1823883, Tgt BER: 0.1823883, Noiseless BER 0.0171661, Valid BLER : 0.5703125
[500/200000] At 3 dB, Loss: 0.5665829, Train BER (3 dB) : 0.1936798, Valid BER: 0.1799164, Tgt BER: 0.1799164, Noiseless BER 0.0070343, Valid BLER : 0.5334473
[600/200000] At 3 dB, Loss: 0.5507030, Train BER (3 dB) : 0.1917877, Valid BER: 0.1754303, Tgt BER: 0.1754303, Noiseless BER 0.0054474, Valid BLER : 0.5279541
[700/200000] At 3 dB, Loss: 0.5418927, Train BER (3 dB) : 0.1884003, Valid BER: 0.1711273, Tgt BER: 0.1711273, Noiseless BER 0.0000000, Valid BLER : 0.5113525
[800/200000] At 3 dB, Loss: 0.5286839, Train BER (3 dB) : 0.1867065, Valid BER: 0.1658020, Tgt BER: 0.1658020, Noiseless BER 0.0000000, Valid BLER : 0.5145264
[900/200000] At 3 dB, Loss: 0.5015837, Train BER (3 dB) : 0.1784821, Valid BER: 0.1624603, Tgt BER: 0.1624603, Noiseless BER 0.0000000, Valid BLER : 0.5090332
[1000/200000] At 3 dB, Loss: 0.4909323, Train BER (3 dB) : 0.1774445, Valid BER: 0.1614532, Tgt BER: 0.1614532, Noiseless BER 0.0000000, Valid BLER : 0.5144043
[1100/200000] At 3 dB, Loss: 0.4786362, Train BER (3 dB) : 0.1734467, Valid BER: 0.1631317, Tgt BER: 0.1631317, Noiseless BER 0.0000000, Valid BLER : 0.5275879
[1200/200000] At 3 dB, Loss: 0.4629399, Train BER (3 dB) : 0.1683350, Valid BER: 0.1641388, Tgt BER: 0.1641388, Noiseless BER 0.0000000, Valid BLER : 0.5322266
[1300/200000] At 3 dB, Loss: 0.4695560, Train BER (3 dB) : 0.1737671, Valid BER: 0.1584473, Tgt BER: 0.1584473, Noiseless BER 0.0000000, Valid BLER : 0.5306396
[1400/200000] At 3 dB, Loss: 0.4553256, Train BER (3 dB) : 0.1694794, Valid BER: 0.1590271, Tgt BER: 0.1590271, Noiseless BER 0.0000000, Valid BLER : 0.5329590
[1500/200000] At 3 dB, Loss: 0.4405454, Train BER (3 dB) : 0.1634064, Valid BER: 0.1595612, Tgt BER: 0.1595612, Noiseless BER 0.0000000, Valid BLER : 0.5517578
[1600/200000] At 3 dB, Loss: 0.4446729, Train BER (3 dB) : 0.1680756, Valid BER: 0.1605835, Tgt BER: 0.1605835, Noiseless BER 0.0000000, Valid BLER : 0.5571289
[1700/200000] At 3 dB, Loss: 0.4285505, Train BER (3 dB) : 0.1609955, Valid BER: 0.1611176, Tgt BER: 0.1611176, Noiseless BER 0.0000000, Valid BLER : 0.5568848
[1800/200000] At 3 dB, Loss: 0.4294607, Train BER (3 dB) : 0.1630249, Valid BER: 0.1591339, Tgt BER: 0.1591339, Noiseless BER 0.0000000, Valid BLER : 0.5476074
[1900/200000] At 3 dB, Loss: 0.4398859, Train BER (3 dB) : 0.1675415, Valid BER: 0.1568604, Tgt BER: 0.1568604, Noiseless BER 0.0000000, Valid BLER : 0.5405273
[2000/200000] At 3 dB, Loss: 0.4373991, Train BER (3 dB) : 0.1678619, Valid BER: 0.1606293, Tgt BER: 0.1606293, Noiseless BER 0.0000000, Valid BLER : 0.5621338
[2100/200000] At 3 dB, Loss: 0.4267012, Train BER (3 dB) : 0.1645966, Valid BER: 0.1566010, Tgt BER: 0.1566010, Noiseless BER 0.0000000, Valid BLER : 0.5465088
[2200/200000] At 3 dB, Loss: 0.4275177, Train BER (3 dB) : 0.1655884, Valid BER: 0.1558838, Tgt BER: 0.1558838, Noiseless BER 0.0000000, Valid BLER : 0.5334473
[2300/200000] At 3 dB, Loss: 0.4228045, Train BER (3 dB) : 0.1653290, Valid BER: 0.1581116, Tgt BER: 0.1581116, Noiseless BER 0.0000000, Valid BLER : 0.5538330
[2400/200000] At 3 dB, Loss: 0.4089483, Train BER (3 dB) : 0.1595154, Valid BER: 0.1563721, Tgt BER: 0.1563721, Noiseless BER 0.0000000, Valid BLER : 0.5460205
[2500/200000] At 3 dB, Loss: 0.4081674, Train BER (3 dB) : 0.1604004, Valid BER: 0.1505737, Tgt BER: 0.1505737, Noiseless BER 0.0000000, Valid BLER : 0.5324707
[2600/200000] At 3 dB, Loss: 0.4120816, Train BER (3 dB) : 0.1637421, Valid BER: 0.1536255, Tgt BER: 0.1536255, Noiseless BER 0.0000000, Valid BLER : 0.5372314
[2700/200000] At 3 dB, Loss: 0.4084227, Train BER (3 dB) : 0.1614380, Valid BER: 0.1556549, Tgt BER: 0.1556549, Noiseless BER 0.0000000, Valid BLER : 0.5413818
[2800/200000] At 3 dB, Loss: 0.4125157, Train BER (3 dB) : 0.1625519, Valid BER: 0.1523895, Tgt BER: 0.1523895, Noiseless BER 0.0000000, Valid BLER : 0.5244141
[2900/200000] At 3 dB, Loss: 0.4097932, Train BER (3 dB) : 0.1624451, Valid BER: 0.1501160, Tgt BER: 0.1501160, Noiseless BER 0.0000000, Valid BLER : 0.5216064
[3000/200000] At 3 dB, Loss: 0.4047956, Train BER (3 dB) : 0.1605988, Valid BER: 0.1524048, Tgt BER: 0.1524048, Noiseless BER 0.0000000, Valid BLER : 0.5256348
[3100/200000] At 3 dB, Loss: 0.4022654, Train BER (3 dB) : 0.1567078, Valid BER: 0.1526642, Tgt BER: 0.1526642, Noiseless BER 0.0000000, Valid BLER : 0.5281982
[3200/200000] At 3 dB, Loss: 0.4029314, Train BER (3 dB) : 0.1601257, Valid BER: 0.1505280, Tgt BER: 0.1505280, Noiseless BER 0.0000000, Valid BLER : 0.5203857
[3300/200000] At 3 dB, Loss: 0.3985156, Train BER (3 dB) : 0.1596222, Valid BER: 0.1489716, Tgt BER: 0.1489716, Noiseless BER 0.0000000, Valid BLER : 0.5218506
[3400/200000] At 3 dB, Loss: 0.4006402, Train BER (3 dB) : 0.1601868, Valid BER: 0.1504364, Tgt BER: 0.1504364, Noiseless BER 0.0000000, Valid BLER : 0.5183105
[3500/200000] At 3 dB, Loss: 0.3893563, Train BER (3 dB) : 0.1550446, Valid BER: 0.1520538, Tgt BER: 0.1520538, Noiseless BER 0.0000000, Valid BLER : 0.5249023
[3600/200000] At 3 dB, Loss: 0.3885750, Train BER (3 dB) : 0.1552734, Valid BER: 0.1494141, Tgt BER: 0.1494141, Noiseless BER 0.0000000, Valid BLER : 0.5144043
[3700/200000] At 3 dB, Loss: 0.3956133, Train BER (3 dB) : 0.1590118, Valid BER: 0.1445770, Tgt BER: 0.1445770, Noiseless BER 0.0000000, Valid BLER : 0.5111084
[3800/200000] At 3 dB, Loss: 0.3893671, Train BER (3 dB) : 0.1553497, Valid BER: 0.1426544, Tgt BER: 0.1426544, Noiseless BER 0.0000000, Valid BLER : 0.5025635
[3900/200000] At 3 dB, Loss: 0.3899989, Train BER (3 dB) : 0.1584930, Valid BER: 0.1432037, Tgt BER: 0.1432037, Noiseless BER 0.0000000, Valid BLER : 0.5080566
[4000/200000] At 3 dB, Loss: 0.3899724, Train BER (3 dB) : 0.1582336, Valid BER: 0.1484222, Tgt BER: 0.1484222, Noiseless BER 0.0000000, Valid BLER : 0.5260010
[4100/200000] At 3 dB, Loss: 0.3923934, Train BER (3 dB) : 0.1549225, Valid BER: 0.1458130, Tgt BER: 0.1458130, Noiseless BER 0.0000000, Valid BLER : 0.5120850
[4200/200000] At 3 dB, Loss: 0.3857776, Train BER (3 dB) : 0.1545410, Valid BER: 0.1447601, Tgt BER: 0.1447601, Noiseless BER 0.0000000, Valid BLER : 0.5098877
[4300/200000] At 3 dB, Loss: 0.3822911, Train BER (3 dB) : 0.1529236, Valid BER: 0.1424408, Tgt BER: 0.1424408, Noiseless BER 0.0000000, Valid BLER : 0.5018311
[4400/200000] At 3 dB, Loss: 0.3790781, Train BER (3 dB) : 0.1517334, Valid BER: 0.1469574, Tgt BER: 0.1469574, Noiseless BER 0.0000000, Valid BLER : 0.5093994
[4500/200000] At 3 dB, Loss: 0.3804036, Train BER (3 dB) : 0.1528778, Valid BER: 0.1413116, Tgt BER: 0.1413116, Noiseless BER 0.0000000, Valid BLER : 0.5019531
[4600/200000] At 3 dB, Loss: 0.3775249, Train BER (3 dB) : 0.1524048, Valid BER: 0.1432800, Tgt BER: 0.1432800, Noiseless BER 0.0000000, Valid BLER : 0.5064697
[4700/200000] At 3 dB, Loss: 0.3708683, Train BER (3 dB) : 0.1504059, Valid BER: 0.1421967, Tgt BER: 0.1421967, Noiseless BER 0.0000000, Valid BLER : 0.4971924
[4800/200000] At 3 dB, Loss: 0.3757275, Train BER (3 dB) : 0.1504364, Valid BER: 0.1394196, Tgt BER: 0.1394196, Noiseless BER 0.0000000, Valid BLER : 0.4975586
[4900/200000] At 3 dB, Loss: 0.3747686, Train BER (3 dB) : 0.1507721, Valid BER: 0.1460114, Tgt BER: 0.1460114, Noiseless BER 0.0000000, Valid BLER : 0.5130615
[5000/200000] At 3 dB, Loss: 0.3684928, Train BER (3 dB) : 0.1503143, Valid BER: 0.1422272, Tgt BER: 0.1422272, Noiseless BER 0.0000000, Valid BLER : 0.5041504
[5100/200000] At 3 dB, Loss: 0.3789990, Train BER (3 dB) : 0.1539001, Valid BER: 0.1392822, Tgt BER: 0.1392822, Noiseless BER 0.0000000, Valid BLER : 0.4937744
[5200/200000] At 3 dB, Loss: 0.3735010, Train BER (3 dB) : 0.1510925, Valid BER: 0.1405182, Tgt BER: 0.1405182, Noiseless BER 0.0000000, Valid BLER : 0.4916992
[5300/200000] At 3 dB, Loss: 0.3782014, Train BER (3 dB) : 0.1517487, Valid BER: 0.1391449, Tgt BER: 0.1391449, Noiseless BER 0.0000000, Valid BLER : 0.4965820
[5400/200000] At 3 dB, Loss: 0.3690690, Train BER (3 dB) : 0.1490173, Valid BER: 0.1391602, Tgt BER: 0.1391602, Noiseless BER 0.0000000, Valid BLER : 0.5020752
[5500/200000] At 3 dB, Loss: 0.3702318, Train BER (3 dB) : 0.1503754, Valid BER: 0.1393890, Tgt BER: 0.1393890, Noiseless BER 0.0000000, Valid BLER : 0.4958496
