Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[-1.85183, 1.19621, 0.3416, -2.19006, 0.00709, -0.23532, -1.30582, 1.56537, -1.22533, 1.26253, 0.09524, -0.6561, -1.14684, -0.79706, -0.72665, -0.30066]","[1.03326, -1.04928, -1.0351, 1.04026, 1.06014, 1.0416, 1.05576, -1.04092]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[1.15379, -0.81394, -1.8605, 0.90267, -2.17653, 0.93688, 0.8332, -1.02063, -1.47531, 0.85374, 1.74123, 0.72013, 3.25192, -0.71677, -1.78633, 2.29025]","[-1.05237, 0.94447, 0.98522, -0.99101, 1.0412, -1.04822, -1.04737, 1.04726]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","[-0.71006, -1.05955, -0.5215, 1.11952, 1.82692, -1.49617, 0.77956, 2.02654, 1.45498, 1.82517, 0.69192, -0.30036, 0.94224, 1.28403, -0.61983, -1.35029]","[-1.04778, 1.0485, -1.04983, 1.05566, -1.02808, -1.04058, 1.05099, -1.04271]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0.665, -1.82571, -1.41055, -0.806, 0.6996, 0.62148, -0.61377, 1.39717, 0.82072, -0.0848, -0.59871, -1.15224, 1.82983, 0.852, -0.17013, 2.87126]","[1.04477, 1.0517, -1.05286, -1.05923, -1.05489, 1.04825, -1.0534, 1.04659]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[-1.38923, -2.00982, 1.35814, -1.09058, -2.02714, 0.25737, 1.57384, 1.81815, 1.70307, 0.93207, -0.39845, 0.50375, 0.71245, -0.6769, -0.11678, -0.21387]","[-1.05273, 1.04941, -1.03262, -1.05052, -1.05305, 1.04979, 1.05209, -1.04926]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[-1.08076, 2.55734, -0.91379, 0.56507, -0.72743, 0.64354, 0.16571, -2.94315, 1.70018, -1.39292, 0.40558, -1.06702, 0.50392, -1.62336, 0.02335, 0.6336]","[-1.05376, -1.04239, 1.05458, -1.04145, 1.0517, -1.0552, -1.03568, 1.05154]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-0.95901, 0.92035, -0.01005, 1.46549, -1.93364, -0.36, -0.28317, 1.11193, 1.1528, -0.79596, -0.96822, -0.91457, 0.35034, 0.48177, 1.7314, -1.50542]","[-1.05152, -1.04582, -1.0373, 1.0512, -1.04733, -1.05022, -1.04811, -1.04925]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-0.57424, -1.07989, -1.23929, -1.33335, -1.52057, -1.71006, 0.45794, 1.98113, 0.46978, 0.96109, 1.12016, 2.18687, -0.69171, 0.94041, -1.68518, -0.83833]","[-1.0527, -1.04078, 1.05053, -1.04594, 0.96241, -1.04938, 1.05076, -1.04846]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[-1.06134, 0.90864, -1.17057, -0.73809, -0.37237, -1.25236, 1.75124, 0.85259, 1.44552, -1.96206, 1.42901, 0.49655, -0.95009, 1.85421, -0.7689, -1.30323]","[-1.05375, 1.05117, 1.05181, -1.05125, -1.04939, -1.05186, 1.05144, -1.05095]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[0.60091, -2.20887, 1.91478, 0.35066, 0.29862, 1.21665, -0.64846, 0.36719, 1.56106, 0.30826, -1.63105, 1.64809, -0.01725, -0.24423, 1.06435, -0.93657]","[-1.05379, 1.0492, 0.90795, -1.0402, -1.04974, 1.0496, -1.04964, -1.05158]"
