Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[-0.62366, 0.46792, -1.36599, -0.34692, -1.61274, -1.35345, -2.36689, 0.97979, 0.11555, 1.47603, -1.17377, 0.46326, -0.66078, -0.77995, -0.71377, 0.93706]","[1.05199, -1.03984, 1.04613, 1.02688, -1.05051, -1.05024, -1.04945, 1.05252]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[1.42299, 0.48351, -0.63033, 0.45952, -1.00855, 0.66832, 0.80882, -0.623, -0.25315, 0.6681, 0.95122, -0.67019, 0.86011, -0.74999, -1.14824, 0.63789]","[-1.05004, 1.05425, 1.04995, -1.04998, 1.05101, -1.05059, -1.04972, 1.05111]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[-0.73227, -1.88033, -1.56125, 0.20887, 1.13142, -1.73135, 0.63351, 0.65424, 1.13185, 1.69517, 1.41497, -1.91364, -0.32183, 1.14432, -1.39253, -2.02636]","[-1.05205, 1.05344, -1.0532, 1.05367, -1.05381, -1.0525, 1.05208, -1.0519]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","[2.22768, -0.85022, -0.4899, -1.30508, 2.37066, 2.5823, -1.16633, -0.11959, 0.49504, 0.298, 0.26521, -1.3421, 0.41462, 0.95209, -0.51577, 1.01739]","[1.01785, -1.07012, 1.05073, -1.06181, -1.07042, 1.04491, -1.07284, 1.04355]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[-1.30933, -1.72249, 1.73551, -1.40405, -1.46117, 1.03498, 0.72435, 1.41158, 1.12578, 0.35073, -2.50683, 1.45218, 1.11392, -2.27774, -0.2172, -1.03333]","[-1.05164, 1.04787, -1.04923, -1.05229, -1.05162, 1.04972, 1.05069, -1.05142]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]","[-1.87348, 0.679, -0.43076, 0.67937, -0.89314, 0.03626, 0.93169, -0.55991, 1.99151, -0.47007, 2.45114, -0.39334, 0.68895, -1.83886, -1.23838, -0.09753]","[-1.05295, -1.04508, 1.0514, -1.04374, 1.06139, -1.04362, -1.04356, 1.03576]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-0.94664, 1.76208, 1.06754, 0.94161, -1.16017, -1.40586, -1.33746, 1.24934, 1.12083, -0.83046, -1.40542, -1.92039, 1.53211, 0.60972, 0.91688, -1.06323]","[-1.05065, -1.05138, -1.04978, 1.05137, -1.04923, -1.05148, -1.0513, -1.05091]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[-1.9361, -2.73136, -1.3838, -0.91621, -1.35886, -0.57223, 2.86597, 0.37329, 1.03228, 0.11564, 0.92536, 0.17551, 1.32392, 1.37816, -1.63887, -1.45329]","[-1.0518, -1.05335, 1.05216, -1.05311, 1.05199, -1.05375, 1.05323, -1.05156]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[-0.75868, 1.41652, -1.33526, -1.59224, 1.05659, -1.48102, 1.08601, 0.87511, 1.11615, -2.14196, 0.41715, 1.3321, -1.70753, 1.47184, -1.4805, -0.29754]","[-1.05226, 1.05322, 1.05216, -1.05301, -1.05329, -1.0527, 1.05238, -1.05193]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1]","[-0.43464, -2.26759, 1.44583, -1.49872, -0.10038, 1.56439, -0.19081, 1.216, 1.72021, 1.48083, -0.46325, -0.25033, -0.55189, -0.70914, 1.42096, -0.2051]","[-1.05217, 1.0398, 1.02872, -1.02359, -0.81335, 1.05435, -1.05039, -1.04994]"
