Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[0.15147, -1.7288, -1.15623, -0.39177, -0.62188, -1.047, -0.56026, 0.57114, -1.00671, 0.10477, 0.15673, 1.25301, 1.16987, -0.2326, 0.92982, -1.36446]","[-1.04622, -1.04761, -1.04545, -1.04795, -1.04765, -1.04728, -1.04805, -1.0401]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-0.16236, 1.35215, 1.06871, 0.5277, 0.25827, 0.42209, 0.6031, -1.97917, 1.09978, -0.27007, -0.12656, -1.77365, -2.1446, -0.91741, -1.70839, 1.84163]","[-1.05422, -1.05496, -1.05471, -1.05539, -1.05344, -1.05241, -1.0512, 1.05405]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]",,"[1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[-1.89136, -0.38755, 0.38921, -0.31379, 1.33491, -0.31374, 2.09189, 0.58826, -0.15294, 0.23997, -0.26831, 1.30164, -0.59548, 1.07155, -0.73169, -1.70601]","[-1.05203, -1.02492, -1.04471, -1.04036, -1.05198, -1.04938, 1.05141, -1.05039]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]",,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[0.1331, 1.25684, -2.11668, -0.46402, 0.93024, 1.21324, -1.65118, 1.91583, 2.09811, -1.35302, 2.67339, 0.49842, -1.0819, -0.02551, 0.98005, -0.53769]","[-1.04919, -1.04936, -1.04784, -1.04828, -1.04932, 1.05374, -1.04899, -1.04771]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]",,"[1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[-0.86849, -1.08937, 1.06804, 1.77779, -2.02523, -0.79846, 0.96637, -1.88227, -0.74163, 0.77862, -0.60374, -0.83461, 0.65053, 0.46595, -0.07418, 1.26441]","[-1.05066, -1.04533, -1.04773, -1.0493, -1.03938, 1.04914, -1.05168, 1.04799]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]",,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1.73099, 0.18963, 1.89278, -0.09672, -1.29457, 0.42118, 1.2864, 0.22946, -1.55803, -1.9239, -1.42167, 0.91302, 0.70927, -0.6561, -0.93538, -1.00555]","[-1.05095, -1.05269, -1.05052, -1.05099, -1.05158, 1.05267, 1.05437, -1.05234]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]",,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[-0.84504, -2.1582, -1.36582, -0.07953, 0.87177, -1.78468, -1.12262, -1.44418, 2.49453, 1.22402, 0.043, -2.72568, -1.54287, 0.65432, 1.55508, 2.3126]","[-1.04934, -0.97463, -1.02525, -0.9065, -1.05028, 1.04582, 1.04796, 1.04744]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]","[-1.37206, -1.04107, -0.98116, -2.09275, 0.70039, -2.00971, -1.06699, 0.87366, -0.13464, 1.38845, 0.93866, 1.41777, -1.23566, 0.63839, 1.2134, -2.60335]","[-1.05004, -1.04614, -1.04392, -1.04732, 1.04245, -1.04998, -1.04868, -1.04946]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 0, 0, 1, 1, 0]",,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[0.52112, -0.4676, 0.82193, -0.56565, -0.70002, -1.97052, -0.07339, 1.20352, -0.46789, 0.11441, -0.83848, 1.05759, 1.05654, -0.08044, -0.79789, -0.76609]","[1.05525, -1.02406, 0.9437, 0.9222, 1.05102, -1.06759, -1.03858, 0.95722]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-0.93272, 1.78656, 0.28343, 0.84106, -0.13531, 1.41949, -1.19402, -1.0681, 0.78549, -0.12782, 1.36817, -1.62942, -1.1752, -2.56008, 1.52911, 1.38882]","[-1.05196, -1.05461, -1.03302, -1.05433, 0.98073, -1.05159, 1.05065, 1.05024]"
