Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[-1.3733, 1.33196, -2.3712, -0.80395, -1.19902, -0.88389, -1.62106, 1.21433, -1.45563, 0.73416, -2.45719, -1.65891, -0.408, -0.96811, -0.90989, -0.24134]","[1.06124, 1.05583, -1.05383, -1.06232, -1.05582, -1.05475, -1.06443, 1.05517]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[0.20568, -1.26288, -0.68711, 1.27549, -2.07216, -0.17174, 1.16133, -0.47842, -1.62972, 0.58473, 1.18299, -1.98268, 1.39293, -0.51519, 0.07458, 0.33746]","[0.93578, -1.07147, 1.07371, 1.00601, 1.06659, 1.07701, -1.06152, -1.05519]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]","[-1.5343, -0.57847, -1.17288, 0.60611, 0.63119, -2.15625, 0.98648, 1.40787, -0.6226, -0.83799, 1.24838, -1.71992, -1.56461, 0.32109, -0.61457, -0.50764]","[-1.05031, -1.04832, -1.04948, 1.05039, -1.04951, -1.04985, 1.05234, -1.05025]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[2.41738, -0.91081, -3.00112, 0.12994, 0.83709, 0.21093, -0.94271, 2.22197, 2.29806, -2.27007, -0.5963, -1.67776, 0.35871, 0.75341, -1.1839, 2.0909]","[1.05019, 1.06882, -1.0314, -1.0414, -1.04372, 1.04995, -1.05163, 1.0497]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[-0.1192, -2.06694, -0.51657, -0.72112, 0.22155, 0.64863, -0.42226, 1.38792, 1.07752, 0.92799, -1.61339, 0.50596, 1.26646, -0.25525, -1.20384, -0.28485]","[-1.05343, 1.0336, -1.0582, -1.03062, -1.04018, 1.02958, 1.04394, -1.04275]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0]","[-0.08434, 1.77351, -0.71578, 1.6243, -0.83713, -0.02385, 0.037, -1.9977, 1.11822, -2.21646, 1.08146, -0.42565, 0.40133, 0.59711, -0.95282, 0.53366]","[-1.04619, 1.04633, 1.04489, -1.03089, -1.00963, 1.04544, -1.04349, 1.04564]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]","[-1.09986, 1.08495, 0.90205, 1.33706, -0.9548, -0.99491, -0.2077, 1.76639, 0.37157, -1.23831, 0.12862, -1.64635, 0.94797, 1.04238, 1.4491, -0.37887]","[-1.04292, -1.04266, -1.07862, 1.00687, -1.04341, -1.04506, -1.04239, -1.04589]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[-1.16766, -0.31581, 0.18797, -1.27099, -0.89022, -1.99623, 0.26972, 1.7923, -0.60944, 1.25872, 0.42526, 0.87945, 2.07029, 1.65886, -0.73711, -0.95295]","[-1.04865, -1.04788, -1.05718, -1.04805, 1.04036, -1.04637, 1.05301, -1.04707]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1]","[-1.21526, 1.79308, -1.15593, -1.61765, 1.02152, 0.86975, 1.19784, 0.82779, -0.16591, -0.71199, 0.95658, 0.22958, -0.74255, 1.91556, -1.71887, -1.62557]","[-1.05029, -1.03803, 1.03776, -1.04605, 0.92141, 1.04249, 1.04732, -1.04815]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[-0.70269, -0.94566, 1.76509, -1.30394, 1.67064, 0.89752, 0.00797, 0.38719, 1.69225, 1.41195, -0.87852, 1.23286, -0.68362, -0.01134, 0.97634, -1.60432]","[-1.03994, 1.04291, 1.05409, -1.05139, -1.06342, 1.04697, -1.06128, -1.0504]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[-1.52553, -0.10234, 0.99761, 1.2845, 2.27331, -1.16419, -1.15655, 0.5964, -0.41518, -1.03026, -0.0474, 2.03082, 1.10106, -1.02799, -0.301, 1.17965]","[1.05396, 1.05082, -1.05462, 1.05384, 1.05228, -1.04816, -1.04755, 1.05478]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[1.02638, -1.28939, -0.71213, 1.60204, 1.36578, 1.0893, 1.66298, 1.48129, 0.18315, -1.15218, -2.36373, 1.35624, 0.02289, 1.26732, 1.39817, 1.12042]","[1.0487, -1.0506, -1.05535, 1.0494, 1.05123, 1.04943, 1.04991, 1.04985]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[2.5831, -0.15563, -0.31172, -1.514, -0.64587, -1.78194, -0.775, 0.6716, -0.37844, -0.10227, -0.20555, 1.46944, 2.07748, -0.0086, 1.21934, -0.04185]","[-1.04678, 0.94786, -1.04321, -1.05246, -1.06621, -1.06464, -1.04228, -1.04948]"
