Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 0, 0, 0, 0, 1, 1]",,"[0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0.31321, -0.99379, 0.59738, -0.9004, -1.03656, 0.07071, -2.15353, 0.93545, -1.40794, 1.90711, 0.62501, -0.0698, 0.2526, 0.82401, 0.62466, -1.47298]","[-1.04997, -1.03259, 1.05089, 1.03227, 1.04698, 1.04624, -1.04749, -1.05041]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[-0.50747, 0.70725, 1.85798, 1.51169, 1.71056, 0.92201, 0.66267, -0.07957, 0.60586, -0.68834, -0.50746, -2.63002, -1.71561, -1.3279, 0.13464, 1.68551]","[-1.05488, -1.04737, -1.04728, -1.04904, -1.04612, -1.0557, -1.01567, 1.05745]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]",,"[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[0.15371, -0.4136, 2.62168, -0.90311, 0.49545, -0.11138, 1.44946, 0.46467, 2.005, 0.1696, -1.36388, 1.6337, -0.41977, 0.54618, -0.10988, -0.61293]","[-1.05021, -1.05237, -1.05006, -1.05324, -1.05268, -1.05291, 1.0545, -1.05099]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]",,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[-0.74034, 2.44507, -0.71782, -1.00502, 1.5684, 0.28219, -0.44026, 2.28386, 2.15779, -0.18077, 0.9413, 0.56644, -0.4218, -0.68566, 1.25041, 0.35152]","[-1.04969, -1.05531, -1.04393, -1.05321, -1.05194, 1.05086, -1.04986, -1.04992]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]",,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1.22408, -0.82539, 0.25477, 0.75507, -2.26842, -1.48233, 0.65228, -1.12586, -2.02866, 0.91986, -0.29692, -1.47242, 1.42906, 1.23599, -1.741, 1.11294]","[-1.05388, -1.05522, -1.05384, -1.05371, -1.05301, 1.05368, -1.05319, 1.05341]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]",,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1.10201, 1.08416, 0.64449, -2.06375, -2.68665, 0.75625, 1.06127, 1.66718, -2.00398, -2.26219, -0.73605, 1.47035, 2.18468, -0.1825, -0.64508, -0.19477]","[-1.05308, -1.04995, -1.05057, -1.05233, -1.05145, 1.05513, 1.0571, -1.05076]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 1, 0, 0]",,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[-0.80601, -0.24928, -0.20242, 2.02062, 0.55655, -0.5417, -1.10044, -1.59316, -1.16241, 1.65478, 0.85625, -2.01331, -0.14242, -0.12888, 2.1538, 0.33091]","[-1.05031, 0.81647, -1.04379, -1.03893, -0.88427, -1.04158, 1.05782, 1.04501]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.77277, -1.46345, -0.12787, -0.99055, 0.52423, -1.58559, -1.09129, 1.56106, 0.10255, 0.07989, 1.08132, 1.6225, -0.06347, 1.15365, 1.60406, -1.40839]","[-1.04923, -1.04929, -1.05004, -1.05187, 1.05215, -1.04947, -1.04974, -1.0506]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 0, 0, 0, 1, 0, 1]",,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[0.8387, 0.15205, 0.22481, 0.31236, -0.29585, -1.86002, 0.18894, 1.32711, -1.65592, 0.33782, -0.74083, 1.34565, 0.28625, -0.12646, -0.51232, -2.28748]","[-0.93928, -1.04789, 0.88198, 0.98801, 1.00838, -1.02305, 1.06941, -1.03432]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[-0.64222, 0.18342, -1.5847, 1.8613, 0.36364, 1.27052, -1.76161, -1.30107, 1.68547, -0.26725, -0.50223, -0.78666, -1.61264, -0.43397, 0.05321, 2.9059]","[-1.05256, -1.03783, -0.99834, -1.01458, 1.0567, -1.05339, 1.05866, 1.05807]"
10,"[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]",,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[1.16818, 0.88044, -0.99881, -0.80048, -1.25995, 1.46485, -1.35303, 0.12478, -0.19699, -0.62635, 1.92006, 1.92163, 0.89302, -0.99662, -0.06057, -0.41816]","[-1.04933, -1.03587, -1.02911, -1.04046, 1.0555, 1.02355, -1.0184, -1.03158]"
11,"[1, 1, 1, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 1, 0, 1]",,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[-0.01524, -1.18813, 2.57276, 0.6972, 1.38254, -0.58705, 0.55296, 0.47274, 0.73578, 1.10539, -1.75822, -0.98801, -0.90446, 1.19174, -0.95366, -0.63135]","[-1.04875, 1.04959, 1.04836, 1.04821, -0.98979, -1.04782, 1.05232, -1.04415]"
