Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[-1.3939, 0.32491, -1.50685, -1.26135, -0.48102, -1.27102, -0.73487, 0.64325, -0.31392, 1.0337, -1.03762, -1.26931, -1.12751, -0.79778, -2.09963, 0.50834]","[1.04456, -0.69072, -1.02299, -1.04548, -1.03235, -1.0517, -1.05107, 1.05053]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[-0.10764, -0.75213, -1.30023, 1.64018, -1.0428, 0.52633, 0.43333, -2.19534, -1.25103, -0.08935, 0.53888, -1.41099, 1.09775, -1.39648, -2.52624, 1.99382]","[-1.0511, -1.03575, 1.04933, -1.04598, 1.04914, -1.0508, -1.05049, 1.0527]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[-1.16044, -1.06782, -0.46662, 1.49881, 0.96691, 0.52254, 2.01983, 1.34665, 1.65634, -0.02078, 1.30589, -0.25124, -0.88752, 0.79161, -1.51034, -1.57259]","[-1.06206, 0.07802, -1.0295, 0.94047, 0.96111, -0.10769, 1.06264, -1.03738]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[2.26573, -1.61834, -0.31006, -0.46972, -0.00893, 1.80552, -0.30856, 1.35245, 0.63916, -2.07131, -0.49913, -1.82621, 0.64801, 0.94335, -0.8044, 0.06372]","[1.04714, 1.04882, -1.03728, -1.0449, -1.03988, 1.04898, -1.04798, 1.04687]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]","[-0.97486, 0.11384, 1.59976, 0.17748, -0.54172, 0.3804, 0.52466, 0.7961, 1.10769, 1.34581, 0.29882, -0.20868, 0.88452, -2.25007, -1.61867, -1.57153]","[-1.0484, -1.01528, -0.99518, 1.0492, -1.03667, 1.04456, 1.04324, -1.04763]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0]","[-1.54263, 0.63085, -0.35223, 0.25431, -0.58033, 0.57455, 0.7678, -1.17667, 1.199, 0.00593, -0.21486, -1.01802, 0.91314, -0.67858, -0.91808, 0.38277]","[-1.04956, 1.05981, -1.03607, -1.04169, 1.05636, -1.04957, -1.04859, 1.05255]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[-0.38335, 0.11789, 2.18144, 0.97389, 0.13918, -2.76462, -0.72056, -0.16687, 0.84809, -1.67339, -1.23233, -0.60639, 0.30073, 0.31394, 2.43235, -0.62665]","[-1.05649, 0.11795, 0.01076, 0.00505, 0.06842, 0.12781, 0.0125, 0.06154]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-0.9953, -1.11631, 0.06641, 1.03427, -1.61789, -0.43404, 0.68757, 1.96723, 0.82577, 1.13504, 1.57737, 0.0551, -0.13653, 0.0591, -0.6544, -0.25409]","[-1.05206, -1.04868, 1.0438, -1.04967, -1.04891, -1.04936, 1.0511, -1.05162]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[-1.72594, 0.99133, -1.17644, -0.44931, 1.23796, -0.56992, -0.0677, 0.35082, 0.78436, -1.556, 0.28333, -0.10093, -1.88319, 1.75091, -2.04119, -0.93]","[-1.05202, -1.04474, -0.26373, 1.0415, 0.62319, -1.05379, -0.07319, -1.05399]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[0.06387, -1.93224, 0.95578, -0.83472, -0.57415, -0.46985, -1.52183, 1.54265, 0.85652, 1.44212, -1.77522, 0.7827, -0.8862, -0.99515, 1.15266, -0.52723]","[-1.05213, -0.1079, 0.91404, -1.04864, -0.08089, 0.04167, -1.04641, -1.04777]"
