Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[-1.67182, 0.70729, -1.03096, -1.0102, 0.00934, -2.61948, -0.16416, 1.06167, -0.5368, 0.6974, -1.93912, -0.10164, -0.73427, -1.85268, -0.40245, 1.07043]","[1.07799, 0.83596, -0.97218, -1.04896, -0.82857, -1.03514, -1.02393, 1.03402]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[-0.16058, -1.30357, -1.72314, 1.28394, -0.77259, 1.54957, 0.42201, -2.1092, 0.3509, 0.10769, 1.2171, -1.70081, 2.70116, -1.54295, -1.34026, 1.53776]","[-1.1209, 0.59235, 0.84352, -1.06218, 0.10475, -1.0478, -1.02885, 1.1174]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[-0.27729, -0.34043, -0.54362, 0.92235, 1.24096, -1.736, 0.20823, 0.18074, 2.10915, -0.04837, 1.28529, -0.75392, -1.60161, 2.41919, -0.94777, -0.93508]","[-1.11516, 0.3044, -0.94493, 1.03559, -0.82243, -0.9709, 1.05694, -1.04493]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[0.20496, -0.26699, -1.8443, -0.6557, 0.30411, -0.29571, -0.30375, 0.96538, 0.52137, 0.0391, -1.56321, -1.59517, 1.52094, 1.17834, -2.33112, 0.65012]","[1.05927, 1.00243, -1.0527, -0.96064, 0.0776, 0.37022, -1.02572, 0.98592]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]","[0.09242, -0.64847, 0.12571, -1.01823, -0.83081, 0.91581, 2.59445, 0.87605, -1.30975, 1.25318, -1.10442, 0.66681, 0.28923, -1.18433, -0.73139, -1.35503]","[-1.11185, 0.32808, -0.3123, -0.95484, -0.64895, 0.90997, 0.94214, -1.05363]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[-1.37148, 1.25245, -0.95824, 0.78256, -1.39575, -0.54039, 1.28049, -1.66644, 0.94315, -0.78144, 1.06275, -2.39379, 0.29583, -0.36226, -1.15167, 0.72206]","[-1.10327, -0.634, 1.0437, -1.02158, 0.78773, -0.78354, -0.99517, 1.05086]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-1.53813, 1.30935, 0.42642, 0.60812, 1.01988, -0.02148, -1.20386, 1.17036, 0.68072, -1.48858, -0.33111, -1.55234, 0.82683, 2.47319, 2.49588, -0.90551]","[-1.09274, -0.96707, -0.94478, 1.01102, -0.6451, -1.00835, -0.9889, -1.07552]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[-1.90227, -0.67412, -1.72373, -0.20155, -1.05139, -0.18406, 0.68796, 0.72205, 1.46292, 1.12457, 1.51756, 1.59869, 0.27379, 0.21015, -0.4267, -0.76447]","[-1.01596, -1.04972, 1.04497, -1.07564, 1.11546, -1.08858, 1.0455, -0.93199]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[-0.82834, 0.71049, -1.41785, -0.38982, 1.83643, -0.61649, 1.25893, 0.87112, 0.27884, -1.38587, 0.13359, 0.98963, -2.05606, 1.46747, -1.60531, -0.955]","[-1.09032, 0.86462, 1.08301, -1.11546, -1.0893, -1.08769, 1.0969, -1.10796]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[-0.29188, -1.20198, -0.05847, -1.69331, 1.47855, 1.62152, -0.72787, 1.08386, 1.94966, 1.60738, -0.68344, 1.00739, -0.8973, -0.21062, 2.21303, -2.17222]","[-1.09035, 0.9279, 0.37772, -1.0419, -0.77387, 1.0482, -1.04398, -1.08846]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[-1.94639, 0.57838, 0.98713, 0.79975, 1.98901, -1.10375, -1.60697, 1.61485, -0.39984, -1.82128, 0.74126, 0.65598, 3.17241, -0.46669, -0.30155, 0.4705]","[1.09426, 0.95892, -1.02211, 1.08902, 1.02833, -1.07376, -1.05709, 1.08175]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[1.11574, -0.87161, -2.7778, -0.31529, 0.60363, 0.51355, 0.30707, -0.35527, 1.14738, -1.25493, -1.15357, 0.07542, 0.16456, 0.97934, 1.87051, 0.48463]","[1.03655, -0.90605, -0.88032, 0.64811, -0.47891, -0.26747, -0.32215, 0.20596]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[1.02872, -0.35695, 1.18204, -1.11374, -0.93315, -0.81124, -0.52182, 1.20073, -1.4533, 0.37376, -0.9584, 1.09783, 0.88259, 0.39281, 1.52937, -0.77097]","[-1.12266, -0.73769, 0.3931, -1.0368, -0.14802, -0.97204, -1.00694, -1.11567]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]","[0.44893, -1.86443, 1.17517, -1.24735, 0.29659, -1.10836, 0.33101, -1.04874, 0.10014, -0.46757, 0.81546, -2.68377, -0.02383, -0.82732, 0.9908, -0.70501]","[1.09588, 0.59003, 1.06531, 0.93867, 0.87, 0.98696, -1.0313, -0.92161]"
