Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[-0.84093, 0.24969, -1.10779, -0.51005, -0.88561, -1.59028, -0.69492, 1.96698, -0.85923, 0.80819, -1.25089, -1.17785, -0.91038, -0.7472, -1.63544, -0.28856]","[1.01845, -0.07827, -0.87128, 0.08014, -0.67133, -0.30422, -0.32179, -0.79158]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0.99426, -0.64787, -1.26248, 0.46796, -1.1923, 1.13775, 0.56056, -0.32529, -0.99834, 0.50107, 0.68176, -1.00344, 2.06198, -1.32842, -0.35324, 1.19373]","[-1.10823, 1.07721, 1.08864, -1.09783, 1.07204, -1.0741, -1.05607, 1.08137]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[-1.16229, -0.31003, -1.33986, 1.07369, 0.81557, -1.47467, -0.11008, 0.75141, 1.6262, 1.1181, -0.73558, -0.92994, -0.81693, 0.91748, -1.18131, -1.54515]","[-1.0328, 0.92033, -0.88817, 0.86373, 0.13326, -0.97805, -0.14933, -1.0286]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]","[2.22272, -2.29664, -3.47574, -1.55619, 0.78893, 1.82602, -0.65176, 1.3174, 1.09317, -1.42153, -0.18586, -0.22084, 2.17818, 0.58199, -0.515, -0.01704]","[1.09387, 0.82483, -0.87145, -0.66423, -0.90587, 0.62944, -0.81079, 0.10504]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[-1.47515, -0.54762, 0.7, -0.8645, -0.60156, 0.51028, 0.6471, 0.25043, 1.26406, 0.00839, -0.5693, 0.91762, 0.92865, -1.38461, -0.86627, -0.99515]","[-1.12423, 1.10022, -1.11187, -1.0624, -1.05048, 1.06793, 1.08173, -1.09956]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[-1.11395, 1.1837, 0.08988, 0.21384, -0.53758, 1.786, 0.83503, -1.28864, 2.04394, 0.74734, 0.91023, 1.0867, 1.14716, 0.04879, -0.50125, 2.2459]","[0.2771, 0.63913, -0.33083, 0.55142, -0.53401, 0.62435, -0.89491, 0.81766]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-1.82136, 1.55369, 1.31585, 1.12234, -0.75595, -1.89866, -0.53113, 0.75685, 0.63147, -0.84048, -2.11707, -1.72359, 0.75344, 2.42018, 1.68322, -1.27974]","[-1.1018, -1.09226, -1.09401, 1.07378, -1.08782, -1.1092, -1.10757, -1.09069]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[-1.34615, 0.04615, -0.52098, -0.86108, -2.09145, -1.49793, 1.46076, 1.03267, 0.56691, 0.98424, 0.65624, 1.88466, 0.91212, 0.56355, -1.12217, -1.6224]","[-1.08926, -0.72348, 0.70216, -1.02606, 0.92573, -1.01809, 0.91492, -0.98887]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0.6937, 0.74827, -1.84011, -2.12244, 0.49705, -1.44647, 1.05777, 0.64073, 1.20057, -1.06695, 0.52801, 0.79447, -1.28702, 1.61384, -1.10252, -0.60738]","[-1.07846, 0.47219, 0.92688, -1.02729, -0.96351, -1.05875, 1.00446, -1.02333]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1]","[-1.33909, -1.21235, 1.62383, -1.37531, -0.67103, 0.00644, -1.25098, -0.15747, -0.31161, -0.15035, 0.60159, 2.29266, -0.49268, -2.2089, 0.18706, -0.91483]","[0.92444, -0.38761, 0.69351, 0.21089, -0.97046, -0.26675, 0.44389, -0.78078]"
