Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[-0.87119, 1.08626, -1.30128, -2.14926, -0.44673, -0.64944, -1.22595, 1.48423, -1.86948, 1.31547, -1.25821, -1.74526, -1.63712, -0.00375, -1.39424, -0.24019]","[1.01499, 0.18397, -0.56533, 0.20608, -0.29767, -0.04411, -0.20488, -0.70127]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[1.57258, -1.08752, -2.09881, 1.30591, -1.17415, 0.49921, 0.71451, -0.28607, -0.74951, -0.47851, 0.2005, -0.60067, 1.44378, -0.75463, -0.63351, 0.85331]","[-1.09037, 0.75105, 1.02349, -1.05827, 0.78595, -0.94419, -0.97793, 1.04062]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[-1.91636, -0.7508, -1.08615, 0.22043, 1.0773, 0.64613, 0.623, 0.47461, 1.74885, 0.61787, 0.36881, -1.58374, -1.59787, 0.97953, -0.31194, -2.07095]","[-1.13243, 0.47329, -0.78309, 1.0279, -0.46206, 0.23264, 1.02591, -1.07387]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[-0.23818, -0.82385, -2.04259, -0.66813, 1.9351, 1.68083, 0.8625, 0.69911, 1.01693, 0.01734, -1.19815, -0.14819, 1.8216, 1.17192, -1.28056, 1.37305]","[0.65031, 0.30353, 0.63331, -0.99791, 0.61804, 0.90935, -0.24888, 0.9653]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1]","[-1.29401, -0.73816, 0.04182, -1.25365, -0.62377, 0.56434, 0.41158, 0.67609, 2.24782, 0.3616, -0.05571, -0.16884, 1.83543, -1.04584, -1.34566, -0.52169]","[-1.08436, 0.55252, -0.54047, 0.02148, -0.82781, 0.99597, 1.02625, -1.02607]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[-1.18454, 0.11102, -1.30227, -0.09871, -0.34745, 0.12561, -0.34282, -1.13117, 1.57173, -1.13494, 1.43507, -1.58731, 1.31052, -0.39395, 0.17203, 0.46346]","[-0.97229, 0.94965, 0.85653, 0.4807, -1.0129, -1.03052, 0.92573, 0.852]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-0.90688, 0.68484, 2.40588, 0.73987, -0.89083, -1.46657, -0.69163, 0.67917, 1.82613, -1.14488, -1.15085, -1.55123, 1.43529, 1.74324, 1.88987, -0.54758]","[-1.10329, -1.0859, -1.09309, 1.08115, -1.1145, -1.1294, -1.128, -1.11572]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-0.16525, -1.07931, -1.21666, -1.24296, -0.26379, -0.05329, -0.0289, 1.50658, 1.82171, 0.99692, 2.14598, 0.57435, -0.23254, 2.10117, -2.14933, -0.79412]","[-0.99766, -1.06626, -0.4478, -1.07623, 0.87858, -1.05017, -0.62192, -1.02596]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[-1.76912, 2.13884, -0.80955, -2.18871, 0.97633, -0.43915, 1.17554, 0.37827, 1.39734, -1.783, 1.35032, 1.25309, -1.57912, 0.83955, -2.3048, -1.38537]","[-1.10191, 0.80163, 1.06089, -1.13973, -1.09393, -1.10356, 1.08028, -1.09941]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[-1.53986, -0.45496, 0.40041, -1.36692, 1.272, 1.53507, -1.33086, 1.78496, 1.37862, 1.32335, -0.65261, 0.61276, -1.34139, -0.69337, 2.22673, -1.15933]","[-1.10419, 1.00854, 0.70633, -1.11739, -1.08839, 1.06665, -1.079, -1.06183]"
10,"[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[-0.45206, -1.24561, 1.48082, 0.07185, 0.49684, -1.16718, -0.53581, 1.40624, 0.12931, -2.19889, 1.27471, 1.06049, 0.89629, -0.71009, -1.66289, 0.56889]","[1.06001, 0.90632, -1.00212, 0.95038, 0.91566, -1.05131, -1.02925, 1.049]"
11,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0.71792, -1.71039, -1.13037, 0.08342, 2.26222, 1.27848, -0.63717, 1.17549, 1.07075, -1.96482, -2.21257, 1.16234, 1.73735, 2.22068, 1.17074, 0.93645]","[1.07427, -1.02908, -0.82925, 0.96613, 0.80998, 1.00083, 0.21388, 1.00723]"
12,"[1, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0]","[1.02253, 2.23017, 1.65415, -0.83776, -1.4242, -1.1307, -0.93283, 1.9979, -0.42591, -2.34894, -0.9235, 1.73089, 0.69516, 1.92963, 0.93079, 0.37591]","[-1.08381, -0.57737, 0.47609, 0.54142, -0.96439, -0.22724, -0.55409, 0.17106]"
13,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]","[1.24744, -1.0879, 0.86179, -1.74423, 1.43486, -2.05097, 0.70705, -1.53405, 0.48006, -2.87317, 1.20231, -0.94575, 0.69807, -0.76098, 2.51701, -0.51682]","[1.07023, 0.85025, 1.09052, 1.02092, 1.07369, 1.07311, -1.10886, -1.09088]"
14,"[0, 1, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0.4977, 1.35354, -0.15185, -1.02526, 0.51873, 1.19841, 0.97481, 0.34453, 1.65471, 1.26462, 1.08415, -1.34525, -1.65483, 0.44239, 0.98995, 1.4187]","[1.0582, -0.89276, 0.01289, -1.06879, -0.28039, 1.03122, 0.99707, 1.01922]"
15,"[1, 0, 0, 0, 1, 1, 1, 1]","[1, 1, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[-0.9839, -1.08734, -0.8927, 0.7207, -1.63538, -0.45144, -0.67212, 2.21294, 1.11705, 0.29623, 0.88341, -1.11017, 1.37132, -0.16959, 0.74581, -1.00822]","[-1.12225, -0.19993, 0.92687, 0.77453, -0.40368, -0.41691, -1.041, -1.10642]"
16,"[0, 1, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0.05752, 0.85514, 0.82728, 2.49219, 0.10291, -2.48701, 0.33559, 1.34276, 0.16143, 0.31577, 1.45523, 1.0846, -1.0012, -0.12913, 2.22683, 0.90469]","[1.08513, -1.07995, 0.81829, 1.06447, 0.75101, -1.07717, 0.97776, 1.06524]"
17,"[0, 0, 1, 1, 0, 0, 0, 1]","[0, 1, 0, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[-1.17862, 1.53513, -1.27487, 1.49114, -0.3142, -0.09636, 0.87413, -1.2886, -0.48947, -0.16762, -0.7061, 0.9792, -2.06357, -1.73987, -0.5602, -1.4321]","[1.05261, -0.09263, 0.21, -1.05687, -0.07704, 1.03326, 0.47245, -1.04812]"
