Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[0, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[-0.80638, 1.56389, -0.22081, -1.20067, -1.29218, -1.62798, -0.13669, 1.1017, -0.55363, 1.50813, -1.37102, -1.07231, -0.12746, -0.7396, -1.61597, 0.95381]","[1.10362, 0.94876, -1.1, -1.12306, -1.09703, -1.04744, -1.07837, 0.94345]"
1,"[1, 0, 0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0.70145, -1.45324, -0.17288, 0.85708, -1.26103, 0.27142, 0.11083, -0.30445, -0.64746, 0.84384, 1.97054, -0.60567, 2.15077, -1.20932, -1.27262, 0.79164]","[-1.09714, 1.07649, 1.08561, -1.09986, 1.03444, -1.04526, -1.03804, 1.04687]"
2,"[1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1]","[-1.26606, -0.94229, -0.05143, 1.03404, 0.29311, -1.47856, 2.2912, 0.61496, 0.54797, -0.24939, 0.8012, -0.74023, 0.06078, 0.99662, -0.85863, -0.74296]","[-1.07846, -0.73409, -0.86216, 1.02107, 0.61871, -1.02628, 0.90848, -0.93814]"
3,"[0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0]","[0.54096, -2.34833, -0.77173, 0.01367, 1.58356, 0.91994, -1.28556, 0.41429, 0.90515, -1.81524, -2.22789, -0.79248, 0.25419, 1.95618, -1.27927, 0.57048]","[1.04538, 0.51084, -0.60401, -0.07605, -1.01421, 0.9926, -1.05123, 0.83771]"
4,"[1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[-1.58488, -1.02091, 2.08825, -1.60147, -1.68475, 0.10161, 0.91761, 1.27602, 0.5585, 0.97694, -0.47044, 0.00705, 2.07108, -0.16367, -1.17328, -0.60847]","[-1.13014, 1.08105, -1.1184, -1.07713, -1.00646, 1.06477, 1.04378, -1.12233]"
5,"[1, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[-2.32611, 1.23193, -2.23018, 1.81138, -1.04009, 0.7625, 1.11435, -0.31913, -0.5081, 0.13913, 1.13597, -0.3414, 0.75838, -1.83661, -0.39867, 0.87758]","[-1.08889, -0.11891, 1.11033, -1.07302, 1.07405, -1.05025, -1.04409, 1.03328]"
6,"[1, 1, 1, 0, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1]","[-1.6416, 1.59587, 1.56091, 1.05732, -1.72728, -2.05338, 0.47979, 1.13741, 2.60225, -0.8678, -1.32574, -1.1145, 1.75417, 0.63191, 2.11297, -1.42343]","[-1.08843, -0.97512, -0.63602, 1.01601, -0.2073, -1.00277, -0.23956, -1.10241]"
7,"[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-1.35188, -1.74591, -1.89071, -0.20893, -1.19241, -0.37645, 0.54555, 2.80635, 1.00655, 1.38048, 1.01716, 1.31383, -0.02739, 1.47797, -0.7835, -0.28035]","[-1.10209, -1.02854, 0.94798, -1.03156, 0.8918, -1.06619, 1.0743, -1.04314]"
8,"[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[-1.59236, 1.67745, -0.62649, -0.09996, 0.7389, -1.01748, 0.58723, 0.65934, 1.47367, -1.0744, 1.3472, 1.67361, -0.82451, 1.41499, -0.12235, -1.8746]","[-1.08663, 0.62701, 1.1148, -1.13043, -1.15229, -1.07166, 1.08187, -1.0774]"
9,"[1, 0, 0, 1, 1, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]","[-1.30509, -0.79554, 0.6316, -1.93939, 1.83483, -0.36095, -1.64222, 1.99306, 0.96016, -0.28302, -0.60331, 0.95496, -0.73633, -0.05699, 1.26935, -0.62907]","[-1.01824, 0.52916, 0.87565, -0.88358, -0.24687, 0.1421, -0.95931, -1.06378]"
