Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[-0.16254, -1.03629, -1.10618, -0.85842, -1.3501, -1.6162, -1.4744, 1.15528, -0.52502, 0.1272, 1.87127, 1.76509, 1.57705, 1.44732, 0.02056, -1.64038]","[-1.15077, -1.0578, -1.12408, -1.25666, -0.8252, -1.1301, -1.07615, -0.8861]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-0.04828, 0.03991, 0.09239, 0.89062, 1.83004, 1.39164, 0.46452, -1.31006, 1.42043, -0.70477, -0.58094, -0.43904, -1.86791, -0.73345, -1.30414, 0.88951]","[-1.15702, -1.02858, -1.09819, -1.25776, -0.75286, -1.03202, -0.91448, 1.02662]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-2.50145, -0.58864, -0.27196, -0.46832, 1.16876, -0.95479, 0.53491, 0.91588, 1.37761, 0.53083, -0.33916, 0.6635, -2.03286, 1.57837, -0.85931, -1.41328]","[-1.14673, -0.91397, -1.03714, -1.08077, -1.00036, -1.14004, 1.13796, -1.06967]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[-1.03394, 0.41777, -0.45828, -0.35129, 1.67152, 0.78275, -0.53273, 1.96274, 1.13134, 0.42024, 0.29592, 0.85546, -0.9749, -1.16264, 0.92661, -0.05542]","[-1.1204, -1.14859, -1.10567, -1.22429, -0.93197, 1.15422, -1.14539, -0.95139]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[2.20618, -0.61396, 0.60042, 0.46344, -1.41582, -1.6996, 0.00927, -1.39536, -0.42442, 1.51964, -1.6359, -0.75076, 1.61558, -0.00642, -2.06602, 1.75146]","[-1.06889, -1.04277, -0.78512, -1.08761, -1.02231, 1.21958, -1.02152, 1.10503]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0.87595, 2.39143, 0.75971, -1.54268, -1.4653, -0.0241, 0.76228, 0.01836, -1.04604, -0.64775, -0.83156, 0.93496, 0.88758, -1.03616, -1.74052, -0.23701]","[-1.11756, -1.158, -1.0413, -1.20481, -0.78647, 1.01912, 1.10129, -1.08776]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]","[-1.29784, -1.16007, -1.28379, 0.66045, 0.56548, -0.01455, -0.89028, -1.30785, 1.79149, 0.74379, 1.10003, -2.31786, -1.23263, -0.56756, 0.77535, 0.67596]","[-1.11556, -1.09789, -1.08, -1.17851, -0.97142, 1.04231, 1.0189, 1.02905]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]","[-0.70294, -0.00908, -1.11597, -1.66535, 1.07459, -0.08289, -1.1014, 2.04727, 1.72873, 1.56814, 1.53376, 0.36175, -0.13309, 0.1652, 0.58795, -0.30377]","[-1.28702, -1.00143, -1.07324, -1.26606, 0.72122, -1.26039, -1.16327, -0.90162]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0.67782, -1.36461, 1.14069, 0.06625, -1.05182, -1.21618, 1.948, -0.14054, -0.35831, 0.9731, -0.88869, 0.90491, 2.37316, 0.65838, -0.27319, -1.19079]","[-1.13629, -1.01068, -0.88966, -1.14738, 1.10871, -1.07886, 1.2205, -1.01321]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[-1.49721, 1.08365, -1.0067, 0.7068, 0.74182, 1.05601, -2.72914, -0.60415, 1.59215, -0.8676, 1.12501, 0.54341, 0.24173, -1.3866, 0.32994, 1.49478]","[-1.07811, -0.78381, -0.97246, -1.11376, 1.17138, -1.01215, 1.13745, 1.08446]"
