Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0.77869, 0.30588, -1.34829, -0.05727, -1.09957, -0.73607, -2.17126, 1.03916, -0.24724, 0.85138, 1.96959, 1.65151, 1.59915, 0.52655, 1.52826, -1.89484]","[-1.0895, -0.52936, -1.01723, -1.06418, -0.92221, -1.01477, -1.02379, -1.05768]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[-1.18548, 1.30328, 0.59876, 0.60839, 1.32637, 1.08632, 0.7662, -1.79999, 1.73916, -0.86684, -1.4087, -1.0653, -1.45285, -0.87337, -1.59835, 0.81539]","[-1.10148, -1.04607, -1.0434, -1.0603, -1.09091, -1.04083, -1.02735, 1.05241]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]",,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-0.11356, -0.33476, 1.10655, -0.22691, 1.67807, -0.47713, 1.08885, 1.73681, 0.50207, 0.80705, -1.14798, 0.69534, -1.33605, 0.73977, -1.18078, -0.04365]","[-1.04534, -1.06384, -1.0435, -1.02313, -1.08673, -1.06929, 1.04723, -1.07626]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 1]",,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[-0.04698, 0.19882, -1.00937, -0.99966, 1.14445, 0.8482, -0.63596, 0.9391, 1.83585, -1.46657, 1.40453, -0.22811, -1.00048, -0.66019, 1.55899, -1.58722]","[-1.05378, -0.53414, -0.20974, 0.00883, -1.0014, 0.99204, -1.01203, -0.89284]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]",,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]","[0.664, -1.37769, 0.74978, 0.26255, -0.79654, -0.44673, 1.32067, -0.91248, -1.2948, 0.35917, 0.10292, -0.41615, 0.72056, 1.78261, -0.90147, 1.19243]","[-1.04973, -0.99919, -0.46042, -1.02894, -1.04467, 1.07248, -1.04872, 0.95474]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[0.22975, 1.81554, 0.7216, -0.16074, -0.5258, 1.03259, 0.03939, 0.2077, 0.06079, -0.52417, -0.98631, -0.17394, 1.9888, -1.04619, -0.49537, -0.77023]","[-1.03534, 0.32586, 0.22314, 0.19911, -1.0509, 0.96881, 1.00659, -1.00055]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0]",,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]","[-1.67805, -1.60186, 0.14011, 1.449, 2.2124, -0.83361, -0.92851, -1.54115, 1.07495, 0.45445, 1.51484, -0.07608, -1.66158, -0.24435, 1.11893, 0.07366]","[-1.06711, -0.45701, -0.71263, -1.08656, -0.32861, -0.37932, 1.00389, 0.96014]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","[-1.65706, -1.74055, -1.33368, -1.4898, 0.90964, -1.97899, -1.02744, 1.62562, 1.25377, -0.08332, 2.13194, 0.47331, -0.30772, 1.00737, 1.09962, -0.78176]","[-1.07026, -0.37809, -1.00311, -1.00702, 0.87717, -0.99514, -0.9971, -1.0543]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1.71368, -0.27086, -0.06108, -0.98809, -2.466, -1.28961, 1.04, 0.20845, -1.68141, 2.59956, -1.25229, 1.47053, 0.792, 1.65638, -1.82392, -1.14574]","[-1.07031, -1.05138, -0.39186, -0.93268, 1.08308, -1.01004, 1.09849, -1.06744]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[-0.49821, -0.65009, -0.72341, 1.34402, 0.5983, 1.96241, -1.72897, -0.69232, 1.90474, -1.01438, 0.86013, -1.53002, -1.5849, -0.30718, 1.75517, 0.66401]","[-1.09262, -0.43507, -1.06182, -1.04497, 1.0983, -1.09514, 1.11069, 1.12547]"
10,"[1, 1, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 1]",,"[0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[1.24933, 0.31312, 0.01846, -0.7687, -1.15698, 0.64044, -0.37996, 1.89802, -0.64102, -1.77918, 1.78433, 0.89247, 0.14746, -1.14232, 2.02855, -0.07412]","[-1.05596, -1.08605, -0.78071, -1.05572, 1.09337, 1.05525, -1.03314, -1.03588]"
