Example,Original_Message,Decoded_Bits,Polar_code,Binary_Corrupted_codeword,Corrupted_codeword,Output
0,"[1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1]",,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[0.11647, -1.33349, -1.12015, -1.2188, -1.82844, -1.17333, -0.5187, -0.14519, -0.3376, 0.7013, 1.47322, 1.99498, 1.01584, 1.56715, 0.76691, -2.26002]","[-1.08933, -0.91455, -0.84995, -0.52514, -0.89661, -0.20581, -0.30972, -0.10162]"
1,"[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0]","[0.40349, 2.79472, 1.1789, 0.97894, 0.96037, 1.80422, 0.73566, -1.1748, 0.79788, -1.83979, -0.97599, -0.60919, 0.28224, -1.8585, -1.2667, 0.7122]","[-1.05728, -0.81295, -0.79076, -0.94729, -0.45056, -0.97154, -0.96745, 1.06442]"
2,"[1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 1, 0, 1]",,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[-0.56768, -0.85977, 1.38129, -1.4293, 0.98946, -1.0826, 1.98581, 0.81926, 2.38777, 0.24904, -0.5289, 0.75021, -0.60217, 1.2473, -1.84115, -1.11828]","[-1.06729, -1.08943, -1.09157, -1.06768, -1.08844, -1.07122, 1.06242, -1.08209]"
3,"[1, 1, 1, 1, 1, 0, 1, 1]","[1, 1, 1, 1, 1, 0, 1, 1]",,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[-0.44983, 0.41384, -1.35663, -1.02493, -0.02584, 2.99895, -1.07495, 0.36882, 1.51278, -1.72592, 1.24966, 0.7593, -1.57277, -0.19626, 0.78589, -0.76622]","[-1.05759, -1.06105, -1.04256, -1.02688, -0.77753, 1.01209, -1.04723, -1.04263]"
4,"[1, 1, 1, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]",,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[2.06149, -1.19583, 0.07032, -0.11524, -0.82722, 0.08111, 2.17964, -1.51702, -0.92157, 0.13979, -1.43523, -0.17545, 0.19069, 1.0058, -0.29133, 1.79817]","[-0.96016, -0.98656, 0.31753, 0.14172, -0.28187, 0.02522, -0.98567, 0.96229]"
5,"[1, 1, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 0, 0, 1]",,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[1.48371, 1.18046, 1.79535, -1.35168, -1.23793, 0.27762, 0.89054, 1.79602, -1.67477, -0.50963, 0.09419, 1.74852, 1.77623, -1.02215, -0.86858, -1.60795]","[-1.08089, -0.96581, -0.9383, -1.02158, -0.96106, 1.00554, 1.03872, -1.08838]"
6,"[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]",,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[-0.97367, -1.12151, -0.4845, 0.18639, 0.68277, -0.66555, -0.8891, -1.74001, 0.71648, 1.55431, 1.15832, 0.01698, -1.86098, 0.26384, 1.53854, 0.94399]","[-1.0836, -0.94885, -0.87938, -0.50499, -0.89287, 0.98077, 0.99817, 1.01569]"
7,"[1, 1, 1, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1]",,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[-1.75069, -0.66517, -1.57466, -0.48569, 1.61281, -1.26022, -1.6473, 0.44722, 0.63741, 0.82504, 0.7085, 0.77382, -1.14412, 1.44044, -0.87481, -0.30431]","[-1.07161, -1.06641, -1.00854, -1.03365, 1.00097, -1.02481, -0.70446, -1.04564]"
8,"[1, 1, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 1, 0, 1, 0, 1]",,"[0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[0.52148, -0.6965, 1.2751, -1.12391, -0.20769, -1.33829, 0.2907, 1.8359, -0.85074, 1.67084, -1.45794, 0.26667, 0.83789, 0.80954, -0.7807, -2.09834]","[-1.07241, -1.06979, -1.11112, -1.07732, 1.10752, -1.08162, 1.10221, -1.11087]"
9,"[1, 1, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 0, 0]",,"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[-1.04244, 0.88642, -1.10485, 0.78859, 0.94731, 1.77112, -1.56984, -0.44908, 1.16204, -1.46331, 0.76927, -1.48681, 0.08376, -1.04299, 0.30914, 1.12054]","[-0.99665, -0.94325, -1.04534, -0.96404, 0.7141, -1.0523, 1.06953, 1.07358]"
